ADM3_PCODE,first_case_date,source
MW20807,2020-06-06,MW210
MW20808,2020-06-06,MW210
MW20820,2020-05-24,MW210
MW20901,2020-05-26,MW30307
MW20902,2020-05-13,MW30307
MW20903,2020-05-26,MW30307
MW20904,2020-06-01,MW20920
MW20905,2020-05-26,MW30307
MW20906,2020-06-08,MW30307
MW20907,2020-06-08,MW30307
MW20908,2020-06-08,MW30307
MW20909,2020-06-21,MW30307
MW20910,2020-06-08,MW30307
MW20911,2020-06-17,MW30120
MW20920,2020-05-19,MW20920
MW210,2020-04-02,MW210
MW30101,2020-05-22,MW30120
MW30102,2020-06-04,MW30120
MW30103,2020-06-04,MW30120
MW30104,2020-06-04,MW30120
MW30105,2020-06-04,MW30120
MW30106,2020-06-04,MW30120
MW30107,2020-05-22,MW30120
MW30108,2020-06-17,MW30120
MW30109,2020-06-17,MW30120
MW30110,2020-06-30,MW30120
MW30111,2020-06-04,MW30120
MW30112,2020-06-17,MW30120
MW30113,2020-06-04,MW30120
MW30114,2020-06-04,MW30120
MW30120,2020-05-09,MW30120
MW30121,2020-06-17,MW30120
MW30199,2020-06-04,MW30120
MW30201,2020-06-08,MW30307
MW30202,2020-05-26,MW30307
MW30203,2020-05-13,MW30307
MW30204,2020-05-13,MW30307
MW30205,2020-06-08,MW30307
MW30206,2020-06-08,MW30307
MW30207,2020-06-21,MW30307
MW30208,2020-05-13,MW30307
MW30209,2020-05-13,MW30307
MW30210,2020-05-26,MW30307
MW30211,2020-06-21,MW30307
MW30212,2020-06-30,MW30120
MW30213,2020-06-17,MW30120
MW30214,2020-06-17,MW30120
MW30215,2020-06-17,MW30120
MW30216,2020-06-17,MW30120
MW30217,2020-06-04,MW30120
MW30220,2020-05-26,MW30307
MW30221,2020-06-09,MW30221
MW30301,2020-05-13,MW30307
MW30302,2020-05-13,MW30307
MW30304,2020-04-30,MW30307
MW30305,2020-05-13,MW30507
MW30306,2020-04-30,MW30307
MW30307,2020-04-17,MW30307
MW30308,2020-05-13,MW30307
MW30309,2020-04-30,MW30507
MW30310,2020-05-13,MW30307
MW30311,2020-04-30,MW30307
MW30401,2020-06-06,MW30401
MW30402,2020-04-17,MW30507
MW30403,2020-04-30,MW30507
MW30404,2020-04-30,MW30507
MW30405,2020-04-17,MW30507
MW30406,2020-04-30,MW30507
MW30407,2020-04-30,MW30507
MW30408,2020-05-13,MW30507
MW30409,2020-04-30,MW30507
MW30420,2020-04-30,MW30507
MW30501,2020-04-17,MW30507
MW30502,2020-04-30,MW30507
MW30503,2020-04-30,MW30507
MW30504,2020-05-13,MW30507
MW30505,2020-04-17,MW30507
MW30506,2020-04-30,MW30507
MW30507,2020-04-04,MW30507
MW30508,2020-04-30,MW30507
MW30601,2020-05-25,MW30601
MW30602,2020-05-29,MW31001
MW30603,2020-05-16,MW31001
MW30604,2020-05-16,MW31001
MW30620,2020-05-29,MW31001
MW30701,2020-05-16,MW31001
MW30702,2020-05-16,MW31001
MW30703,2020-05-16,MW31001
MW30704,2020-05-03,MW31001
MW30705,2020-04-30,MW30507
MW30706,2020-05-03,MW31001
MW30707,2020-05-13,MW30507
MW30708,2020-05-06,MW30708
MW30709,2020-04-30,MW30507
MW30710,2020-04-17,MW30507
MW30711,2020-04-30,MW30507
MW30712,2020-05-13,MW30507
MW30713,2020-05-13,MW30507
MW30714,2020-04-30,MW30507
MW30720,2020-05-13,MW30507
MW30721,2020-05-13,MW30507
MW30801,2020-05-11,MW30801
MW30802,2020-06-06,MW30801
MW30803,2020-05-24,MW30801
MW30804,2020-05-13,MW30507
MW30805,2020-05-24,MW30801
MW30806,2020-05-13,MW30507
MW30807,2020-05-24,MW30801
MW30808,2020-05-24,MW30801
MW30809,2020-05-24,MW30801
MW30820,2020-05-24,MW30801
MW30901,2020-05-26,MW30507
MW30902,2020-05-22,MW30902
MW30903,2020-06-04,MW30902
MW30904,2020-06-04,MW30902
MW30905,2020-05-26,MW30507
MW30906,2020-06-04,MW30902
MW30920,2020-06-08,MW30507
MW31001,2020-04-07,MW31001
MW31002,2020-04-20,MW31001
MW31003,2020-05-03,MW31001
MW31004,2020-05-03,MW31001
MW31005,2020-05-16,MW31001
MW31006,2020-05-13,MW30507
MW31007,2020-04-20,MW31001
MW31008,2020-05-03,MW31001
MW31009,2020-05-13,MW30507
MW31010,2020-04-20,MW31001
MW31011,2020-04-20,MW31001
MW31012,2020-04-20,MW31001
MW31013,2020-05-16,MW31001
MW31020,2020-05-26,MW30507
MW31021,2020-04-20,MW31001
MW31101,2020-07-07,MW31001
MW31102,2020-06-24,MW31001
MW31103,2020-06-24,MW31001
MW31104,2020-05-25,MW31104
MW31105,2020-05-16,MW31001
MW31106,2020-05-29,MW31001
MW31107,2020-05-03,MW31001
MW31108,2020-06-11,MW31001
MW31109,2020-06-24,MW31001
MW31110,2020-05-03,MW31001
MW31120,2020-06-11,MW31001
MW31201,2020-05-13,MW30307
MW31202,2020-06-13,MW31202
MW31203,2020-06-08,MW30307
MW31204,2020-05-26,MW30307
MW31205,2020-04-30,MW30307
MW31206,2020-05-13,MW30307
MW31207,2020-05-13,MW30307
MW31208,2020-05-26,MW30307
MW31209,2020-05-26,MW30307
MW31210,2020-06-08,MW30307
MW31220,2020-05-26,MW30307
MW31221,2020-05-26,MW30307
MW31301,2020-05-26,MW30307
MW31302,2020-06-21,MW31302
MW31303,2020-04-30,MW30307
MW31304,2020-05-13,MW30307
MW31320,2020-05-26,MW30307
MW314,2020-04-30,MW30307
MW315,2020-04-17,MW30507
