ADM3_PCODE,first_case_date,source,
MW20602,4/20/2020,MW21055,
MW20603,5/2/2020,MW21055,
MW20604,4/26/2020,MW21055,
MW20605,4/26/2020,MW21055,
MW20606,4/26/2020,MW21055,
MW20607,4/26/2020,MW21055,
MW20608,4/20/2020,MW21055,
MW20609,4/20/2020,MW21055,
MW20610,4/14/2020,MW21055,
MW20611,4/8/2020,MW21055,
MW20612,5/2/2020,MW21055,
MW20613,4/26/2020,MW21055,
MW20614,4/26/2020,MW21055,
MW20615,4/14/2020,MW21055,
MW20616,4/20/2020,MW21055,
MW20617,6/27/2020,MW20617,
MW20618,4/14/2020,MW21055,
MW20701,5/2/2020,MW21055,
MW20702,4/26/2020,MW21055,
MW20703,5/2/2020,MW21055,
MW20704,4/26/2020,MW21055,
MW20705,4/26/2020,MW21055,
MW20706,5/2/2020,MW21055,
MW20707,6/21/2020,MW20707,
MW20708,5/2/2020,MW21055,
MW20709,5/2/2020,MW21055,
MW20710,5/8/2020,MW21055,
MW20711,5/8/2020,MW21055,
MW20712,4/26/2020,MW21055,
MW20713,5/2/2020,MW21055,
MW20720,5/8/2020,MW21055,
MW20801,5/2/2020,MW21055,
MW20802,5/2/2020,MW21055,
MW20803,5/2/2020,MW21055,
MW20804,5/2/2020,MW21055,
MW20805,5/2/2020,MW21055,
MW20806,6/1/2020,MW20806,
MW20807,5/14/2020,MW21055,
MW20808,5/14/2020,MW21055,
MW20820,5/8/2020,MW21055,
MW20901,5/13/2020,MW31001,
MW20902,5/10/2020,MW31544,
MW20903,5/7/2020,MW31001,
MW20904,5/13/2020,MW31001,
MW20905,5/16/2020,MW31544,
MW20906,5/22/2020,MW31544,
MW20907,5/13/2020,MW31001,
MW20908,5/13/2020,MW31001,
MW20909,5/19/2020,MW31001,
MW20910,5/19/2020,MW31001,
MW20911,5/20/2020,MW21055,
MW20920,5/19/2020,MW31001,
MW21031,5/8/2020,MW21055,
MW21032,5/2/2020,MW21055,
MW21033,4/26/2020,MW21055,
MW21034,4/26/2020,MW21055,
MW21035,4/26/2020,MW21055,
MW21036,4/26/2020,MW21055,
MW21037,5/2/2020,MW21055,
MW21038,5/2/2020,MW21055,
MW21039,4/26/2020,MW21055,
MW21040,4/20/2020,MW21055,
MW21041,5/2/2020,MW21055,
MW21042,4/26/2020,MW21055,
MW21043,5/2/2020,MW21055,
MW21044,4/20/2020,MW21055,
MW21045,4/26/2020,MW21055,
MW21046,5/2/2020,MW21055,
MW21047,5/2/2020,MW21055,
MW21048,4/14/2020,MW21055,
MW21049,5/2/2020,MW21055,
MW21050,4/26/2020,MW21055,
MW21051,4/26/2020,MW21055,
MW21052,5/2/2020,MW21055,
MW21053,4/26/2020,MW21055,
MW21054,5/2/2020,MW21055,
MW21055,4/2/2020,MW21055,
MW21056,4/8/2020,MW21055,
MW21057,4/14/2020,MW21055,
MW21058,4/14/2020,MW21055,
MW21059,4/14/2020,MW21055,
MW21060,4/14/2020,MW21055,
MW21061,4/26/2020,MW21055,
MW21062,4/20/2020,MW21055,
MW21063,4/26/2020,MW21055,
MW21064,5/2/2020,MW21055,
MW21065,4/26/2020,MW21055,
MW21066,5/2/2020,MW21055,
MW21067,5/2/2020,MW21055,
MW21068,5/2/2020,MW21055,
MW21069,4/20/2020,MW21055,
MW21070,4/26/2020,MW21055,
MW21071,4/26/2020,MW21055,
MW21072,4/26/2020,MW21055,
MW21073,4/14/2020,MW21055,
MW21074,4/20/2020,MW21055,
MW21075,4/26/2020,MW21055,
MW21076,4/20/2020,MW21055,
MW21077,4/20/2020,MW21055,
MW21078,4/20/2020,MW21055,
MW21079,4/14/2020,MW21055,
MW21080,4/8/2020,MW21055,
MW21081,4/8/2020,MW21055,
MW21082,4/14/2020,MW21055,
MW21083,4/20/2020,MW21055,
MW21084,4/14/2020,MW21055,
MW21085,4/8/2020,MW21055,
MW21086,4/20/2020,MW21055,
MW21087,4/26/2020,MW21055,
MW21088,4/26/2020,MW21055,
MW30101,5/15/2020,MW30120,
MW30102,5/21/2020,MW30120,
MW30103,5/21/2020,MW30120,
MW30104,5/20/2020,MW21055,
MW30105,5/21/2020,MW30120,
MW30106,5/21/2020,MW30120,
MW30107,5/15/2020,MW30120,
MW30108,5/27/2020,MW30120,
MW30109,5/27/2020,MW30120,
MW30110,6/2/2020,MW30120,
MW30111,5/21/2020,MW30120,
MW30112,5/26/2020,MW21055,
MW30113,5/21/2020,MW30120,
MW30114,5/21/2020,MW30120,
MW30120,5/9/2020,MW30120,
MW30121,5/26/2020,MW21055,
MW30199,5/21/2020,MW30120,
MW30201,5/22/2020,MW31544,
MW30202,5/16/2020,MW31544,
MW30203,5/10/2020,MW31544,
MW30204,5/10/2020,MW31544,
MW30205,5/22/2020,MW31544,
MW30206,5/22/2020,MW31544,
MW30207,5/28/2020,MW31544,
MW30208,5/10/2020,MW31544,
MW30209,5/10/2020,MW31544,
MW30210,5/16/2020,MW31544,
MW30211,5/28/2020,MW31544,
MW30212,6/2/2020,MW30120,
MW30213,5/27/2020,MW30120,
MW30214,5/27/2020,MW30120,
MW30215,5/27/2020,MW30120,
MW30216,5/27/2020,MW30120,
MW30217,5/21/2020,MW30120,
MW30220,5/16/2020,MW31544,
MW30221,6/9/2020,MW30221,
MW30301,5/5/2020,MW31438,
MW30302,4/29/2020,MW31438,
MW30304,4/28/2020,MW31544,
MW30305,4/28/2020,MW31544,
MW30306,5/4/2020,MW31544,
MW30307,7/14/2020,MW30307,
MW30308,4/29/2020,MW31438,
MW30309,4/22/2020,MW31544,
MW30310,4/28/2020,MW31544,
MW30311,5/4/2020,MW31544,
MW30401,6/6/2020,MW30401,
MW30402,4/10/2020,MW31544,
MW30403,4/16/2020,MW31544,
MW30404,4/16/2020,MW31544,
MW30405,4/22/2020,MW31544,
MW30406,4/22/2020,MW31544,
MW30407,4/16/2020,MW31544,
MW30408,4/22/2020,MW31544,
MW30409,4/16/2020,MW31544,
MW30420,4/22/2020,MW31544,
MW30501,4/22/2020,MW31544,
MW30502,4/28/2020,MW31544,
MW30503,4/28/2020,MW31544,
MW30504,5/1/2020,MW31001,
MW30505,4/22/2020,MW31544,
MW30506,4/28/2020,MW31544,
MW30507,4/16/2020,MW31544,
MW30508,7/3/2020,MW30508,
MW30601,5/25/2020,MW30601,
MW30602,5/1/2020,MW31001,
MW30603,4/25/2020,MW31001,
MW30604,4/25/2020,MW31001,
MW30620,5/1/2020,MW31001,
MW30701,4/25/2020,MW31001,
MW30702,4/25/2020,MW31001,
MW30703,4/25/2020,MW31001,
MW30704,4/19/2020,MW31001,
MW30705,4/19/2020,MW31001,
MW30706,4/19/2020,MW31001,
MW30707,4/25/2020,MW31001,
MW30708,5/6/2020,MW30708,
MW30709,4/22/2020,MW31544,
MW30710,4/16/2020,MW31544,
MW30711,4/22/2020,MW31544,
MW30712,4/22/2020,MW31544,
MW30713,4/22/2020,MW31544,
MW30714,4/22/2020,MW31544,
MW30720,4/28/2020,MW31544,
MW30721,4/22/2020,MW31544,
MW30801,5/11/2020,MW30801,
MW30802,5/10/2020,MW31544,
MW30803,4/28/2020,MW31544,
MW30804,4/22/2020,MW31544,
MW30805,4/28/2020,MW31544,
MW30806,4/22/2020,MW31544,
MW30807,5/10/2020,MW31544,
MW30808,5/1/2020,MW31001,
MW30809,5/4/2020,MW31544,
MW30820,5/4/2020,MW31544,
MW30901,4/28/2020,MW31544,
MW30902,5/22/2020,MW30902,
MW30903,5/4/2020,MW31544,
MW30904,5/4/2020,MW31544,
MW30905,4/28/2020,MW31544,
MW30906,5/4/2020,MW31544,
MW30920,5/4/2020,MW31544,
MW31001,4/7/2020,MW31001,
MW31002,4/13/2020,MW31001,
MW31003,4/19/2020,MW31001,
MW31004,4/19/2020,MW31001,
MW31005,4/25/2020,MW31001,
MW31006,4/28/2020,MW31544,
MW31007,4/13/2020,MW31001,
MW31008,4/19/2020,MW31001,
MW31009,4/25/2020,MW31001,
MW31010,4/13/2020,MW31001,
MW31011,4/13/2020,MW31001,
MW31012,4/13/2020,MW31001,
MW31013,4/25/2020,MW31001,
MW31020,5/1/2020,MW31001,
MW31021,4/13/2020,MW31001,
MW31101,5/19/2020,MW31001,
MW31102,5/13/2020,MW31001,
MW31103,5/13/2020,MW31001,
MW31104,5/25/2020,MW31104,
MW31105,4/25/2020,MW31001,
MW31106,5/1/2020,MW31001,
MW31107,4/19/2020,MW31001,
MW31108,5/7/2020,MW31001,
MW31109,5/13/2020,MW31001,
MW31110,4/19/2020,MW31001,
MW31120,5/7/2020,MW31001,
MW31201,5/10/2020,MW31544,
MW31202,6/13/2020,MW31202,
MW31203,5/22/2020,MW31544,
MW31204,5/16/2020,MW31544,
MW31205,5/4/2020,MW31544,
MW31206,5/10/2020,MW31544,
MW31207,5/10/2020,MW31544,
MW31208,5/16/2020,MW31544,
MW31209,5/16/2020,MW31544,
MW31210,5/22/2020,MW31544,
MW31220,5/16/2020,MW31544,
MW31221,5/16/2020,MW31544,
MW31301,5/1/2020,MW31001,
MW31302,6/21/2020,MW31302,
MW31303,5/4/2020,MW31544,
MW31304,5/7/2020,MW31001,
MW31320,5/7/2020,MW31001,
MW31431,4/23/2020,MW31438,
MW31432,4/29/2020,MW31438,
MW31433,4/29/2020,MW31438,
MW31434,4/23/2020,MW31438,
MW31435,4/29/2020,MW31438,
MW31436,4/29/2020,MW31438,
MW31437,4/23/2020,MW31438,
MW31438,4/17/2020,MW31438,
MW31439,4/29/2020,MW31438,
MW31440,4/23/2020,MW31438,
MW31531,4/22/2020,MW31544,
MW31532,4/16/2020,MW31544,
MW31533,4/10/2020,MW31544,
MW31534,4/16/2020,MW31544,
MW31535,4/22/2020,MW31544,
MW31536,4/22/2020,MW31544,
MW31537,4/22/2020,MW31544,
MW31538,4/22/2020,MW31544,
MW31539,4/22/2020,MW31544,
MW31540,4/28/2020,MW31544,
MW31541,4/22/2020,MW31544,
MW31542,4/16/2020,MW31544,
MW31543,4/10/2020,MW31544,
MW31544,4/4/2020,MW31544,
MW31545,4/10/2020,MW31544,
MW31546,4/10/2020,MW31544,
MW31547,4/16/2020,MW31544,
MW31548,4/22/2020,MW31544,
MW31549,4/28/2020,MW31544,
MW31550,4/22/2020,MW31544,
MW31551,4/10/2020,MW31544,
MW31552,4/16/2020,MW31544,
MW31553,4/16/2020,MW31544,
