ADM3_PCODE,first_case_date,source
MW20121,2020-07-13,MW21055
MW20122,2020-08-16,MW21055
MW20123,2020-06-18,MW20205
MW20124,2020-06-18,MW20205
MW20125,2020-06-18,MW20205
MW20126,2020-06-18,MW20205
MW20127,2020-08-25,MW20205
MW20128,2020-08-16,MW20101
MW20201,2020-05-15,MW20205
MW20202,2020-06-18,MW20205
MW20203,2020-06-18,MW20205
MW20204,2020-05-15,MW20205
MW20205,2020-04-11,MW20205
MW20206,2020-06-18,MW20205
MW20207,2020-06-18,MW20205
MW20208,2020-05-15,MW20205
MW20220,2020-05-15,MW20205
MW20301,2020-07-22,MW20205
MW20302,2020-07-22,MW20205
MW20303,2020-07-22,MW20205
MW20304,2020-06-18,MW20205
MW20305,2020-06-18,MW20205
MW20306,2020-07-22,MW20205
MW20307,2020-07-22,MW20205
MW20320,2020-07-21,MW20320
MW20401,2020-07-13,MW21055
MW20402,2020-07-13,MW21055
MW20403,2020-06-09,MW21055
MW20404,2020-07-08,MW20420
MW20405,2020-07-08,MW20420
MW20406,2020-07-08,MW20420
MW20407,2020-08-11,MW20420
MW20420,2020-06-04,MW20420
MW20421,2020-08-16,MW21055
MW20501,2020-07-08,MW20504
MW20502,2020-07-08,MW20504
MW20503,2020-07-08,MW20504
MW20504,2020-06-04,MW20504
MW20505,2020-07-05,MW20806
MW20506,2020-07-05,MW20806
MW20507,2020-07-22,MW20205
MW20508,2020-08-11,MW20420
MW20509,2020-08-11,MW20504
MW20510,2020-07-22,MW20205
MW20520,2020-07-08,MW20504
MW20521,2020-08-08,MW20806
MW20601,2020-08-16,MW21055
MW20602,2020-07-13,MW21055
MW20603,2020-09-11,MW20806
MW20604,2020-08-16,MW21055
MW20605,2020-08-16,MW21055
MW20606,2020-08-08,MW20806
MW20607,2020-08-08,MW20806
MW20608,2020-07-13,MW21055
MW20609,2020-07-13,MW21055
MW20610,2020-06-09,MW21055
MW20611,2020-05-06,MW21055
MW20612,2020-08-08,MW20806
MW20613,2020-08-16,MW21055
MW20614,2020-08-16,MW21055
MW20615,2020-06-09,MW21055
MW20616,2020-07-13,MW21055
MW20617,2020-06-27,MW20617
MW20618,2020-06-09,MW21055
MW20701,2020-08-28,MW20707
MW20702,2020-08-16,MW21055
MW20703,2020-08-28,MW20707
MW20704,2020-08-16,MW21055
MW20705,2020-08-16,MW21055
MW20706,2020-07-25,MW20707
MW20707,2020-06-21,MW20707
MW20708,2020-07-25,MW20707
MW20709,2020-07-25,MW20707
MW20710,2020-08-28,MW20707
MW20711,2020-07-25,MW20707
MW20712,2020-07-25,MW20707
MW20713,2020-07-25,MW20707
MW20720,2020-10-01,MW20707
MW20801,2020-08-08,MW20806
MW20802,2020-08-08,MW20806
MW20803,2020-07-05,MW20806
MW20804,2020-07-05,MW20806
MW20805,2020-08-08,MW20806
MW20806,2020-06-01,MW20806
MW20807,2020-07-05,MW20806
MW20808,2020-07-05,MW20806
MW20820,2020-07-05,MW20806
MW20901,2020-08-28,MW31302
MW20902,2020-08-16,MW30221
MW20903,2020-07-26,MW20920
MW20904,2020-06-22,MW20920
MW20905,2020-07-26,MW20920
MW20906,2020-08-19,MW30120
MW20907,2020-07-26,MW20920
MW20908,2020-07-26,MW20920
MW20909,2020-08-29,MW20920
MW20910,2020-07-26,MW20920
MW20911,2020-08-08,MW20806
MW20920,2020-05-19,MW20920
MW21031,2020-10-23,MW21055
MW21032,2020-09-19,MW21055
MW21033,2020-08-16,MW21055
MW21034,2020-08-16,MW21055
MW21035,2020-08-16,MW21055
MW21036,2020-08-16,MW21055
MW21037,2020-09-19,MW21055
MW21038,2020-09-19,MW21055
MW21039,2020-08-16,MW21055
MW21040,2020-07-13,MW21055
MW21041,2020-09-19,MW21055
MW21042,2020-08-16,MW21055
MW21043,2020-09-19,MW21055
MW21044,2020-07-13,MW21055
MW21045,2020-08-16,MW21055
MW21046,2020-09-19,MW21055
MW21047,2020-09-19,MW21055
MW21048,2020-06-09,MW21055
MW21049,2020-09-19,MW21055
MW21050,2020-08-16,MW21055
MW21051,2020-08-16,MW21055
MW21052,2020-09-19,MW21055
MW21053,2020-08-16,MW21055
MW21054,2020-09-19,MW21055
MW21055,2020-04-02,MW21055
MW21056,2020-05-06,MW21055
MW21057,2020-06-09,MW21055
MW21058,2020-06-09,MW21055
MW21059,2020-06-09,MW21055
MW21060,2020-06-09,MW21055
MW21061,2020-08-16,MW21055
MW21062,2020-07-13,MW21055
MW21063,2020-08-16,MW21055
MW21064,2020-09-19,MW21055
MW21065,2020-08-16,MW21055
MW21066,2020-09-19,MW21055
MW21067,2020-09-19,MW21055
MW21068,2020-09-19,MW21055
MW21069,2020-07-13,MW21055
MW21070,2020-08-16,MW21055
MW21071,2020-08-16,MW21055
MW21072,2020-08-16,MW21055
MW21073,2020-06-09,MW21055
MW21074,2020-07-13,MW21055
MW21075,2020-08-16,MW21055
MW21076,2020-07-13,MW21055
MW21077,2020-07-13,MW21055
MW21078,2020-07-13,MW21055
MW21079,2020-06-09,MW21055
MW21080,2020-05-06,MW21055
MW21081,2020-05-06,MW21055
MW21082,2020-06-09,MW21055
MW21083,2020-07-13,MW21055
MW21084,2020-06-09,MW21055
MW21085,2020-05-06,MW21055
MW21086,2020-07-13,MW21055
MW21087,2020-08-16,MW21055
MW21088,2020-08-16,MW21055
MW30101,2020-06-12,MW30120
MW30102,2020-07-16,MW30120
MW30103,2020-07-16,MW30120
MW30104,2020-07-16,MW30120
MW30105,2020-07-16,MW30120
MW30106,2020-07-16,MW30120
MW30107,2020-06-12,MW30120
MW30108,2020-08-19,MW30120
MW30109,2020-08-19,MW30120
MW30110,2020-09-22,MW30120
MW30111,2020-07-16,MW30120
MW30112,2020-08-19,MW30120
MW30113,2020-07-16,MW30120
MW30114,2020-07-16,MW30120
MW30120,2020-05-09,MW30120
MW30121,2020-08-19,MW30120
MW30199,2020-07-16,MW30120
MW30201,2020-08-16,MW30221
MW30202,2020-07-13,MW30221
MW30203,2020-07-13,MW30221
MW30204,2020-08-16,MW30221
MW30205,2020-09-19,MW30221
MW30206,2020-09-19,MW30221
MW30207,2020-09-22,MW30120
MW30208,2020-08-16,MW30221
MW30209,2020-08-31,MW31438
MW30210,2020-08-16,MW30221
MW30211,2020-09-22,MW30120
MW30212,2020-09-22,MW30120
MW30213,2020-08-19,MW30120
MW30214,2020-08-19,MW30120
MW30215,2020-08-19,MW30120
MW30216,2020-08-19,MW30120
MW30217,2020-07-13,MW30221
MW30220,2020-08-16,MW30221
MW30221,2020-06-09,MW30221
MW30301,2020-07-28,MW31438
MW30302,2020-06-24,MW31438
MW30304,2020-06-24,MW31438
MW30305,2020-07-28,MW31438
MW30306,2020-07-28,MW31438
MW30307,2020-07-14,MW30307
MW30308,2020-06-24,MW31438
MW30309,2020-07-10,MW30401
MW30310,2020-07-28,MW31438
MW30311,2020-08-16,MW30221
MW30401,2020-06-06,MW30401
MW30402,2020-05-08,MW31544
MW30403,2020-06-11,MW31544
MW30404,2020-06-11,MW31544
MW30405,2020-07-10,MW30401
MW30406,2020-07-10,MW30401
MW30407,2020-06-11,MW31544
MW30408,2020-07-15,MW31544
MW30409,2020-06-11,MW31544
MW30420,2020-07-10,MW30401
MW30501,2020-07-13,MW30708
MW30502,2020-08-16,MW30708
MW30503,2020-08-16,MW30708
MW30504,2020-07-25,MW31302
MW30505,2020-07-15,MW31544
MW30506,2020-08-06,MW30508
MW30507,2020-06-11,MW31544
MW30508,2020-07-03,MW30508
MW30601,2020-05-25,MW30601
MW30602,2020-06-28,MW30601
MW30603,2020-06-28,MW30601
MW30604,2020-06-28,MW30601
MW30620,2020-06-28,MW30601
MW30701,2020-06-28,MW31104
MW30702,2020-06-28,MW31104
MW30703,2020-07-13,MW30708
MW30704,2020-06-09,MW30708
MW30705,2020-06-09,MW30708
MW30706,2020-06-09,MW30708
MW30707,2020-06-09,MW30708
MW30708,2020-05-06,MW30708
MW30709,2020-07-13,MW30708
MW30710,2020-06-09,MW30708
MW30711,2020-07-13,MW30708
MW30712,2020-06-09,MW30708
MW30713,2020-06-09,MW30708
MW30714,2020-06-09,MW30708
MW30720,2020-06-09,MW30708
MW30721,2020-07-13,MW30708
MW30801,2020-05-11,MW30801
MW30802,2020-07-18,MW30801
MW30803,2020-06-14,MW30801
MW30804,2020-07-13,MW30708
MW30805,2020-06-14,MW30801
MW30806,2020-07-15,MW31544
MW30807,2020-06-14,MW30801
MW30808,2020-06-14,MW30801
MW30809,2020-06-14,MW30801
MW30820,2020-06-14,MW30801
MW30901,2020-06-25,MW30902
MW30902,2020-05-22,MW30902
MW30903,2020-06-25,MW30902
MW30904,2020-06-25,MW30902
MW30905,2020-07-28,MW31438
MW30906,2020-06-25,MW30902
MW30920,2020-07-29,MW30902
MW31001,2020-04-07,MW31001
MW31002,2020-05-11,MW31001
MW31003,2020-06-14,MW31001
MW31004,2020-06-14,MW31001
MW31005,2020-07-18,MW31001
MW31006,2020-08-01,MW30601
MW31007,2020-05-11,MW31001
MW31008,2020-06-14,MW31001
MW31009,2020-07-18,MW31001
MW31010,2020-05-11,MW31001
MW31011,2020-05-11,MW31001
MW31012,2020-05-11,MW31001
MW31013,2020-06-28,MW30601
MW31020,2020-08-21,MW31001
MW31021,2020-05-11,MW31001
MW31101,2020-12-01,MW31001
MW31102,2020-10-28,MW31001
MW31103,2020-10-28,MW31001
MW31104,2020-05-25,MW31104
MW31105,2020-07-18,MW31001
MW31106,2020-08-21,MW31001
MW31107,2020-06-14,MW31001
MW31108,2020-09-24,MW31001
MW31109,2020-10-28,MW31001
MW31110,2020-06-14,MW31001
MW31120,2020-09-24,MW31001
MW31201,2020-07-13,MW30221
MW31202,2020-06-13,MW31202
MW31203,2020-07-17,MW31202
MW31204,2020-07-13,MW30221
MW31205,2020-08-16,MW30221
MW31206,2020-08-28,MW31302
MW31207,2020-08-16,MW30221
MW31208,2020-08-16,MW30221
MW31209,2020-08-16,MW30221
MW31210,2020-08-20,MW31202
MW31220,2020-08-16,MW30221
MW31221,2020-07-13,MW30221
MW31301,2020-06-28,MW30601
MW31302,2020-06-21,MW31302
MW31303,2020-07-25,MW31302
MW31304,2020-07-25,MW31302
MW31320,2020-08-01,MW30601
MW31431,2020-05-21,MW31438
MW31432,2020-06-24,MW31438
MW31433,2020-06-24,MW31438
MW31434,2020-05-21,MW31438
MW31435,2020-06-24,MW31438
MW31436,2020-06-24,MW31438
MW31437,2020-05-21,MW31438
MW31438,2020-04-17,MW31438
MW31439,2020-06-24,MW31438
MW31440,2020-05-21,MW31438
MW31531,2020-07-15,MW31544
MW31532,2020-06-11,MW31544
MW31533,2020-05-08,MW31544
MW31534,2020-06-11,MW31544
MW31535,2020-07-15,MW31544
MW31536,2020-07-15,MW31544
MW31537,2020-07-15,MW31544
MW31538,2020-07-15,MW31544
MW31539,2020-07-15,MW31544
MW31540,2020-08-18,MW31544
MW31541,2020-07-15,MW31544
MW31542,2020-06-11,MW31544
MW31543,2020-05-08,MW31544
MW31544,2020-04-04,MW31544
MW31545,2020-05-08,MW31544
MW31546,2020-05-08,MW31544
MW31547,2020-06-11,MW31544
MW31548,2020-07-15,MW31544
MW31549,2020-08-06,MW30508
MW31550,2020-07-15,MW31544
MW31551,2020-05-08,MW31544
MW31552,2020-06-11,MW31544
MW31553,2020-06-11,MW31544
