ADM3_PCODE,first_case_date,source
MW30205,9/22/2020,MW30221
MW30206,9/22/2020,MW30221
MW30207,9/26/2020,MW30120
MW30208,8/18/2020,MW30221
MW30209,9/4/2020,MW31438
MW30210,8/18/2020,MW30221
MW30211,9/26/2020,MW30120
MW30212,9/26/2020,MW30120
MW30213,8/22/2020,MW30120
MW30214,8/22/2020,MW30120
MW30215,8/22/2020,MW30120
MW30216,8/22/2020,MW30120
MW30217,7/14/2020,MW30221
MW30220,8/18/2020,MW30221
MW30221,6/9/2020,MW30221
MW30301,7/31/2020,MW31438
MW30302,6/26/2020,MW31438
MW30304,6/26/2020,MW31438
MW30305,7/31/2020,MW31438
MW30306,7/31/2020,MW31438
MW30307,7/14/2020,MW30307
MW30308,6/26/2020,MW31438
MW30309,7/11/2020,MW30401
MW30310,7/31/2020,MW31438
MW30311,8/18/2020,MW30221
MW30401,6/6/2020,MW30401
MW30402,5/9/2020,MW31544
MW30403,6/13/2020,MW31544
MW30404,6/13/2020,MW31544
MW30405,7/11/2020,MW30401
MW30406,7/11/2020,MW30401
MW30407,6/13/2020,MW31544
MW30408,7/18/2020,MW31544
MW30409,6/13/2020,MW31544
MW30420,7/11/2020,MW30401
MW30501,7/15/2020,MW30708
MW30502,8/18/2020,MW30307
MW30503,8/18/2020,MW30307
MW30504,7/26/2020,MW31302
MW30505,7/18/2020,MW31544
MW30506,8/7/2020,MW30508
MW30507,6/13/2020,MW31544
MW30508,7/3/2020,MW30508
MW30601,5/25/2020,MW30601
MW30602,6/29/2020,MW30601
MW30603,6/29/2020,MW30601
MW30604,6/29/2020,MW30601
MW30620,6/29/2020,MW30601
MW30701,6/29/2020,MW31104
MW30702,6/29/2020,MW31104
MW30703,7/15/2020,MW30708
MW30704,6/10/2020,MW30708
MW30705,6/10/2020,MW30708
MW30706,6/10/2020,MW30708
MW30707,6/10/2020,MW30708
MW30708,5/6/2020,MW30708
MW30709,7/15/2020,MW30708
MW30710,6/10/2020,MW30708
MW30711,7/15/2020,MW30708
MW30712,6/10/2020,MW30708
MW30713,6/10/2020,MW30708
MW30714,6/10/2020,MW30708
MW30720,6/10/2020,MW30708
MW30721,7/15/2020,MW30708
MW30801,5/11/2020,MW30801
MW30802,7/20/2020,MW30801
MW30803,6/15/2020,MW30801
MW30804,7/15/2020,MW30708
MW30805,6/15/2020,MW30801
MW30806,7/18/2020,MW31544
MW30807,6/15/2020,MW30801
MW30808,6/15/2020,MW30801
MW30809,6/15/2020,MW30801
MW30820,6/15/2020,MW30801
MW30901,6/26/2020,MW30902
MW30902,5/22/2020,MW30902
