"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","runNum"
"61",61,999068.101086488,52554.0413570399,398551.145593246,169438.855977391,48087.3946980721,17156120.2198702,17530.9047210487,17842281.562217,537831.172243556,78187.5576040648,"Malawi","All","All",1,18841350.6633035,598
"62",62,983523.030702569,41173.5628065663,319767.620052786,157878.45308369,48556.6714671273,17271360.622493,19090.7026977935,17857826.6326009,541100.28014895,81334.9718650251,"Malawi","All","All",1,18841350.6633035,598
"63",63,971235.727881428,32339.6490609729,256144.081613074,146700.846713483,48787.7957021607,17365480.8175948,20661.7447376096,17870113.9354221,543721.055611308,84263.5393913822,"Malawi","All","All",1,18841350.6633035,598
"64",64,961510.321486785,25457.3742494136,204912.627139845,135992.685660816,48801.6346203166,17442439.33812,22236.6820263185,17879839.3418167,545819.016035675,86981.5096542224,"Malawi","All","All",1,18841350.6633035,598
"65",65,953804.282125578,20077.8002082673,163756.06404845,125810.96573244,48619.2615786516,17505473.4456783,23808.8439317977,17887545.3811779,547496.483451433,89498.5026876409,"Malawi","All","All",1,18841350.6633035,598
"66",66,947692.994925369,15860.4885161625,130755.288305394,116189.30664061,48261.451120753,17557218.8976983,25372.2360969792,17893656.6683781,548836.466814829,91825.0008610825,"Malawi","All","All",1,18841350.6633035,598
"67",67,942843.065984982,12545.927320285,104334.25943603,107143.231299438,47748.3042031419,17599814.3511334,26921.5239262218,17898506.5973185,549906.041911907,93971.9457522235,"Malawi","All","All",1,18841350.6633035,598
"68",68,937804.958434601,10827.2917306028,83472.5698354892,98675.2844423169,47099.0102270165,17635019.5398433,28452.0087902552,17903544.7048689,550760.156255973,95950.4593231466,"Malawi","All","All",1,18841350.6633035,598
"69",69,933784.491456466,9098.81699906591,67075.0370627423,90779.5315687557,46331.6787404032,17664321.5150032,29959.5924729024,17907565.171847,551445.047455397,97771.6145783279,"Malawi","All","All",1,18841350.6633035,598
"70",70,930561.733826773,7529.53519358057,54045.7704963669,83440.2299692428,45463.2424715661,17688869.4083894,31440.7429566521,17910787.9294767,551996.180578296,99446.2798526545,"Malawi","All","All",1,18841350.6633035,598
"71",71,927970.828020509,6173.98378290517,43620.1435282833,76635.0150477209,44509.3588727445,17709548.8799084,32892.4541429525,17913378.835283,552440.644729171,100984.951195828,"Malawi","All","All",1,18841350.6633035,598
