time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,inci_all,hosp_all,crits_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
208,1334.9719204457492,10.024558996910132,13.591229869252937,2.4856120909460504,3.0399615900149315,3199.250342731611,62.85661427550584,3291.2483195542372,368.7964441273135,108.55361426706997,9556.714146093147,39.29348597064907,53.05683425544783,2.100389618613202,1.2004833144073657,10529.305944722699,7.308106025031598,10631.265243906855,259.40279994672125,36.92225262605768,17831.480613030326,49.40549247682638,66.59175144833901,0.01880363365044966,0.003685437149090052,12054.236028295287,0.10152567842543951,12170.35728696968,2.1230259451410403,0.10521111557452954,28723.16667956922,98.72353744438558,133.23981557303978,4.604805343209702,4.244130341571387,25782.792315749597,70.26624597896287,26092.870850430772,630.3222700191758,145.58107800870218, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
209,1332.943876325336,9.294092747155664,12.608619790267301,2.3088064468602045,2.8495032952676342,3203.1395139900887,63.075827405014486,3293.2763636746504,369.21868007512654,108.73113598963391,9548.741356422113,36.45065587508263,49.26195968095448,1.9534542194754203,1.127696459022984,10544.106400188393,7.337867154952853,10639.238033577889,259.7623856898822,36.9949371436747,17821.44322995291,45.84224578165451,61.85137104556256,0.017497997355512163,0.003465418788522396,12072.578117313278,0.10197249045340881,12180.394670047095,2.126256182194136,0.10543790924193118,28703.12846270036,91.5869944038928,123.72195051678435,4.279758663691137,3.980665173079141,25819.82403149176,70.51566705042075,26112.909067299635,631.1073219472029,145.83151104255055, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
210,1331.064388707946,8.61617675792762,11.695592433762089,2.1441199814429126,2.669546621821638,3206.7491638685465,63.28125162854336,3295.1558512920406,369.610365060133,108.8960127187297,9541.349991577794,33.80949126118847,45.73023378171479,1.816271821393273,1.058676737157,10557.848909488706,7.365815332040798,10646.629398422208,260.0962219536845,37.062527144108465,17812.136421965453,42.53019489117555,57.43659334430046,0.01627773867461686,0.0032564285453624896,12089.61276313917,0.10239249268601174,12189.701478034554,2.129256163302101,0.1056489212313742,28684.550802251193,84.95586291029164,114.86241955977734,3.976669541510802,3.731479787524001,25854.210836496422,70.74945945327016,26131.486727748805,631.8358431771196,146.06418878406953, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
211,1329.3226582834725,7.987128087635744,10.847430250987973,1.9907864567473494,2.4996741401045326,3210.098909345017,63.473653436025046,3296.897581716514,369.9736660390106,109.04911368575863,9534.498152030925,31.356256048856864,42.44457050401645,1.6882664532388685,0.9933004166944301,10570.606799224055,7.392045322207066,10653.481237969077,260.4060985251575,37.12536210774015,17803.507742584425,39.452453156519624,53.3267069486187,0.015137984706800639,0.0030581443979595677,12105.430014137615,0.10278704372656597,12198.330157415587,2.132041747197311,0.10584518812452551,28667.328552898824,78.79583729301223,106.61870770362312,3.6941908946930186,3.4960327011969223,25886.135722706687,70.96848580195868,26148.708977101178,632.5118063113654,146.2803209816233, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
212,1327.7086589496053,7.403507679685582,10.059704848241566,1.8480788556666992,2.3394655033978395,3213.2070560586562,63.65376810473683,3298.511581050381,370.31060254073407,109.19125281015148,9528.1468860452,29.07806802083784,39.38882828731023,1.5688863189142348,0.931439295240158,10582.448633365511,7.416648666979451,10659.832503954802,260.6936883816273,37.18376128399419,17795.508406250112,36.5931514002914,49.502084278211626,0.014074043515006754,0.0028702259805799893,12120.114156341166,0.10315746073195918,12206.329493749898,2.1346277777657896,0.10602768671253913,28651.36395124492,73.07472710081481,98.95061741376342,3.4310392180959406,3.2737750246185775,25915.76984576533,71.17357423244823,26164.67357875508,633.1389187001272,146.48104178085822, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
213,1326.2130841663372,6.862106336748778,9.328263913235421,1.7153087597879892,2.18850050245918,3216.0906767231772,63.82229959824442,3300.0071558336494,370.62305577972205,109.32319158435357,9522.259992609397,26.962857770269892,36.54778225949789,1.4576042355584982,0.8729620493646323,10593.438477489166,7.439713586741004,10665.719397390605,260.9605542355234,37.238024567619995,17788.093047795308,33.937393963581506,45.944159464223056,0.013081411840223664,0.002692318915396413,12133.744020028742,0.1035050173947866,12213.744852204702,2.1370281380438825,0.10619733631018297,28636.566124571043,67.76235807060017,91.82020563695637,3.185994407186711,3.0641548707392086,25943.273174241083,71.36551820238022,26179.471405428958,633.7206381532893,146.66741348828376, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
214,1324.8272967785576,6.359931170859927,8.64921795472357,1.591825491893637,2.0463617080685768,3218.7656862183717,63.979920677515764,3301.392943221429,370.9127773449365,109.44564190289104,9516.803836023184,24.999327741705816,33.907093082663735,1.3539177929319397,0.8177354348617087,10603.63615500808,7.461324916567662,10671.175553976818,261.20815487250735,37.28843338532641,17781.21949549927,31.47121389408483,42.635400607363756,0.01215578000941512,0.0025240587081972266,12146.393279218133,0.1038309424396552,12220.618404500741,2.1392558029664626,0.10635500114785239,28622.85062830101,62.830472806650576,85.19171164475107,2.957899064834992,2.8666212016384827,25968.795120444585,71.54507653652308,26193.186901698988,634.2601880204103,146.8404302893653, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
215,1323.5432821219756,5.894192572043289,8.01892702839126,1.477015070342517,1.91263673619907,3221.24691327646,64.12727319457856,3302.676957878011,371.1813974614413,109.55926882048709,9511.74717168425,23.176911726063093,31.453273383686863,1.257349277064018,0.7656253469358042,10613.097494511028,7.48156407096646,10676.232218315752,261.4378512621884,37.335251583610415,17774.848557308,29.181527836276192,39.559277706375255,0.011293034434834199,0.0023650742282539487,12158.130742622112,0.10413641858056837,12226.989342692008,2.141322890611279,0.10650149280882226,28610.139011114225,58.25263213438257,79.03147811845338,2.745657381841369,2.680627157363128,25992.4751504096,71.71297368412559,26205.89851888577,634.760571614241,147.00102189690634, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
216,1322.3536042331766,5.462291714669363,7.433987606015544,1.370299015301647,1.7869201694012682,3223.5481687197116,64.26496854171461,3303.8666357668103,371.43043282475725,109.66469322748206,9507.060982607665,21.485735080247686,29.1736526081516,1.1674453937328426,0.7164977500575996,10621.874567526123,7.50050903401518,10680.918407392337,261.65091242567274,37.37872631041583,17768.943819759912,27.05609107076121,36.700227431982746,0.010489258029620934,0.002214990797057021,12169.020634906636,0.10442258188820906,12232.894080240096,2.1432407117349412,0.10663757268526604,28598.358406600753,54.00411786567826,73.30786764614989,2.5482336670641104,2.5056329102559247,26014.44337115247,71.86990015761799,26217.679123399244,635.224585962165,147.15005711058316, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
217,1321.2513649824257,5.061808632283136,6.891219670166911,1.2711330489148953,1.6688151648840888,3225.682310269351,64.39358823196444,3304.9688750175605,371.66129401573085,109.762494432373,9502.718326171958,19.916575957219255,27.05634081717596,1.0837768321873624,0.670219486198763,10630.015916363536,7.518234371718395,10685.261063828044,261.84852105256635,37.41908888376387,17763.471459094188,25.083453153234977,34.04361550875704,0.009740728918369022,0.0020734329078678673,12179.12286756048,0.10469052152016135,12238.366440905816,2.145019817478952,0.10676395442802918,28587.44115024857,50.06183774273737,67.99117599609991,2.3646506100206266,2.3411080839907195,26034.82109419337,72.016513125203,26228.59637975142,635.6548348857762,147.2883472705649, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
218,1320.230165958782,4.690490866188339,6.387654124935097,1.1790057196092703,1.5579347802102663,3227.6613039615854,64.51368458868004,3305.9900740412045,371.8752925043438,109.85321264501987,9498.694190598457,18.460827716553254,25.090191992491352,1.00593769852192,0.6266589710199392,10637.566771759366,7.534811263582956,10689.285199401545,262.0317788614765,37.4565556422811,17758.4000640178,23.2529144493413,31.575697528464666,0.009043917721234458,0.0019400266015825918,12188.493298780308,0.10494127976939958,12243.437835982206,2.146670045140876,0.10688130637098212,28577.324420575038,46.40423303208289,63.05354364589112,2.1939873358524244,2.186533777831788,26053.72137450126,72.1534371320324,26238.713109424956,636.0537414109612,147.41664959367196, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
219,1319.2840729428435,4.346242685885896,5.9205205943949375,1.0934369761023846,1.453903045743107,3229.4962822308753,64.62578152414505,3306.936167057143,372.07364725316984,109.93735135611593,9494.965360670392,17.110462643973534,23.264767308154806,0.9335448447721241,0.5856867874183127,10644.569260194625,7.550307550655811,10693.01402932961,262.2017117017148,37.49132877355416,17753.700469594205,21.554483801635445,29.283578868875985,0.00839548366183121,0.001814401524683768,12197.183981997714,0.10517585238946996,12248.137430405797,2.1482005619449036,0.10699025391415366,28567.949903207442,43.011189131494874,58.46886677142573,2.0353773045363397,2.0414042346861034,26071.249524423212,72.28126492719034,26248.08762679255,636.4235595168295,147.53567038358423, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
220,1318.4075825888644,4.027114812529389,5.487235564179431,1.0139767049162423,1.3563558146298837,3231.197599118587,64.7303753962841,3307.8126574111216,372.2574909759785,110.01537962527792,9491.510291363904,15.8579968573001,21.5702984221885,0.8662371132643814,0.5471761879547739,10651.062602257274,7.564787798103332,10696.469098636098,262.35927443058694,37.523597122442524,17749.345600669403,19.978837255834065,27.155173910069916,0.007792269704136569,0.0016961927036217024,12205.243404513129,0.10539518916466417,12252.492299330603,2.149619907069852,0.10709138186828582,28559.26347462217,39.86394892566355,54.21270789643785,1.8880060878847602,1.9052281952882792,26087.50360588899,72.4005583835521,26256.774055377824,636.7663853136353,147.6460681295887, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
221,1317.5955926929792,3.7312951143951336,5.085391473400912,0.9402033239616336,1.2649413874035458,3232.7748801278667,64.82793587998353,3308.624647307007,372.4278757746327,110.08773416828193,9488.308994732293,14.696458130762132,19.997652917833925,0.803674558255672,0.5110034956598343,10657.083292799174,7.578313366009888,10699.670395267709,262.50535533977,37.55353693794539,17745.310331521276,18.51727996568309,25.1791670875682,0.007231297209480978,0.0015850419901914,12212.716704891638,0.10560019464616337,12256.527568478732,2.1509360299365743,0.10718523663635471,28551.21491894655,36.94503321084036,50.26221147880304,1.7511091794267866,1.7775299250535714,26102.57487781868,72.51184944063958,26264.82261105345,637.0841671443393,147.74845634286368, 63,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,20615,MW20615,0.1434975,0.003531685,0.2045841,0.02935731,0.02461147,0.000722526,20188.97939,0.2963429,0.03344629,0.5957202,0.1765374,0.1128635,0.01992463, 4626.22024,0.05,8.81e-06,1,0.2258468,0.000176121,3.98e-05, 30001.83790,36,2020-04-08
