OBJECTID,REG_NAME,REG_CODE,DIST_CODE,DIST_NAME,TA_CODE,TA_NAME,_Popsum,<1,1-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,Pop>60
22,Central,2,MW201,Kasungu,20115,STA Chaima,28125.76182,981.6843305,3605.837149,4147.788079,3742.851299,3124.046767,2709.110333,2255.370767,1915.61651,1474.591712,1229.550035,893.5266611,648.9997571,425.9486934,320.5763887,269.7458099,203.3855652,109.6230285,67.50893535,0.034517811
23,Central,2,MW201,Kasungu,20111,STA Chambwe,13734.68033,478.1965917,1756.466567,2019.436718,1828.135753,1529.907176,1323.116383,1099.060034,934.9060457,720.1845866,599.4675115,436.9822431,317.2809693,209.748863,157.9479784,133.3022848,101.6256944,55.02008686,33.8948438,0.03507842
24,Central,2,MW201,Kasungu,20105,STA Chisikwa,8239.972683,287.5721399,1056.284935,1215.328862,1096.250196,914.7880617,793.7268953,661.0806835,561.4278366,431.9993479,360.2995563,261.8838186,190.1861042,124.8702726,93.89609375,79.05254249,59.57138793,32.02948536,19.72446388,0.034499383
25,Central,2,MW201,Kasungu,20113,STA Chisinga,22969.62205,801.6317067,2944.483759,3387.832182,3055.890309,2550.049235,2212.580976,1842.81842,1565.027666,1204.234787,1004.365542,730.0233347,530.1598806,348.0864655,261.7433175,220.3656604,166.0602915,89.28490439,54.9836144,0.034499383
26,Central,2,MW201,Kasungu,20125,STA Kapichira,9358.493633,326.7948364,1200.353277,1380.879773,1244.590698,1038.168553,900.5532669,750.7345684,637.3703153,490.8997131,408.8437892,297.3705923,215.7218641,142.0158485,106.6788835,89.97982127,68.15424887,36.75142172,22.63216264,0.034641957
27,Central,2,MW201,Kasungu,20104,STA M'nyanja,57083.71586,1992.201546,7317.58119,8419.383185,7594.446861,6337.339187,5498.668785,4579.74114,3889.380261,2992.743905,2496.032242,1814.241633,1317.54436,865.0585913,650.4800613,547.6490087,412.6902251,221.8893328,136.6443476,0.034499383
28,Central,2,MW201,Kasungu,20117,STA Mangwazu,5488.104477,191.5329101,703.5220023,809.4507141,730.1402369,609.2802307,528.649341,440.3024133,373.9301987,287.7263853,239.9718644,174.4236071,126.6704697,83.16788519,62.53801953,52.65170515,39.67658795,21.332736,13.13716959,0.034499383
29,Central,2,MW201,Kasungu,20118,STA Mawawa,6472.555716,225.8899112,829.7191456,954.6492539,861.1121352,718.5723698,623.4779836,519.2834637,441.0054612,339.3384852,283.0178013,205.7115566,149.3925045,98.08646555,73.75603315,62.09632061,46.79373856,25.15938299,15.49370324,0.034499383
30,Central,2,MW201,Kasungu,20126,STA Mdunga,18888.74629,659.3918736,2422.025345,2783.501339,2512.759796,2099.473325,1819.255458,1513.495121,1285.197446,989.5617371,825.0707123,600.0473292,435.8768557,287.0421135,216.1990341,181.809768,137.771031,74.42717623,45.84082975,0.034732207
31,Central,2,MW201,Kasungu,20114,STA Mphomwa,26232.37525,915.5006424,3362.737215,3869.061707,3489.968669,2912.274667,2526.870243,2104.584229,1787.334285,1375.292059,1147.032099,833.7205557,605.4672079,397.5309111,298.9230257,251.6678195,189.6485659,101.9675078,62.79384145,0.034499383
32,Central,2,MW201,Kasungu,20108,STA Nthunduwala,8342.147359,291.4588555,1070.560205,1228.774897,1112.849523,930.9244675,803.132867,665.8711251,566.1833275,437.461519,363.9374892,264.0028519,192.0300885,125.5796642,95.29789522,79.76838726,60.45842453,33.3291815,20.52658997,0.034688967
33,Central,2,MW201,Kasungu,20122,TA Chidzuma,26022.92055,908.1907471,3335.887145,3838.168844,3462.102709,2889.021355,2506.694225,2087.779992,1773.063158,1364.310919,1137.87352,827.0636408,600.6328018,394.3567908,296.5362486,249.6583558,188.1343003,101.1533393,62.29245853,0.034499383
34,Central,2,MW201,Kasungu,20110,TA Chilowamatambe,37723.1352,1316.714938,4836.448168,5560.809319,5018.52531,4191.090572,3633.598994,3024.152028,2568.132736,1976.80179,1648.493662,1198.594537,870.6159384,572.6027025,431.0198764,362.5991455,274.117177,147.7947665,91.02353994,0.034635364
35,Central,2,MW201,Kasungu,20102,TA Chisemphere,18911.28296,659.9929427,2424.228576,2789.252864,2515.974144,2099.524135,1821.640766,1517.182524,1288.48798,991.4456997,826.9184923,601.0497772,436.501755,286.5930337,215.5123274,181.4447377,136.7376446,73.52152055,45.27403941,0.034502697
36,Central,2,MW201,Kasungu,20112,TA Chulu,37310.73354,1302.131438,4782.875778,5503.029329,4963.839144,4142.175578,3594.008602,2993.384344,2542.154594,1956.100242,1631.442391,1185.814293,861.1658474,565.4146741,425.1630763,357.9512288,269.7402367,145.0300431,89.31270097,0.034499383
37,Central,2,MW201,Kasungu,20101,TA Kaluluma,52606.36407,1835.864904,6743.338806,7758.87126,6998.916621,5840.742691,5067.097744,4219.747071,3583.824445,2757.603904,2300.391519,1672.113315,1214.430736,797.349396,599.7352057,504.9573291,380.64912,204.7071607,126.0228424,0.0345219
38,Central,2,MW201,Kasungu,20106,TA Kaomba,55926.75846,1951.824141,7169.270422,8248.741391,7440.524655,6208.8957,5387.223244,4486.920179,3810.551348,2932.087776,2445.443332,1777.471071,1290.840725,847.5258166,637.2963064,536.5494059,404.3259306,217.3921395,133.8748768,0.034499383
39,Central,2,MW201,Kasungu,20124,TA Kapelula,47928.84622,1672.699825,6144.015298,7069.114472,6376.478306,5320.980786,4616.813159,3845.259642,3265.616221,2512.778999,2095.728067,1523.280447,1106.241597,726.3237784,546.1585386,459.8191398,346.5045336,186.303564,114.7298459,0.034499383
40,Central,2,MW201,Kasungu,20116,TA Kaphaizi,1600.606186,55.86059124,205.1822581,236.0763767,212.9454686,177.6966365,154.18063,128.4142402,109.0567776,83.91542727,69.98781676,50.87066136,36.94345439,24.25592152,18.23921927,15.35587476,11.5716806,6.221694462,3.831456745,0.034499383
41,Central,2,MW201,Kasungu,20107,TA Kawamba,33574.95046,1171.69206,4303.757232,4951.786553,4466.876409,3727.617817,3234.16243,2693.57937,2287.622983,1760.270698,1468.06039,1067.11433,774.95587,508.8607025,382.6381021,322.1715358,242.816311,130.5634504,80.40421685,0.034507679
42,Central,2,MW201,Kasungu,20119,TA Lukwa,25456.53328,888.4240313,3263.281766,3754.631335,3386.750256,2826.141982,2452.136179,2042.339588,1734.472547,1334.616776,1113.107773,809.0626514,587.5600657,385.7736395,290.0821553,244.224557,184.0395688,98.95174308,60.93666698,0.034499383
43,Central,2,MW201,Kasungu,20127,TA Mwase,28830.89343,1006.18801,3695.842156,4252.321975,3835.676863,3200.757833,2777.17614,2313.059455,1964.383469,1511.525297,1260.654435,916.3069782,665.4433837,436.9094002,328.5336465,276.5974494,208.4347124,112.0681724,69.01405358,0.034499383
44,Central,2,MW201,Kasungu,20109,TA Njombwa,70040.26088,2438.349137,8956.30974,10306.40694,9322.859161,7793.584934,6747.546254,5610.573383,4772.635594,3674.694353,3059.467663,2229.064766,1618.086442,1067.145449,802.5127412,677.8823107,514.5743591,277.5850426,170.9826105,0.034887607
45,Central,2,MW201,Kasungu,20121,TA Santhe,61646.01632,2151.502834,7902.709886,9089.71,8204.022019,6847.572187,5936.953568,4941.917876,4198.318205,3232.601876,2694.480476,1958.399042,1422.3617,933.9978996,703.3906504,591.8577502,446.5205379,241.1745377,148.5252741,0.034575937
46,Central,2,MW201,Kasungu,20103,TA Simlemba,40288.35522,1406.047002,5164.569368,5942.200067,5359.98767,4472.760474,3880.823575,3232.25076,2745.018934,2112.196583,1761.645434,1280.454624,929.8989803,610.5424656,459.102001,386.5258641,291.2770774,156.6110338,96.44330713,0.034500274
47,Central,2,MW201,Kasungu,20123,TA Wimbe,100664.9395,3513.26701,12904.62849,14846.04833,13392.39804,11176.88021,9696.551874,8075.228353,6857.868661,5277.231085,4401.216788,3199.204208,2323.384883,1525.904575,1147.579988,966.0624765,728.3871872,391.8092309,241.288109,0.034521721
48,Central,2,MW206,Lilongwe,20607,STA Chitekwele,64519.55351,2235.626861,8211.30634,9343.861581,8573.101872,6984.719069,6005.177652,4980.573398,4382.262302,3513.608951,2752.582302,2062.713798,1468.937052,1075.681977,892.9455093,753.8897096,603.7152676,419.7526764,259.0971929,0.045403296
49,Central,2,MW206,Lilongwe,20618,STA Mbang'ombe,13580.80028,470.6023497,1728.490753,1966.854528,1804.525399,1470.084892,1264.068766,1048.424835,922.4673066,739.6459178,579.4066011,434.1842033,309.1623904,226.3771309,187.9329686,158.6611011,127.0184682,88.35472843,54.53794102,0.045395352
50,Central,2,MW206,Lilongwe,20601,TA Chadza,175808.8641,6092.129042,22375.97949,25461.89617,23360.51436,19031.21635,16362.84435,13571.4657,11941.1062,9574.358871,7500.480037,5620.533314,4002.582403,2931.078995,2433.362946,2054.303821,1644.991586,1143.922125,706.0983485,0.04540544
51,Central,2,MW206,Lilongwe,20609,TA Chimutu,137697.3408,4762.877305,17493.73493,19905.74726,18264.76818,14912.45979,12879.97006,10710.87386,9395.623571,7506.607085,5869.945088,4391.834501,3123.668203,2282.781047,1891.409952,1594.961558,1276.290711,886.5563314,547.2313633,0.045000505
52,Central,2,MW206,Lilongwe,20605,TA Chiseka,134499.2181,4660.659988,17118.28958,19479.36712,17871.78714,14559.95153,12516.78384,10381.56772,9134.558339,7323.858205,5737.885986,4299.687546,3062.543682,2243.043498,1862.223532,1572.076282,1259.336202,875.3061193,540.2917912,0.045422078
53,Central,2,MW206,Lilongwe,20610,TA Chitukula,27041.88892,934.1680429,3431.138081,3904.345836,3583.292264,2930.226636,2537.427251,2113.24638,1850.35684,1474.972661,1152.208241,861.3108022,612.1918994,446.8339527,369.6621587,311.5608723,249.3030063,172.912937,106.7310585,0.044751683
54,Central,2,MW206,Lilongwe,20617,TA Kabudula,170387.1717,5904.262026,21685.957,24676.51194,22639.90137,18443.95041,15859.23491,13153.72722,11573.44134,9279.731196,7269.339802,5447.353385,3878.807154,2840.168346,2357.840947,1990.590812,1593.596629,1108.514371,684.2428525,0.045395352
55,Central,2,MW206,Lilongwe,20602,TA Kalolo,204112.0536,7073.505625,25980.51553,29561.56238,27124.59867,22102.73966,19000.99476,15756.40979,13861.89953,11114.57799,8708.28236,6524.092022,4646.275529,3399.876266,2822.377112,2382.220443,1907.081436,1326.34691,818.6975941,0.045351185
56,Central,2,MW206,Lilongwe,20614,TA Kalumba,33594.98506,1164.134556,4275.787866,4865.431134,4463.875659,3636.566253,3126.941743,2593.50082,2281.918204,1829.670789,1433.28491,1074.04656,764.7786338,559.9917658,464.8919903,392.4818278,314.2070755,218.5641289,134.9111448,0.045395352
57,Central,2,MW206,Lilongwe,20612,TA Kalumbu,82356.04517,2853.79403,10481.79262,11927.64127,10943.31431,8915.525223,7663.606189,6356.310733,5592.87423,4484.121966,3513.297992,2632.674913,1875.458368,1373.776991,1140.569844,962.8332241,771.5277522,536.0458672,330.879647,0.045435114
58,Central,2,MW206,Lilongwe,20608,TA Khongoni,143543.0109,4974.255943,18270.1101,20789.69715,19073.86966,15540.76614,13362.18652,11082.0631,9749.626184,7816.723307,6124.398995,4588.760354,3267.743069,2391.733525,1985.191076,1675.857601,1341.496843,932.7706588,575.7606671,0.045359762
59,Central,2,MW206,Lilongwe,20616,TA Malili,145542.9327,5039.236204,18508.77829,21060.93454,19323.47493,15757.84237,13577.37983,11274.83588,9906.513526,7930.183396,6207.107206,4648.016986,3307.912966,2419.994657,2007.265217,1693.707052,1355.624724,942.412953,581.71197,0.045214988
60,Central,2,MW206,Lilongwe,20603,TA Masula,97764.2493,3387.713481,12442.84237,14159.34885,12990.88627,10583.83692,9096.647777,7544.92845,6638.815077,5322.585231,4170.484814,3125.11485,2226.603374,1631.197974,1354.329199,1143.248537,916.3838862,636.4359801,392.8462516,0.045448555
61,Central,2,MW206,Lilongwe,20604,TA Masumbankhunda,96735.46079,3352.080453,12311.96587,14009.82086,12853.5574,10471.35194,9003.907872,7467.885352,6570.695254,5268.466307,4127.088492,3092.675549,2202.150512,1612.474642,1338.638515,1130.136251,904.7471278,629.3469598,388.4714264,0.045395352
62,Central,2,MW206,Lilongwe,20606,TA Mazengera,142338.6872,4932.307298,18116.03141,20614.92701,18913.67982,15408.97406,13245.32968,10985.87385,9666.388317,7750.098224,6072.160277,4550.149267,3241.39447,2374.310275,1971.253369,1664.073591,1333.41398,926.4572468,571.8650536,0.045434332
63,Central,2,MW206,Lilongwe,20611,TA Mtema,79710.82047,2758.739061,10132.6704,11529.93129,10579.35992,8631.610332,7443.904697,6184.742134,5430.76132,4344.003659,3398.932295,2544.410995,1810.396542,1323.896103,1097.581797,925.9519298,741.090104,514.9682851,317.8696078,0.04513141
64,Central,2,MW206,Lilongwe,20615,TA Njewa,54817.03753,1896.908794,6967.218179,7927.851514,7274.02545,5935.833964,5121.633323,4256.587516,3736.470924,2987.719925,2337.246248,1749.321452,1244.517863,909.9071888,754.2691294,636.2053873,509.1364048,353.7998305,218.3844359,0.045091732
65,Central,2,MW206,Lilongwe,20613,TA Tsabango,51287.54852,1776.430641,6524.711396,7424.439593,6811.824952,5552.351744,4779.563239,3966.806889,3487.608605,2793.928933,2187.677632,1638.720123,1166.527217,853.7526839,708.4299444,597.9136424,478.6112988,332.8159844,205.4340016,0.045297639
66,Central,2,MW210,Lilongwe City,21031,Area 1,16862.49658,508.2063344,1866.664347,2119.345804,1958.252775,1884.652711,2134.268329,2022.939445,1525.744398,983.6323729,677.1994279,445.769109,285.5831664,169.4274739,108.207221,74.50598119,54.15483772,27.20490967,16.7379366,0.016652984
67,Central,2,MW210,Lilongwe City,21040,Area 10,5880.624161,177.2317895,650.9802039,739.10029,682.9207366,657.2534643,744.3043711,705.4795533,532.0878401,343.0317851,236.1664121,155.4574425,99.59422421,59.08610811,37.73616772,25.98320307,18.88594881,9.487435523,5.837185138,0.016652984
68,Central,2,MW210,Lilongwe City,21041,Area 11,1368.619294,41.24780636,151.5050177,172.0135291,158.9386555,152.9650162,173.2246946,164.1888512,123.8347606,79.83504933,54.9638779,36.18018259,23.17893023,13.75132733,8.782477155,6.047166461,4.395396349,2.208045773,1.358509566,0.016652984
69,Central,2,MW210,Lilongwe City,21042,Area 12,1412.605835,42.57348423,156.3742909,177.5419333,164.046841,157.8812134,178.7920243,169.4657757,127.8147298,82.40089612,56.73038154,37.34299027,23.92388602,14.19328607,9.064740287,6.241518468,4.536661546,2.279010937,1.402171194,0.016652984
70,Central,2,MW210,Lilongwe City,21043,Area 13,39455.08775,1189.107758,4367.645391,4958.872731,4581.945197,4409.734814,4993.78867,4733.299888,3569.956492,2301.515755,1584.519988,1043.016334,668.2111877,396.4285977,253.1846562,174.3300593,126.7121905,63.65440001,39.16364083,0.016652984
71,Central,2,MW210,Lilongwe City,21044,Area 14,403.2990494,12.15473228,44.64486925,50.68823242,46.83538279,45.07509576,51.04513354,48.38248896,36.49111291,23.52546076,16.19652724,10.66142594,6.830270884,4.052184016,2.587983889,1.781953894,1.295217142,0.650657757,0.400319958,0.016652984
72,Central,2,MW210,Lilongwe City,21045,Area 15,1346.400515,40.57817095,149.0454173,169.2209845,156.3583739,150.481714,170.4124871,161.5233361,121.8243714,78.53897123,54.07156965,35.59281728,22.80263308,13.5280821,8.639898478,5.948994039,4.324039518,2.172199367,1.336454915,0.016652984
73,Central,2,MW210,Lilongwe City,21046,Area 16,6101.644465,183.8929568,675.4469672,766.8790017,708.5879708,681.9560054,772.2786786,731.9946476,552.086093,355.9244616,245.0426086,161.3002328,103.3374231,61.30682975,39.15446261,26.95976887,19.59576775,9.844015995,6.05657279,0.016652984
74,Central,2,MW210,Lilongwe City,21047,Area 17,3512.908347,105.8729518,388.8760351,441.5163252,407.956342,392.6234896,444.6250893,421.4323132,317.8533023,204.9168892,141.0787258,92.86560969,59.49460013,35.29626724,22.54245363,15.52158565,11.28189897,5.667509169,3.486959166,0.016652984
75,Central,2,MW210,Lilongwe City,21048,Area 18,18718.59058,564.1457804,2072.132407,2352.627093,2173.802186,2092.1008,2369.192184,2245.609065,1693.686615,1091.903063,751.7403355,494.8359473,317.0179651,188.0767477,120.1178402,82.70702695,60.11578601,30.19941702,18.58032002,0.016652984
76,Central,2,MW210,Lilongwe City,21049,Area 19,6568.014001,197.9485241,727.0736878,825.494182,762.7477669,734.0802317,831.3065762,787.9435029,594.2839228,383.1289853,263.7720538,173.6289598,111.2358557,65.99271963,42.14717211,29.02039598,21.09353919,10.59642779,6.519497348,0.016652984
77,Central,2,MW210,Lilongwe City,21032,Area 2,6801.977208,204.9997688,752.9732181,854.8996144,789.9180688,760.2293504,860.9190509,816.0113133,615.4532695,396.7766546,273.168036,179.8139028,115.1982555,68.34348697,43.64852197,30.05414911,21.84492494,10.97388958,6.751732329,0.016652984
78,Central,2,MW210,Lilongwe City,21050,Area 20,3815.762817,115.0004581,422.4017697,479.5802842,443.1270355,426.472304,482.9570578,457.7647839,345.2560368,222.5831639,153.241389,100.8717297,64.6237417,38.33922529,24.4858814,16.85973078,12.25453272,6.156115874,3.787576518,0.016652984
79,Central,2,MW210,Lilongwe City,21051,Area 21,44987.80371,1355.854197,4980.112448,5654.246536,5224.463112,5028.104001,5694.058663,5397.042016,4070.565072,2624.253171,1806.714374,1189.276637,761.9132407,452.0190648,288.6882855,198.7760497,144.4808128,72.58054178,44.65548761,0.016652984
80,Central,2,MW210,Lilongwe City,21052,Area 22,51841.15674,1562.402346,5738.772926,6515.603265,6020.347493,5794.075413,6561.480296,6219.216722,4690.666906,3024.02671,2081.945668,1370.448687,877.9815961,520.878755,332.666488,229.0572002,166.490734,83.63731785,51.45821619,0.016652984
81,Central,2,MW210,Lilongwe City,21053,Area 23,69692.28516,2101.591226,7719.236471,8764.237543,8097.813182,7788.298285,8812.072243,8349.513432,6299.93274,4064.310888,2799.506981,1843.808266,1181.840928,701.9807128,449.1691886,309.841476,225.4354163,113.7237571,69.97242277,0.016761429
82,Central,2,MW210,Lilongwe City,21054,Area 24,49295.46484,1485.679617,5456.966956,6195.650555,5724.71462,5509.553771,6239.274776,5913.818256,4460.328818,2875.53002,1979.710446,1303.151962,834.8677691,495.3006832,316.3306957,217.8092053,158.315104,79.53025592,48.93132885,0.016652984
83,Central,2,MW210,Lilongwe City,21055,Area 25,119339.4097,3596.950913,13211.75966,15000.1919,13859.96003,13337.87145,15102.66985,14314.22007,10796.66963,6961.141451,4792.830726,3155.130391,2021.478495,1199.46758,766.2466636,527.7266961,383.6305144,192.8259219,118.6377574,0.016667315
84,Central,2,MW210,Lilongwe City,21056,Area 26,6417.834991,193.4223901,710.4489949,806.619089,745.3073813,717.2953355,812.2985771,769.9270082,580.6954956,374.3686608,257.7408492,169.6588982,108.6924244,64.48378298,41.18346811,28.35683859,20.61123102,10.35413827,6.370427694,0.016652984
85,Central,2,MW210,Lilongwe City,21057,Area 27,4073.329269,122.7630632,450.9141615,511.9522633,473.0383963,455.2594586,515.5569712,488.6642019,368.5610431,237.6076708,163.5852818,107.6806363,68.98588604,40.92714772,26.13869413,17.99777351,13.0817216,6.571657662,4.043240377,0.016652984
86,Central,2,MW210,Lilongwe City,21058,Area 28,9834.671692,296.3999103,1088.689977,1236.060747,1142.106873,1099.181292,1244.763978,1179.833907,889.8560828,573.6814481,394.9613288,259.9848014,166.5599544,98.81476174,63.10942688,43.45393737,31.58459032,15.86665138,9.762024958,0.016652984
87,Central,2,MW210,Lilongwe City,21059,Area 29,1668.179413,50.27602759,184.6660735,209.6634396,193.7267676,186.4456336,211.1397016,200.126115,150.9394169,97.309154,66.9942402,44.09921438,28.25227901,16.76118494,10.70476473,7.370755773,5.357450189,2.691337552,1.655856896,0.016652984
88,Central,2,MW210,Lilongwe City,21033,Area 3,3662.262787,110.374234,405.4094438,460.2877886,425.3009763,409.3162284,463.5287222,439.3498796,331.3671208,213.629116,147.0768137,96.81387424,62.02406601,36.79691971,23.50086639,16.18149967,11.76155892,5.908468403,3.635210365,0.016652984
89,Central,2,MW210,Lilongwe City,21060,Area 30,4057.56485,122.2879511,449.1690546,509.970927,471.2076643,453.4975335,513.5616855,486.7729954,367.134654,236.6880921,162.9521811,107.2638956,68.71889997,40.76875323,26.03753328,17.92811931,13.03109329,6.546224307,4.027592412,0.016652984
90,Central,2,MW210,Lilongwe City,21061,Area 31,1349.951924,40.68520443,149.4385568,169.6673408,156.7708007,150.8786412,170.8619852,161.9493866,122.145707,78.74613375,54.21419412,35.68670051,22.86277961,13.56376526,8.662687953,5.964685667,4.335445109,2.17792901,1.339980091,0.016652984
91,Central,2,MW210,Lilongwe City,21062,Area 32,1101.007446,33.18245047,121.8806083,138.3790056,127.8607159,123.0551277,139.3533465,132.0843196,99.62083251,64.22456855,44.21656121,29.10572034,18.64665713,11.06247282,7.065202686,4.864738731,3.535946134,1.776297356,1.092874519,0.016652984
92,Central,2,MW210,Lilongwe City,21063,Area 33,37948.44881,1143.700282,4200.861728,4769.512376,4406.978226,4241.3439,4803.09494,4552.553242,3433.633506,2213.629674,1524.013223,1003.187527,642.6947637,381.2905052,243.5165054,167.6730608,121.8735373,61.22368168,37.66813071,0.016652984
93,Central,2,MW210,Lilongwe City,21064,Area 34,1062.778689,32.03030216,117.6487168,133.5742629,123.4211852,118.7824552,134.514773,127.4981388,96.16183603,61.99458776,42.68129089,28.09512271,17.99921506,10.6783659,6.819887447,4.695827146,3.413172372,1.714621445,1.054928151,0.016652984
94,Central,2,MW210,Lilongwe City,21065,Area 35,14454.85843,436.205901,1602.202696,1819.124815,1680.734995,1615.123185,1825.370113,1728.782894,1305.091051,842.7072757,580.8200052,382.8106811,245.5327142,146.0603386,93.68056958,64.7712044,47.1864599,23.92937149,14.72415951,0.016900322
