"","Day","State","People"
"419",53,"Exposed",0
"420",53,"Hospitalized",0
"421",53,"Infected",0
"422",53,"New Infections",0
"423",53,"Recovered",0
"424",53,"Susceptible",18811366.2128753
"425",54,"Critical",0
"426",54,"Dead",0
"427",54,"Exposed",0
"428",54,"Hospitalized",0
"429",54,"Infected",0
"430",54,"New Infections",0
"431",54,"Recovered",0
"432",54,"Susceptible",18811366.2128753
"433",55,"Critical",0
"434",55,"Dead",0
"435",55,"Exposed",0
"436",55,"Hospitalized",0
"437",55,"Infected",0
"438",55,"New Infections",0
"439",55,"Recovered",0
"440",55,"Susceptible",18811366.2128753
"441",56,"Critical",0
"442",56,"Dead",0
"443",56,"Exposed",0
"444",56,"Hospitalized",0
"445",56,"Infected",0
"446",56,"New Infections",0
"447",56,"Recovered",0
"448",56,"Susceptible",18811366.2128753
"449",57,"Critical",0
"450",57,"Dead",0
"451",57,"Exposed",0
"452",57,"Hospitalized",0
"453",57,"Infected",0
"454",57,"New Infections",0
"455",57,"Recovered",0
"456",57,"Susceptible",18811366.2128753
"457",58,"Critical",0
"458",58,"Dead",0
"459",58,"Exposed",0
"460",58,"Hospitalized",0
"461",58,"Infected",0
"462",58,"New Infections",0
"463",58,"Recovered",0
"464",58,"Susceptible",18811366.2128753
"465",59,"Critical",0
"466",59,"Dead",0
"467",59,"Exposed",0
"468",59,"Hospitalized",0
"469",59,"Infected",0
"470",59,"New Infections",0
"471",59,"Recovered",0
"472",59,"Susceptible",18811366.2128753
"473",60,"Critical",0
"474",60,"Dead",0
"475",60,"Exposed",0
"476",60,"Hospitalized",0
"477",60,"Infected",0
"478",60,"New Infections",0
"479",60,"Recovered",0
"480",60,"Susceptible",18811366.2128753
"481",61,"Critical",0
"482",61,"Dead",0
"483",61,"Exposed",0
"484",61,"Hospitalized",0
"485",61,"Infected",0
"486",61,"New Infections",0
"487",61,"Recovered",0
"488",61,"Susceptible",18811366.2128753
"489",62,"Critical",0
"490",62,"Dead",0
"491",62,"Exposed",0
"492",62,"Hospitalized",0
"493",62,"Infected",0
"494",62,"New Infections",0
"495",62,"Recovered",0
"496",62,"Susceptible",18811366.2128753
"497",63,"Critical",0
"498",63,"Dead",0
"499",63,"Exposed",0
"500",63,"Hospitalized",0
"501",63,"Infected",0
"502",63,"New Infections",0
"503",63,"Recovered",0
"504",63,"Susceptible",18811366.2128753
"505",64,"Critical",0
"506",64,"Dead",0
"507",64,"Exposed",0
"508",64,"Hospitalized",0
"509",64,"Infected",0
"510",64,"New Infections",0
"511",64,"Recovered",0
"512",64,"Susceptible",18811366.2128753
"513",65,"Critical",0
"514",65,"Dead",0
"515",65,"Exposed",0
"516",65,"Hospitalized",0
"517",65,"Infected",0
"518",65,"New Infections",0
"519",65,"Recovered",0
"520",65,"Susceptible",18811366.2128753
"521",66,"Critical",0
"522",66,"Dead",0
"523",66,"Exposed",0
"524",66,"Hospitalized",0
"525",66,"Infected",0
"526",66,"New Infections",0
"527",66,"Recovered",0
"528",66,"Susceptible",18811366.2128753
"529",67,"Critical",0
"530",67,"Dead",0
"531",67,"Exposed",0
"532",67,"Hospitalized",0
"533",67,"Infected",0
"534",67,"New Infections",0
"535",67,"Recovered",0
"536",67,"Susceptible",18811366.2128753
"537",68,"Critical",0
"538",68,"Dead",0
"539",68,"Exposed",0
"540",68,"Hospitalized",0
"541",68,"Infected",0
"542",68,"New Infections",0
"543",68,"Recovered",0
"544",68,"Susceptible",18811366.2128753
"545",69,"Critical",0
"546",69,"Dead",0
"547",69,"Exposed",0
"548",69,"Hospitalized",0
"549",69,"Infected",0
"550",69,"New Infections",0
"551",69,"Recovered",0
"552",69,"Susceptible",18811366.2128753
"553",70,"Critical",0
"554",70,"Dead",0
"555",70,"Exposed",0
"556",70,"Hospitalized",0
"557",70,"Infected",0
"558",70,"New Infections",0
"559",70,"Recovered",0
"560",70,"Susceptible",18811366.2128753
"561",71,"Critical",0
"562",71,"Dead",0
"563",71,"Exposed",0
"564",71,"Hospitalized",0
"565",71,"Infected",0
"566",71,"New Infections",0
"567",71,"Recovered",0
"568",71,"Susceptible",18811366.2128753
"569",72,"Critical",0
"570",72,"Dead",0
"571",72,"Exposed",0
"572",72,"Hospitalized",0
"573",72,"Infected",0
"574",72,"New Infections",0
"575",72,"Recovered",0
"576",72,"Susceptible",18811366.2128753
"577",73,"Critical",0
"578",73,"Dead",0
"579",73,"Exposed",0
"580",73,"Hospitalized",0
"581",73,"Infected",0
"582",73,"New Infections",0
"583",73,"Recovered",0
"584",73,"Susceptible",18811366.2128753
"585",74,"Critical",0
"586",74,"Dead",0
"587",74,"Exposed",0
"588",74,"Hospitalized",0
"589",74,"Infected",0
"590",74,"New Infections",0
"591",74,"Recovered",0
"592",74,"Susceptible",18811366.2128753
"593",75,"Critical",0
"594",75,"Dead",0
"595",75,"Exposed",0
"596",75,"Hospitalized",0
"597",75,"Infected",0
"598",75,"New Infections",0
"599",75,"Recovered",0
"600",75,"Susceptible",18811366.2128753
"601",76,"Critical",0
"602",76,"Dead",0
"603",76,"Exposed",0
"604",76,"Hospitalized",0
"605",76,"Infected",0
"606",76,"New Infections",0
"607",76,"Recovered",0
"608",76,"Susceptible",18811366.2128753
"609",77,"Critical",0
"610",77,"Dead",0
"611",77,"Exposed",0
"612",77,"Hospitalized",0
"613",77,"Infected",0
"614",77,"New Infections",0
"615",77,"Recovered",0
"616",77,"Susceptible",18811366.2128753
"617",78,"Critical",0
"618",78,"Dead",0
"619",78,"Exposed",0
"620",78,"Hospitalized",0
"621",78,"Infected",0
"622",78,"New Infections",0
"623",78,"Recovered",0
"624",78,"Susceptible",18811366.2128753
"625",79,"Critical",0
"626",79,"Dead",0
"627",79,"Exposed",0
"628",79,"Hospitalized",0
"629",79,"Infected",0
"630",79,"New Infections",0
"631",79,"Recovered",0
"632",79,"Susceptible",18811366.2128753
"633",80,"Critical",0
"634",80,"Dead",0
"635",80,"Exposed",0
"636",80,"Hospitalized",0
"637",80,"Infected",0
"638",80,"New Infections",0
"639",80,"Recovered",0
"640",80,"Susceptible",18811366.2128753
"641",81,"Critical",0
"642",81,"Dead",0
"643",81,"Exposed",0
"644",81,"Hospitalized",0
"645",81,"Infected",0
"646",81,"New Infections",0
"647",81,"Recovered",0
"648",81,"Susceptible",18811366.2128753
"649",82,"Critical",0
"650",82,"Dead",0
"651",82,"Exposed",0
"652",82,"Hospitalized",0
"653",82,"Infected",0
"654",82,"New Infections",0
"655",82,"Recovered",0
"656",82,"Susceptible",18811366.2128753
"657",83,"Critical",0
"658",83,"Dead",0
"659",83,"Exposed",0
"660",83,"Hospitalized",0
"661",83,"Infected",0
"662",83,"New Infections",0
"663",83,"Recovered",0
"664",83,"Susceptible",18811366.2128753
"665",84,"Critical",0
"666",84,"Dead",0
"667",84,"Exposed",0
"668",84,"Hospitalized",0
"669",84,"Infected",0
"670",84,"New Infections",0
"671",84,"Recovered",0
"672",84,"Susceptible",18811366.2128753
"673",85,"Critical",0
"674",85,"Dead",0
"675",85,"Exposed",0
"676",85,"Hospitalized",0
"677",85,"Infected",0
"678",85,"New Infections",0
"679",85,"Recovered",0
"680",85,"Susceptible",18811366.2128753
"681",86,"Critical",0
"682",86,"Dead",0
"683",86,"Exposed",0
"684",86,"Hospitalized",0
"685",86,"Infected",0
"686",86,"New Infections",0
"687",86,"Recovered",0
"688",86,"Susceptible",18811366.2128753
"689",87,"Critical",0
"690",87,"Dead",0
"691",87,"Exposed",0
"692",87,"Hospitalized",0
"693",87,"Infected",0
"694",87,"New Infections",0
"695",87,"Recovered",0
"696",87,"Susceptible",18811366.2128753
"697",88,"Critical",0
"698",88,"Dead",0
"699",88,"Exposed",0
"700",88,"Hospitalized",0
"701",88,"Infected",0
"702",88,"New Infections",0
"703",88,"Recovered",0
"704",88,"Susceptible",18811366.2128753
"705",89,"Critical",0
"706",89,"Dead",0
"707",89,"Exposed",0
"708",89,"Hospitalized",0
"709",89,"Infected",0
"710",89,"New Infections",0
"711",89,"Recovered",0
"712",89,"Susceptible",18811366.2128753
"713",90,"Critical",0
"714",90,"Dead",0
"715",90,"Exposed",0
"716",90,"Hospitalized",0
"717",90,"Infected",0
"718",90,"New Infections",0
"719",90,"Recovered",0
"720",90,"Susceptible",18811366.2128753
"721",91,"Critical",0
"722",91,"Dead",0
"723",91,"Exposed",0
"724",91,"Hospitalized",0
"725",91,"Infected",0
"726",91,"New Infections",0
"727",91,"Recovered",0
"728",91,"Susceptible",18811366.2128753
"729",92,"Critical",0
"730",92,"Dead",0
"731",92,"Exposed",0
"732",92,"Hospitalized",0
"733",92,"Infected",0
"734",92,"New Infections",0
"735",92,"Recovered",0
"736",92,"Susceptible",18811366.2128753
"737",93,"Critical",0
"738",93,"Dead",0
"739",93,"Exposed",0
"740",93,"Hospitalized",0
"741",93,"Infected",0
"742",93,"New Infections",0
"743",93,"Recovered",0
"744",93,"Susceptible",18811366.2128753
"745",94,"Critical",0
"746",94,"Dead",0
"747",94,"Exposed",0
"748",94,"Hospitalized",0
"749",94,"Infected",0
"750",94,"New Infections",0
"751",94,"Recovered",0
"752",94,"Susceptible",18811366.2128753
"753",95,"Critical",0
"754",95,"Dead",0
"755",95,"Exposed",0
"756",95,"Hospitalized",0
"757",95,"Infected",0
"758",95,"New Infections",0
"759",95,"Recovered",0
"760",95,"Susceptible",18811366.2128753
"761",96,"Critical",0
"762",96,"Dead",0
"763",96,"Exposed",0
"764",96,"Hospitalized",0
"765",96,"Infected",0
"766",96,"New Infections",0
"767",96,"Recovered",0
"768",96,"Susceptible",18811366.2128753
"769",97,"Critical",0
"770",97,"Dead",0
"771",97,"Exposed",0
"772",97,"Hospitalized",0
"773",97,"Infected",0
"774",97,"New Infections",0
"775",97,"Recovered",0
"776",97,"Susceptible",18811366.2128753
"777",98,"Critical",0
"778",98,"Dead",0
"779",98,"Exposed",0
"780",98,"Hospitalized",0
"781",98,"Infected",0
"782",98,"New Infections",0
"783",98,"Recovered",0
"784",98,"Susceptible",18811366.2128753
"785",99,"Critical",0
"786",99,"Dead",0
"787",99,"Exposed",0
"788",99,"Hospitalized",0
"789",99,"Infected",0
"790",99,"New Infections",0
"791",99,"Recovered",0
"792",99,"Susceptible",18811366.2128753
"793",100,"Critical",0
"794",100,"Dead",0
"795",100,"Exposed",0
"796",100,"Hospitalized",0
"797",100,"Infected",0
"798",100,"New Infections",0
"799",100,"Recovered",0
"800",100,"Susceptible",18811366.2128753
"801",101,"Critical",0
"802",101,"Dead",0
"803",101,"Exposed",0
"804",101,"Hospitalized",0
"805",101,"Infected",0
"806",101,"New Infections",0
"807",101,"Recovered",0
"808",101,"Susceptible",18811366.2128753
"809",102,"Critical",0
"810",102,"Dead",0
"811",102,"Exposed",0
"812",102,"Hospitalized",0
"813",102,"Infected",0
"814",102,"New Infections",0
"815",102,"Recovered",0
"816",102,"Susceptible",18811366.2128753
"817",103,"Critical",0
"818",103,"Dead",0
"819",103,"Exposed",0
"820",103,"Hospitalized",0
"821",103,"Infected",0
"822",103,"New Infections",0
"823",103,"Recovered",0
"824",103,"Susceptible",18811366.2128753
"825",104,"Critical",0
"826",104,"Dead",0
"827",104,"Exposed",0
"828",104,"Hospitalized",0
"829",104,"Infected",0
"830",104,"New Infections",0
"831",104,"Recovered",0
"832",104,"Susceptible",18811366.2128753
"833",105,"Critical",0
"834",105,"Dead",0
"835",105,"Exposed",0
"836",105,"Hospitalized",0
"837",105,"Infected",0
"838",105,"New Infections",0
"839",105,"Recovered",0
"840",105,"Susceptible",18811366.2128753
"841",106,"Critical",0
"842",106,"Dead",0
"843",106,"Exposed",0
"844",106,"Hospitalized",0
"845",106,"Infected",0
"846",106,"New Infections",0
"847",106,"Recovered",0
"848",106,"Susceptible",18811366.2128753
"849",107,"Critical",0
"850",107,"Dead",0
"851",107,"Exposed",0
"852",107,"Hospitalized",0
"853",107,"Infected",0
"854",107,"New Infections",0
"855",107,"Recovered",0
"856",107,"Susceptible",18811366.2128753
"857",108,"Critical",0
"858",108,"Dead",0
"859",108,"Exposed",0
"860",108,"Hospitalized",0
"861",108,"Infected",0
"862",108,"New Infections",0
"863",108,"Recovered",0
"864",108,"Susceptible",18811366.2128753
"865",109,"Critical",0
"866",109,"Dead",0
"867",109,"Exposed",0
"868",109,"Hospitalized",0
"869",109,"Infected",0
"870",109,"New Infections",0
"871",109,"Recovered",0
"872",109,"Susceptible",18811366.2128753
"873",110,"Critical",0
"874",110,"Dead",0
"875",110,"Exposed",0
"876",110,"Hospitalized",0
"877",110,"Infected",0
"878",110,"New Infections",0
"879",110,"Recovered",0
