ADM3_PCODE,calculated score,ADM2_PCODE,Current Infections,final score
MW20120,3.4,MW201,0,3.4
MW20201,3.4,MW202,1,1
MW20202,4.6,MW202,1,1
MW20203,6.2,MW202,1,1
MW20204,3.4,MW202,1,1
MW20205,5.6,MW202,1,1
MW20206,4.8,MW202,1,1
MW20220,2.6,MW202,1,1
MW20301,3.2,MW203,0,3.2
MW20302,7,MW203,0,7
MW20303,6,MW203,0,6
MW20304,8,MW203,0,8
MW20305,7.8,MW203,0,7.8
MW20320,2,MW203,0,2
MW20401,7.2,MW204,0,7.2
MW20402,9,MW204,0,9
MW20403,7.8,MW204,0,7.8
MW20404,8.2,MW204,0,8.2
MW20405,7.4,MW204,0,7.4
MW20406,8.6,MW204,0,8.6
MW20407,6.2,MW204,0,6.2
MW20420,4.2,MW204,0,4.2
MW20501,4.6,MW205,0,4.6
MW20502,7.2,MW205,0,7.2
MW20503,3.4,MW205,0,3.4
MW20504,7.2,MW205,0,7.2
MW20505,5,MW205,0,5
MW20506,3.6,MW205,0,3.6
MW20507,7.8,MW205,0,7.8
MW20508,4.4,MW205,0,4.4
MW20509,4.4,MW205,0,4.4
MW20510,3.6,MW205,0,3.6
MW20520,3.6,MW205,0,3.6
MW20601,6.2,MW206,0,6.2
MW20602,5.6,MW206,0,5.6
MW20603,5.4,MW206,0,5.4
MW20604,7,MW206,0,7
MW20605,7.6,MW206,0,7.6
MW20606,6.8,MW206,0,6.8
MW20607,7.2,MW206,0,7.2
MW20608,6.4,MW206,0,6.4
MW20609,5.4,MW206,0,5.4
MW20610,4.8,MW206,0,4.8
MW20611,5.6,MW206,0,5.6
MW20612,4.8,MW206,0,4.8
MW20613,4.6,MW206,0,4.6
MW20614,6.8,MW206,0,6.8
MW20615,6,MW206,0,6
MW20701,4.2,MW207,0,4.2
MW20702,4.2,MW207,0,4.2
MW20703,4.4,MW207,0,4.4
MW20704,5.2,MW207,0,5.2
MW20705,4.8,MW207,0,4.8
MW20706,3.2,MW207,0,3.2
MW20720,2.2,MW207,0,2.2
MW20801,4.4,MW208,0,4.4
MW20802,5,MW208,0,5
MW20803,7,MW208,0,7
MW20804,6.6,MW208,0,6.6
MW20805,5,MW208,0,5
MW20806,7.4,MW208,0,7.4
MW20807,5.4,MW208,0,5.4
MW20808,4.4,MW208,0,4.4
MW20820,4.8,MW208,0,4.8
MW20901,6.8,MW209,0,6.8
MW20902,5.6,MW209,0,5.6
MW20903,5.6,MW209,0,5.6
MW20904,7.2,MW209,0,7.2
MW20905,4.4,MW209,0,4.4
MW20906,4.8,MW209,0,4.8
MW20907,3.6,MW209,0,3.6
MW20908,6.8,MW209,0,6.8
MW20909,5.2,MW209,0,5.2
MW20920,2.4,MW209,0,2.4
MW210,7.4,MW210,25,25
MW30101,6.4,MW301,1,1
MW30102,7,MW301,1,1
MW30103,7,MW301,1,1
MW30104,4.8,MW301,1,1
MW30105,5.2,MW301,1,1
MW30106,7.2,MW301,1,1
MW30107,2.2,MW301,1,1
MW30108,1.4,MW301,1,1
MW30109,3.8,MW301,1,1
MW30111,2.4,MW301,1,1
MW30120,3,MW301,1,1
MW30121,2.4,MW301,1,1
MW30201,7.8,MW302,0,7.8
MW30202,8.6,MW302,0,8.6
MW30203,4.8,MW302,0,4.8
MW30204,5.4,MW302,0,5.4
MW30205,4.6,MW302,0,4.6
MW30206,4.6,MW302,0,4.6
MW30207,2.8,MW302,0,2.8
MW30208,2,MW302,0,2
MW30209,5.4,MW302,0,5.4
MW30210,4.2,MW302,0,4.2
MW30213,6,MW302,0,6
MW30220,2,MW302,0,2
MW30222,6,MW302,0,6
MW30301,4.8,MW303,0,4.8
MW30302,5.4,MW303,0,5.4
MW30303,3.4,MW303,0,3.4
MW30304,5.2,MW303,0,5.2
MW30305,8.6,MW303,0,8.6
MW30306,12.2,MW303,0,12.2
MW30307,6.8,MW303,0,6.8
MW30401,9,MW304,0,9
MW30402,7,MW304,0,7
MW30403,6,MW304,0,6
MW30404,7.4,MW304,0,7.4
MW30405,5.8,MW304,0,5.8
MW30406,5,MW304,0,5
MW30420,3.2,MW304,0,3.2
MW30501,7.6,MW305,0,7.6
MW30502,5.4,MW305,0,5.4
MW30503,6.8,MW305,0,6.8
MW30504,5.2,MW305,0,5.2
MW30505,6,MW305,0,6
MW30506,7.4,MW305,0,7.4
MW30507,7.2,MW305,0,7.2
MW30508,7.8,MW305,0,7.8
MW30601,5,MW306,0,5
MW30602,3.2,MW306,0,3.2
MW30620,2,MW306,0,2
MW30701,4,MW307,8,8
MW30702,2.4,MW307,8,8
MW30703,4.8,MW307,8,8
MW30704,6.8,MW307,8,8
MW30705,7,MW307,8,8
MW30706,4.8,MW307,8,8
MW30707,7,MW307,8,8
MW30708,7.6,MW307,8,8
MW30709,7,MW307,8,8
MW30710,9.6,MW307,8,8
MW30711,5.4,MW307,8,8
MW30720,2,MW307,8,8
MW30721,3.6,MW307,8,8
MW30801,5.4,MW308,1,1
MW30802,2.8,MW308,1,1
MW30803,5,MW308,1,1
MW30804,6.6,MW308,1,1
MW30805,6.4,MW308,1,1
MW30806,7.6,MW308,1,1
MW30820,3.2,MW308,1,1
MW30901,7.2,MW309,0,7.2
MW30902,3.4,MW309,0,3.4
MW30903,3.6,MW309,0,3.6
MW30920,2,MW309,0,2
MW31001,4.8,MW310,1,1
MW31002,5.4,MW310,1,1
MW31003,5.8,MW310,1,1
MW31004,7.8,MW310,1,1
MW31005,4.6,MW310,1,1
MW31006,6,MW310,1,1
MW31007,7,MW310,1,1
MW31008,3.4,MW310,1,1
MW31020,2.4,MW310,1,1
MW31101,2.4,MW311,0,2.4
MW31102,2.8,MW311,0,2.8
MW31103,3.2,MW311,0,3.2
MW31104,5.6,MW311,0,5.6
MW31105,2.4,MW311,0,2.4
MW31106,3.4,MW311,0,3.4
MW31107,3.4,MW311,0,3.4
MW31108,3.2,MW311,0,3.2
MW31109,2.4,MW311,0,2.4
MW31120,1.4,MW311,0,1.4
MW31201,10.2,MW312,0,10.2
MW31204,5.8,MW312,0,5.8
MW31220,2.4,MW312,0,2.4
MW31301,5.2,MW313,0,5.2
MW31302,5.4,MW313,0,5.4
MW31303,9.4,MW313,0,9.4
MW31304,7,MW313,0,7
MW31320,2.6,MW313,0,2.6
MW314,5.8,MW314,1,1
MW315,8,MW315,16,16
