UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,IFR,FR of Crit,FR of Hosp,Population,Age Band,Code
126,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula,0.000190108,9.50539E-06,0.05,4.16645E-05,1,0.219162815,22168.98522,Pediatrics,MW20608
127,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo,0.000187567,9.37835E-06,0.05,4.13215E-05,1,0.22030289,27272.4925,Pediatrics,MW30903
128,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere,0.000190584,9.52921E-06,0.05,4.17289E-05,1,0.218952386,62269.33273,Pediatrics,MW20404
129,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu,0.000186085,9.30427E-06,0.05,4.11215E-05,1,0.220982045,50962.30001,Pediatrics,MW20110
130,Sub-Saharan Africa,Malawi,Neno,TA Dambe,0.000178723,8.93613E-06,0.05,4.01275E-05,1,0.224524243,20691.46485,Pediatrics,MW31301
131,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole,0.000194274,9.71371E-06,0.05,4.2227E-05,1,0.217357833,63083.15644,Pediatrics,MW20401
132,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri,0.000201826,1.00913E-05,0.05,4.32465E-05,1,0.214276197,13575.78147,Pediatrics,MW10302
133,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi,0.000170326,8.5163E-06,0.05,3.8994E-05,1,0.228937502,62832.66887,Pediatrics,MW30104
134,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula,0.000190244,9.51222E-06,0.05,4.1683E-05,1,0.219102368,97241.35909,Pediatrics,MW20615
135,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli,0.00018932,9.46601E-06,0.05,4.15582E-05,1,0.219512927,29867.45887,Pediatrics,MW10301
136,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto,0.000182755,9.13777E-06,0.05,4.0672E-05,1,0.222548717,79193.52328,Pediatrics,MW20807
137,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere,0.000198904,9.9452E-06,0.05,4.2852E-05,1,0.215440824,56859.57751,Pediatrics,MW30403
138,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo,0.000184095,9.20476E-06,0.05,4.08528E-05,1,0.221911602,106003.7062,Pediatrics,MW31204
139,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo,0.000184978,9.24892E-06,0.05,4.09721E-05,1,0.221496542,113938.9766,Pediatrics,MW20602
140,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma,0.000189896,9.49478E-06,0.05,4.16359E-05,1,0.219256808,39787.23645,Pediatrics,MW20101
141,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba,0.000181746,9.08729E-06,0.05,4.05357E-05,1,0.223035068,19790.28646,Pediatrics,MW20612
142,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu,0.000183433,9.17163E-06,0.05,4.07634E-05,1,0.222225521,45657.80696,Pediatrics,MW20610
143,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo,0.000190167,9.50833E-06,0.05,4.16725E-05,1,0.219136738,73697.49853,Pediatrics,MW20304
144,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme,0.000186852,9.3426E-06,0.05,4.1225E-05,1,0.220629307,15872.86026,Pediatrics,MW10105
145,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku,0.000188357,9.41787E-06,0.05,4.14282E-05,1,0.219944913,34508.51081,Pediatrics,MW30601
146,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda,0.000188423,9.42117E-06,0.05,4.14372E-05,1,0.219915149,60955.08471,Pediatrics,MW20201
147,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba,0.000188907,9.44534E-06,0.05,4.15024E-05,1,0.219697834,31255.65526,Pediatrics,MW20105
