UID,Lvl1,Lvl2,Lvl3,Lvl4,Start Date,Date_from_0
38,Sub-Saharan Africa,Malawi,Phalombe,Phalombe Boma,4/24/20,22
39,Sub-Saharan Africa,Malawi,Rumphi,Rumphi Boma,5/10/20,38
40,Sub-Saharan Africa,Malawi,Salima,Salima Town,4/22/20,20
41,Sub-Saharan Africa,Malawi,Dowa,TA Chakhaza,4/17/20,15
42,Sub-Saharan Africa,Malawi,Machinga,TA Chamba,4/24/20,22
43,Sub-Saharan Africa,Malawi,Ntcheu,TA Champiti,4/29/20,27
44,Sub-Saharan Africa,Malawi,Rumphi,STA Chapinduka,5/15/20,43
45,Sub-Saharan Africa,Malawi,Dedza,TA Chauma,4/17/20,15
46,Sub-Saharan Africa,Malawi,Machinga,TA Chikweo,5/4/20,32
47,Sub-Saharan Africa,Malawi,Dedza,TA Chilikumwendo,4/17/20,15
48,Sub-Saharan Africa,Malawi,Ntchisi,TA Chilooko,4/21/20,19
49,Sub-Saharan Africa,Malawi,Kasungu,TA Chilowamatambe,4/22/20,20
50,Sub-Saharan Africa,Malawi,Kasungu,STA Chisikwa,5/1/20,29
51,Sub-Saharan Africa,Malawi,Lilongwe,STA Chitekwele,4/12/20,10
52,Sub-Saharan Africa,Malawi,Machinga,TA Chiwalo,4/29/20,27
53,Sub-Saharan Africa,Malawi,Mangochi,TA Chowe,4/29/20,27
54,Sub-Saharan Africa,Malawi,Mchinji,TA Dambe,4/22/20,20
55,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamalaza,5/6/20,34
56,Sub-Saharan Africa,Malawi,Ntcheu,TA Goodson Ganya,4/29/20,27
57,Sub-Saharan Africa,Malawi,Mzimba,TA Jaravikuba Munthali,5/10/20,38
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,4/19/20,17
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,5/16/20,44
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,4/21/20,19
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,4/27/20,25
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,6/4/20,63
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,4/27/20,25
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,5/1/20,29
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,4/12/20,10
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,4/21/20,19
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,4/17/20,15
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,4/29/20,27
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,4/27/20,25
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,5/1/20,29
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,5/2/20,30
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,4/24/20,22
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,5/6/20,34
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,4/17/20,15
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,4/22/20,20
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,4/12/20,10
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,4/14/20,12
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,5/4/20,32
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,4/22/20,20
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,5/15/20,43
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,4/7/20,5
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,5/11/20,39
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,4/29/20,27
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,4/11/20,9
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,4/14/20,12
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,4/12/20,10
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,4/24/20,22
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,4/22/20,20
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,4/7/20,5
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,6/13/20,72
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,5/11/20,39
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,5/15/20,43
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,5/10/20,38
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,4/21/20,19
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,4/17/20,15
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,5/6/20,34
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,5/4/20,32
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,5/9/20,37
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,4/7/20,5
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,4/22/20,20
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,4/21/20,19
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,5/5/20,33
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,4/26/20,24
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,4/19/20,17
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,4/17/20,15
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,4/7/20,5
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,4/26/20,24
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,5/15/20,43
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,4/9/20,7
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,4/12/20,10
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,5/4/20,32
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,4/17/20,15
113,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga,4/17/20,15
114,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru,4/14/20,12
115,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho,4/17/20,15
116,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi,4/19/20,17
117,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe,5/10/20,38
118,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu,4/24/20,22
119,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro,4/14/20,12
120,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo,5/2/20,30
121,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu,4/7/20,5
122,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala,4/29/20,27
123,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi,5/6/20,34
124,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka,4/12/20,10
125,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera,4/9/20,7
126,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula,4/7/20,5
127,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo,4/24/20,22
128,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere,4/12/20,10
129,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu,5/2/20,30
130,Sub-Saharan Africa,Malawi,Neno,TA Dambe,4/27/20,25
131,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole,4/12/20,10
132,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri,5/13/20,41
133,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi,5/4/20,32
134,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula,4/12/20,10
135,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli,5/1/20,29
136,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto,4/27/20,25
137,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere,4/14/20,12
138,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo,6/13/20,72
139,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo,4/12/20,10
140,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma,6/9/20,68
141,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba,4/7/20,5
142,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu,4/17/20,15
143,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo,4/17/20,15
144,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme,5/16/20,44
145,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku,5/25/20,53
146,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda,4/16/20,14
147,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba,4/27/20,25
148,Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula,4/21/20,19
149,Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni,4/9/20,7
150,Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka,4/17/20,15
151,Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi,4/19/20,17
152,Sub-Saharan Africa,Malawi,Salima,TA Karonga,4/17/20,15
153,Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula,4/22/20,20
154,Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu,6/1/20,60
155,Sub-Saharan Africa,Malawi,Mangochi,TA Katuli,5/9/20,37
156,Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi,5/15/20,43
157,Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga,4/22/20,20
158,Sub-Saharan Africa,Malawi,Machinga,TA Kawinga,4/29/20,27
159,Sub-Saharan Africa,Malawi,Salima,TA Khombedza,4/17/20,15
160,Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni,4/17/20,15
161,Sub-Saharan Africa,Malawi,Karonga,TA Kilupula,5/6/20,34
162,Sub-Saharan Africa,Malawi,Salima,TA Kuluunda,4/22/20,20
163,Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja,4/14/20,12
164,Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe,4/19/20,17
165,Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji,4/22/20,20
166,Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine,4/29/20,27
167,Sub-Saharan Africa,Malawi,Karonga,TA Kyungu,5/1/20,29
168,Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe,4/9/20,7
169,Sub-Saharan Africa,Malawi,Blantyre,TA Lundu,4/14/20,12
170,Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa,5/1/20,29
171,Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka,5/11/20,39
172,Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo,4/26/20,24
173,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,4/4/20,2
174,Sub-Saharan Africa,Malawi,Salima,TA Maganga,4/22/20,20
175,Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila,5/9/20,37
176,Sub-Saharan Africa,Malawi,Blantyre,TA Makata,4/9/20,7
177,Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira,4/12/20,10
178,Sub-Saharan Africa,Malawi,Zomba,TA Malemia,4/19/20,17
179,Sub-Saharan Africa,Malawi,Nsanje,TA Malemia,4/22/20,20
180,Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi,4/16/20,14
181,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malenga,5/6/20,34
182,Sub-Saharan Africa,Malawi,Lilongwe,TA Malili,4/7/20,5
183,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mankhambira,5/11/20,39
184,Sub-Saharan Africa,Malawi,Ntcheu,TA Masasa,5/2/20,30
185,Sub-Saharan Africa,Malawi,Chikwawa,TA Maseya,4/17/20,15
186,Sub-Saharan Africa,Malawi,Lilongwe,TA Mazengera,4/12/20,10
187,Sub-Saharan Africa,Malawi,Mchinji,TA Mkanda,6/21/20,80
188,Sub-Saharan Africa,Malawi,Phalombe,TA Mkhumba,4/19/20,17
189,Sub-Saharan Africa,Malawi,Likoma,Mkumpha,,364
190,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,6/21/20,80
191,Sub-Saharan Africa,Malawi,Nsanje,TA Mlolo,5/25/20,53
192,Sub-Saharan Africa,Malawi,Mchinji,TA Mlonyeni,4/22/20,20
193,Sub-Saharan Africa,Malawi,Zomba,TA Mlumbe,4/14/20,12
194,Sub-Saharan Africa,Malawi,Chiradzulu,TA Mpama,6/6/20,65
195,Sub-Saharan Africa,Malawi,Ntcheu,TA Mpando,4/29/20,27
196,Sub-Saharan Africa,Malawi,Mzimba,TA Mpherembe,5/10/20,38
197,Sub-Saharan Africa,Malawi,Mangochi,TA Mponda,5/4/20,32
198,Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa,4/12/20,10
199,Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo,5/5/20,33
200,Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya,6/9/20,68
201,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama,4/21/20,19
202,Sub-Saharan Africa,Malawi,Zomba,TA Mwambo,4/19/20,17
203,Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe,5/15/20,43
204,Sub-Saharan Africa,Malawi,Kasungu,TA Mwase,5/2/20,30
205,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku,5/6/20,34
206,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya,5/6/20,34
207,Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola,4/26/20,24
208,Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku,5/1/20,29
209,Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe,5/22/20,50
210,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema,4/14/20,12
211,Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela,5/6/20,34
212,Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera,5/2/20,30
213,Sub-Saharan Africa,Malawi,Salima,TA Ndindi,4/22/20,20
214,Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu,4/7/20,5
215,Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu,4/27/20,25
216,Sub-Saharan Africa,Malawi,Neno,TA Chekucheku,4/24/20,22
217,Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole,5/4/20,32
218,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo,4/14/20,12
219,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe,4/17/20,15
220,Sub-Saharan Africa,Malawi,Balaka,TA Msamala,4/19/20,17
221,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache,4/22/20,20
222,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire,5/6/20,34
223,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja,4/19/20,17
224,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza,4/27/20,25
225,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi,5/4/20,32
226,Sub-Saharan Africa,Malawi,Salima,TA Pemba,4/22/20,20
227,Sub-Saharan Africa,Malawi,Dedza,TA Pemba,4/17/20,15
228,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala,4/24/20,22
229,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe,4/17/20,15
230,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,4/14/20,12
231,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe,4/19/20,17
232,Sub-Saharan Africa,Malawi,Dedza,TA Tambala,4/17/20,15
233,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani,4/17/20,15
234,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas,4/14/20,12
235,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri,5/6/20,34
236,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo,5/11/20,39
237,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe,4/26/20,24
238,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve,5/15/20,43
239,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu,4/22/20,20
240,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma,4/19/20,17
241,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira,4/27/20,25
242,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde,4/24/20,22
243,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya,5/10/20,38
244,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba,5/2/20,30
