Code,Population,pop_density,percentelderly,Rainy_Season_Movement,pct_not_covered,final_score
MW20801,189549.6335,216.4863849,0.03645396,-0.17,0.445976191,0
MW20901,67971.9724,99.20902531,0.044650699,-0.03,0.405871259,0
MW20111,114907.7256,154.3964775,0.029838534,-0.24,0.750022689,0
MW30508,82992.84979,327.7163303,0.043221077,0.02,0.27523305,7.6
MW31303,64344.93609,154.4885297,0.035229173,-0.04,0.489033014,2.2
MW20804,81038.06228,169.6435856,0.051817414,-0.11,0.414568877,0
MW31105,50418.68741,145.2485809,0.049635036,0.05,0.361152754,0.2
MW30711,45978.32427,414.2825862,0.046723906,-0.01,0.286914786,3.4
MW10312,52352.32087,107.3380741,0.039318425,-0.04,0.590153556,0.2
MW10204,73728.89482,207.3365996,0.035868419,-0.08,0.159243154,0
MW20112,102594.1025,113.3785575,0.02941153,-0.13,0.624792367,0.6
MW10409,1,114.0009039,0.036759106,-0.07,NA,0
MW20703,147574.5615,316.3869107,0.031435975,-0.14,0.632791678,0
MW30720,6994.63892,1822.469755,0.019252837,-0.07,-0.008224557,0
MW30303,2847.917475,23.97943397,0.031073901,-0.14,NA,0.2
MW30201,89424,254.8845105,0.042963858,-0.08,0.490135917,0
MW10309,16810.2188,32.46588577,0.041536892,-0.05,0.678253366,0.2
MW30103,149737.9982,125.0535525,0.036955125,-0.05,0.731998297,0
,,,,,,
,,,,,,
MW30111,#NAME?,,,,,
MW10620,,,,,,
MW30213,,,,,,
MW30220,,,,,,
MW31320,,,,,,
MW10320,,,,,,
MW30920,,,,,,
MW10311,,,,,,
MW20510,,,,,,
MW10313,,,,,,
MW30903,,,,,,
MW10306,,,,,,
MW10601,,,,,,
MW10409,,,,,,
MW30303,,,,,,
