"","time","S","E","I","H","C","R","D","hosp","crits"
"166",165,4214331.04252182,45.7053253475688,77.9513168122551,254.421080578316,2862.3655052178,4724131.64872212,62911.0693294678,692949.094978057,109854.856330564
"167",166,4214321.51371075,38.9823076976462,66.4854161405493,225.317971917788,2693.54460535108,4724233.3491667,63013.1277961892,692949.93906072,109859.605673275
"168",167,4214313.38649838,33.2482823906965,56.7058928182526,199.518052367435,2534.42547008041,4724327.21060098,63109.1620704788,692950.658988252,109863.811471444
"169",168,4214306.45473426,28.3576896824166,48.3648203992827,176.650313838284,2384.48010609667,4724413.91149978,63199.5189093623,692951.273021272,109867.535459425
"170",169,4214300.54261781,24.1864258030802,41.2507425880686,156.384844798606,2243.20578394567,4724494.06433239,63284.5261318847,692951.796732145,109870.832427712
"171",170,4214295.500121,20.6287705737142,35.1830102472177,138.428337712897,2110.1242573372,4724568.22272247,63364.4935348913,692952.243410397,109873.750999714
"172",171,4214291.19936024,17.5943855223745,30.0078592923692,122.520113598156,1984.78094113937,4724636.88758286,63439.7137770403,692952.62438405,109876.334313182
"173",172,4214287.53120523,15.0063661008473,25.5938863520955,108.428564798221,1866.74407029411,4724700.51273596,63510.4632330787,692952.949319989,109878.620631988
"174",173,4214284.40261709,12.7990165231009,21.8291935386179,95.9479598103486,1755.60384434396,4724759.50977122,63577.002816794,692953.226459734,109880.64389024
"175",174,4214281.73422488,10.9163589641636,18.6182538131011,84.8956077612404,1650.97156577225,4724814.25243514,63639.5787720968,692953.462834102,109882.434176012
"176",175,4214279.45833947,9.31062460240903,15.8796290159367,75.1093114157992,1552.47877916408,4724865.08049517,63698.4234331039,692953.664439133,109884.018163174
"177",176,4214277.51722225,7.94108741061032,13.5438316920556,66.4451050152862,1459.7764161103,4724912.30318898,63753.7559521784,692953.836389437,109885.41949447
"178",177,4214275.86163305,6.77299904254573,11.5516184661637,58.7752331907445,1372.53395106991,4724956.20228202,63805.7829967403,692953.983046831,109886.659122443
"179",178,4214274.44957084,5.77673084139068,9.85244453263746,51.9863499362235,1290.43857151956,4724997.0348032,63854.6994155624,692954.108131867,109887.755612746
"180",179,4214273.24521519,4.92700707813506,8.40320973171909,45.9779143771091,1213.19436590227,4725035.03547352,63900.6888745927,692954.214817619,109888.725413437
"181",180,4214272.21801315,4.20227314848509,7.16714753630688,40.6607613669474,1140.52153151,4725070.41888016,63943.92446355,692954.305810551,109889.583094487
"182",181,4214271.34190688,3.58414311216817,6.11290320252589,35.9558295172416,1072.15560459608,4725103.38141353,63984.5692736058,692954.38341894,109890.34156036
"183",182,4214270.59467056,3.05693658328952,5.21373113471256,31.7930282508967,1007.84671382979,4725134.10300279,64022.7769474752,692954.449611615,109891.012239
"184",183,4214269.95734853,2.60727890244107,4.44682223121285,28.1102316226522,947.358858848064,4725162.74866479,64058.6922020922,692954.506067727,109891.605249295
"185",184,4214269.41377282,2.22376335969304,3.79272075460743,24.8523815624836,890.469213842837,4725189.4698956,64092.4513257056,692954.554219484,109892.12955007
"186",185,4214268.95015486,1.89666121328997,3.23483491596012,21.9706932252421,836.967457838335,4725214.40591366,64124.1826491472,692954.595288321,109892.593071852
"187",186,4214268.55473211,1.61767362256709,2.75901043609853,19.4219425333314,786.655129275738,4725237.68478511,64154.006994688,692954.6303162,109893.002834817
"188",187,4214268.2174736,1.37972360265907,2.3531764743721,17.1678424620237,739.345009471565,4725259.42442132,64182.038099157,692954.660191697,109893.365051848
"189",188,4214267.92982387,1.17677452902583,2.00703840968518,15.1744819118546,694.860530252905,4725279.73348635,64208.3830166882,692954.685672684,109893.685221117
"190",189,4214267.68448573,1.00367798007448,1.71181528570239,13.411829856139,653.035207986168,4725298.71221104,64233.1424995426,692954.707405567,109893.968207775
"191",190,4214267.47523526,0.856043007801066,1.46001736794803,11.8532945976437,613.712102588971,4725316.4531273,64256.4113588344,692954.725941684,109894.218316453
"192",191,4214267.29676386,0.730123842268363,1.24525701735145,10.4753323307032,576.743301361546,4725333.04173106,64278.2788058417,692954.741751287,109894.439355555
"193",192,4214267.14454448,0.622726554869594,1.06208657139717,9.25710220923471,541.989428181698,4725348.55707815,64298.8287738679,692954.755235397,109894.634693841
"194",193,4214267.01471587,0.531127081519709,0.905859475316443,8.18015683321008,509.319174504302,4725363.07232802,64318.1402238302,692954.766736058,109894.807311139
"195",194,4214266.90398445,0.453001220906597,0.772612898169942,7.22816843655851,478.6088535632,4725376.65523505,64336.2874327301,692954.776545024,109894.959843149
"196",195,4214266.80954096,0.386367277461706,0.658966032521392,6.38668756706894,449.741977134938,4725389.36859201,64353.3402657065,692954.78491115,109895.094620885
"197",196,4214266.72898948,0.329535009753783,0.562035593955496,5.64292840162621,422.608853525113,4725401.27063332,64369.3644330232,692954.792046675,109895.213705716
"198",197,4214266.6602868,0.281062140601652,0.47936362248338,4.98557826787702,397.106205903729,4725412.41540157,64384.421732749,692954.798132593,109895.31892043
"199",198,4214266.60168984,0.239719519794627,0.408851969415133,4.40462871640088,373.136810072131,4725422.85308172,64398.5702799362,692954.803323311,109895.411876761
"200",199,4214266.55171217,0.204458153584637,0.348712201517412,3.89122601072108,350.609151525165,4725432.63030426,64411.8647225668,692954.807750504,109895.493999709
"201",200,4214266.50908592,0.174383560906847,0.297418599208207,3.43753856897298,329.437100267893,4725441.79042236,64424.3564454354,692954.811526483,109895.566549103
"202",201,4214266.47272976,0.14873273537743,0.253670047570148,3.0366395561013,309.539603146087,4725450.37376442,64436.0937622693,692954.814747036,109895.630638663
"203",202,4214266.44172133,0.12685498085441,0.216356577942123,2.68240265526791,290.840391985682,4725458.41786554,64447.1220972887,692954.817493869,109895.687252923
"204",203,4214266.41527403,0.108195292569601,0.184531677636609,2.36941037257119,273.267709491165,4725465.95767753,64457.4841551197,692954.819836661,109895.737262098
"205",204,4214266.39271698,0.0922803377504586,0.157388041846795,2.09287223851839,256.75404824226,4725473.02576283,64467.2200820555,692954.821834841,109895.781435336
