"","time","S","E","I","H","C","R","D","hosp","crits"
"106",105,27782.8424698627,56.9079994690087,96.8422719551053,78.0332734942891,147.051094669446,30685.0571754331,414.895296861085,4408.1102538383,848.950965386425
"107",106,27770.969948567,48.5438869912854,82.6358957504087,69.8181994171312,139.895260823462,30702.3527579701,420.195006152025,4409.1268809194,850.76092434236
"108",107,27760.8434482046,41.4082483698724,70.5087123319863,62.4284336636447,132.987872468456,30717.7743710869,425.234925572752,4409.9943423018,852.379828805316
"109",108,27752.2062232486,35.3208846007182,60.1577107311311,55.7874971426156,126.332554251602,30731.5408222365,430.024306975759,4410.73447866666,853.82695526069
"110",109,27744.8392937565,30.1279567352766,51.3237319371574,49.8249058191649,119.930966564879,30743.8441429394,434.572499161585,4411.36594360581,855.119779950729
"111",110,27738.5558553861,25.6981752322377,43.7851250664978,44.4759032144092,113.78306398723,30754.8529681337,438.888879970332,4411.90466833863,856.274122432363
"112",111,27733.196570948,21.9194805318321,37.3524478309504,39.681156196983,107.887331111142,30764.7154585199,442.982797727495,4412.36425508643,857.304282344693
"113",112,27728.6255351836,18.6962315255804,31.8638455764575,35.3864351894346,102.24099669868,30773.5618618389,446.863520944141,4412.75631555599,858.223168470184
"114",113,27724.7268180328,15.9468369934069,27.1810180284525,31.5422880086718,96.8402270065999,30781.5067562797,450.540195563635,4413.0907619265,859.042419731862
"115",114,27721.4015406601,13.6016684402622,23.1858680518876,28.1037098272652,91.6802997667763,30788.6509965242,454.021808974732,4413.37605367526,859.772518292821
"116",115,27718.5653667955,11.6013131488399,19.7775641264267,25.0298198838503,86.7557597736636,30795.0834200975,457.317160115042,4413.61940989166,860.422894566173
"117",116,27716.1463566289,9.89509899182299,16.8699947788773,22.283547922829,82.0605574362631,30800.882340333,460.434835006166,4413.82699129951,861.002024378529
"118",117,27714.0831545811,8.43978469170484,14.3896741951423,19.8313307102014,77.5881717006603,30806.116840705,463.383187108344,4414.00405422414,861.517518657483
"119",118,27712.3234290507,7.19848040643464,12.2738835054513,17.6428246225367,73.3317184368835,30810.8479127555,466.170321948503,4414.15508336759,861.976205812937
"120",119,27710.8225404434,6.13972920613124,10.4690759925055,15.6906339829041,69.2840456030375,30815.1294507537,468.804085505339,4414.28390530688,862.384207251681
"121",120,27709.5424190149,5.23668517368141,8.92957819434365,13.9500542944466,65.4378164430728,30819.0091137988,471.292055880874,4414.39378421367,862.7470064855
"122",121,27708.4505936098,4.46645007307791,7.61641470835432,12.3988339476118,61.7855816980207,30822.5290867089,473.64153784354,4414.48750478863,863.069512110666
"123",122,27707.5193656257,3.80950073563882,6.49631526763843,11.0169523267769,58.3198419816702,30825.7267441428,475.859559853977,4414.56744285158,863.356115151997
"124",123,27706.7251146019,3.2491729510707,5.54091348949026,9.7864132130017,55.0331013472269,30828.6352264361,477.952873226002,4414.63562472135,863.610741210092
"125",124,27706.0476929382,2.77125623290219,4.72600266605488,8.69105562872553,51.9179128470086,30831.283950256,479.927953119891,4414.69377900868,863.836897701404
"126",125,27705.4699141459,2.36363583494228,4.03092121655543,7.71637934679893,48.966917031088,30833.6990533764,481.791001084891,4414.74338042646,864.037716658189
"127",126,27704.9771232779,2.01596861972356,3.43805996885503,6.84938413074661,46.1728741753433,30835.9037808014,483.547948903343,4414.7856865794,864.215993459856
"128",127,27704.5568192955,1.71943694160085,2.93238971726946,6.07842395678968,43.5286908626531,30837.9188289551,485.204463522538,4414.8217703194,864.374221757639
"129",128,27704.1983384629,1.46652385437436,2.50108331847244,5.39307336744876,41.0274416593359,30839.762644654,486.765952874769,4414.85254687993,864.514624997114
"130",129,27703.8925885118,1.25080994761022,2.13321261759983,4.78400532891165,38.6623864704186,30841.4516852985,488.237572414828,4414.87879666464,864.639184833306
"131",130,27703.6318127846,1.06682443824524,1.81944801831428,4.24288120870263,36.4269840509508,30843.0006519947,489.624232227874,4414.90118547174,864.749666666729
"132",131,27703.4093950234,0.909903283429894,1.55182837248759,3.76225044576584,34.314902189647,30844.4226911245,490.930604577421,4414.92028123587,864.847642596373
"133",132,27703.2196941443,0.77606246493477,1.32357276718141,3.33545929104423,32.3200250823447,30845.729571083,492.161131765482,4414.93656820038,864.934512090559
"134",133,27703.0578972288,0.661908447704769,1.12888978194761,2.95656917793633,30.4364581134999,30846.9318406552,493.320034227978,4414.95045952947,865.011520463863
"135",134,27702.9198993478,0.564546677270033,0.962839835552201,2.62028231050033,28.6585305506606,30848.0389657796,494.41131876064,4414.96230761906,865.079775487778
"136",135,27702.8022005972,0.481504889283785,0.821215507359467,2.32187460954427,26.9807963957839,30849.0594502441,495.438786810676,4414.97241293202,865.140262269465
"137",136,27702.7018144525,0.410678509266985,0.700421327419545,2.05713578393213,25.3980336434147,30850.0009439497,496.40604277192,4414.98103186294,865.193856543276
"138",137,27702.6161946245,0.350270124165985,0.597394774581434,1.82231481756995,23.9052422616074,30850.8703358129,497.316502223388,4414.98838301547,865.241336589255
"139",138,27702.5431691045,0.29874718207924,0.509522746097465,1.6140712610408,22.497641067203,30851.673837677,498.173400077208,4414.99465286306,865.283393892704
"140",139,27702.4808851155,0.254803351864363,0.434575165321552,1.42943147776689,21.1706636737361,30852.417057682,498.979798592102,4415.00000047403,865.320642648901
"141",140,27702.4277629025,0.217322988270308,0.370652342993105,1.26574920433868,19.9199537167501,30853.1050648129,499.738595226103,4415.004561478,865.353628273271
"142",141,27702.3824544637,0.185355917716173,0.316131441504997,1.12067036963066,18.7413594602241,30853.7424469718,500.452530312414,4415.00845160841,865.382834993457
"143",142,27702.343810681,0.158090896916679,0.269630289702416,0.992101699256011,17.6309279961338,30854.333360831,501.124194453534,4415.01176952415,865.408692557909
"144",143,27702.3108512328,0.134836464010883,0.229969113420714,0.878182263674855,16.5848990344827,30854.8815775822,501.756035788639,4415.01459939238,865.431582320522
"145",144,27702.2827397119,0.115002448638523,0.196141537774078,0.777257788947009,15.5996983128968,30855.3905232746,502.350367113909,4415.01701302464,865.451842696051
"146",145,27702.258763379,0.0980859721759729,0.167289945695861,0.687859158322557,14.6719312778525,30855.8633125561,502.909372310476,4415.01907161497,865.469773715839
"147",146,27702.2383138724,0.0836578727009815,0.142682235600022,0.608680999295738,13.7983760399381,30856.3027820618,503.435113182098,4415.02082739599,865.485641550719
"148",147,27702.2208724275,0.0713520924324651,0.12169422334826,0.53856418671573,12.9759767077448,30856.7115174793,503.929535570303,4415.02232490786,865.499682190217
"149",148,27702.2059965916,0.06085645865814,0.10379350358643,0.476479656268373,12.2018365903221,30857.0918786117,504.394475380507,4415.02360213885,865.512104839694
"150",149,27702.1933091588,0.0519048590174092,0.088526154937103,0.421514251344883,11.4732115842824,30857.4460212352,504.831664241225,4415.02469147531,865.523094881448
"151",150,27702.1824880029,0.0442700023865113,0.0755045723472738,0.37285712503015,10.7875031756836,30857.775918085,505.242735317741,4415.02562057459,865.532816711863
"152",151,27702.1732584584,0.0377581014662933,0.0643982418101152,0.329788956189765,10.1422521430491,30858.0833755362,505.629228359834,4415.02641301915,865.541415983945
"153",152,27702.1653865477,0.0322040844677987,0.0549256005413915,0.2916720420843,9.53513232029421,30858.3700489787,505.992594604109,4415.0270888981,865.549021663766
"154",153,27702.1586725574,0.0274670306029147,0.0468463405261041,0.257940680929881,8.96394416563814,30858.6374578048,506.334201753917,4415.02766535864,865.555748024171
"155",154,27702.1529461581,0.0234267679487279,0.0399554948043879,0.228093278745213,8.4266087390884,30858.886997779,506.655338502596,4415.02815702512,865.561696274455
"156",155,27702.1480620835,0.0199808145658231,0.0340782484592716,0.20168516721946,7.92116183563727,30859.1199523802,506.957218876692,4415.02857637,865.566956041225
"157",156,27702.1438964316,0.017041739359462,0.0290655176239146,0.178322200813141,7.44574831101012,30859.3375030027,507.240986368876,4415.02893403142,865.571606686002
"158",157,27702.1403435265,0.0145349846315866,0.0247901362117575,0.157655081009771,6.99861660293706,30859.5407380977,507.507717865427,4415.02923908265,865.575718470835
"159",158,27702.1373132339,0.0123969656820938,0.0211436322184268,0.139374300430814,6.57811345964849,30859.7306614101,507.758427374886,4415.02949926259,865.579353594737
"160",159,27702.1347286827,0.0105734356472144,0.0180335139032038,0.123205650840344,6.18267887391261,30859.9081993887,507.994069565807,4415.02972117134,865.582567112739
"161",160,27702.1325243065,0.00901813525593749,0.0153808814251782,0.108906233531599,5.81084122331589,30860.074207876,508.215543121211,4415.02991043839,865.585407751054
"162",161,27702.1306441812,0.0076916159730548,0.0131184297067795,0.0962609142598003,5.46121261578287,30860.2294781438,508.423693917244,4415.03007186538,865.58791863011
"163",162,27702.1290406135,0.00656021881138402,0.0111887762693108,0.0850791743781651,5.13248443770946,30860.374742344,508.619318033658,4415.03020954723,865.590137905668
