time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,inci_all,hosp_all,crits_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Adults_Population,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Elderly_Population,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,Pediatrics_Population,start_day,start_date
44,3051.62447190197,0.11824064693267097,0.08762090225099123,0.006644476373373631,0.0012213633314358012,0.125406457095957,2.9425204631673013e-4,0.3394280980307453,0.013684814538570718,0.0017155269450855554,32165.92027326018,0.8311407698864983,0.6916528488719766,0.014465579744575206,0.0020778272998633056,1.6846886772409357,2.51036783172138e-4,2.2242767398270225,0.03847558677222941,0.003272859280955711,34469.581121417286,0.5933654571093765,0.42062427152911064,5.4280559204901625e-5,1.917399711175268e-6,0.5815419268873188,7.291980462484901e-7,1.5955885826827678,1.0721251435337681e-4,2.6465977574237583e-6,69687.12586657943,1.5427468739285457,1.1998980226520786,0.021164336677153738,0.003301108031010282,2.3916370612242117,5.460180275351166e-4,4.159293420540536,0.052267613825153506,0.00499103282379869, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
45,3051.57897565889,0.12850483639604324,0.09655148891384777,0.007563844104853672,0.0014850626585638,0.15042427628991423,3.948327466506481e-4,0.38492434110987334,0.016379581308017224,0.002148140381605785,32165.60987188759,0.895096384934281,0.734504519866075,0.015344376226509653,0.0023112864396555846,1.887112883885712,3.0866105730849503e-4,2.5346781124095425,0.04307945374335029,0.003780632206998839,34469.34632020224,0.6505390343125347,0.4709322789870543,6.308877856970676e-5,2.382305730804009e-6,0.7088520159512094,9.97392457607453e-7,1.830389797727556,1.3068274233793596e-4,3.379698188411461e-6,69686.53516774872,1.6741402556428588,1.301988287766977,0.02297130910993303,0.0037987314039501885,2.7463891761268355,7.044911964167506e-4,4.749992251246972,0.05958971779370545,0.005932152286793035, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
46,3051.526915152854,0.1419508095503368,0.1062237584058377,0.008519663075778647,0.0017714263190354617,0.1780033027624978,5.158870317241935e-4,0.4369848471452105,0.01934491589384317,0.0026378012619558775,32165.25472156498,0.9822358593331291,0.7856021909437776,0.01629627221458335,0.0025465655262275587,2.102775112844862,3.7243416098815894e-4,2.8898284350235683,0.04798450491056468,0.0043194958817244205,34469.07715489536,0.7235109624625605,0.5249808436782627,7.237047481334238e-5,2.898840637374068e-6,0.8509867022262614,1.326928597124578e-6,2.0995551046111314,1.568858595033152e-4,4.225769234498643e-6,69685.8587916132,1.8476976313460263,1.416806793027878,0.024888305765175343,0.004320890685900395,3.131765117833621,8.89648121309477e-4,5.42636838677991,0.06748630666391117,0.006961522912914796, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
47,3051.469838351444,0.15642901763024755,0.11696379142876007,0.00952900598656251,0.0020803542113673546,0.2084003863676117,6.590929308379033e-4,0.49406164855538687,0.022609045221396614,0.0031872275483951808,32164.865447281998,1.077472055179092,0.8466878280040646,0.0173597160513684,0.0027864173713724053,2.334354263176717,4.424382234424274e-4,3.279102718006057,0.05325225167556517,0.004892594083766202,34468.781710818126,0.8012584438010458,0.5843293707114018,8.224703970775876e-5,3.4671834928263754e-6,1.0093239288543578,1.7242595651003238e-6,2.3949991818495704,1.8607590086629262e-4,5.191443057926695e-6,69685.11699645157,2.0351595166103853,1.5479809901442265,0.02697096907763867,0.004870238766232586,3.5520785783986866,0.001103255413845431,6.168163548411014,0.07604737279782807,0.00808501307521931, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
48,3051.4072207389504,0.17213981161494973,0.12878941473038635,0.010607808126619286,0.0024127438586334232,0.24190332482289265,8.261578959245611e-4,0.5566792610494058,0.02620335573067143,0.0038001842397817473,32164.43850863302,1.1818772727292628,0.9174327695038444,0.01856593803134048,0.003034416960907665,2.5846121308193974,5.18838938761257e-4,3.706041366983514,0.058945937244641165,0.005504290566763212,34468.45734946195,0.88489364381801,0.6489951860982818,9.283299133068377e-5,4.088952937161819e-6,1.185372590216976,2.195949503546158e-6,2.719360538027038,2.1853104014484323e-4,6.284902440707975e-6,69684.30307883391,2.2389107281622227,1.6952173703325126,0.02926657914929045,0.00545124977247825,4.0118880458592665,0.0013471927841893641,6.982081166059958,0.08536782401545744,0.009310759708985667, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
49,3051.338499012478,0.18926777044152773,0.1417612850806496,0.011769576204155243,0.0027702167063679613,0.2788132540311211,0.0010188850574164281,0.62540098752123785,0.030160435599634574,0.00448132093884178,32163.970084585686,1.2965028867145134,0.9978512436767768,0.019938500069748073,0.0032945794425951924,2.856276302058415,6.019023526929128e-4,4.174465414314742,0.06512787006002244,0.006159866958925282,34468.101206059364,0.9754504433416,0.719255093645473,1.0422519174086933e-4,4.766794602381522e-6,1.3806866627962218,2.7488337366266462e-6,3.075503940603374,2.545377585210326e-4,7.515628339008166e-6,69683.40978965753,2.461221100497641,1.8588676224028995,0.031812301465644184,0.006069562943565535,4.515776218885758,0.0016235362438459676,7.875370342439354,0.09554284341817804,0.01064870352610607, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
50,3051.26306302008,0.20799243243228702,0.15597024787485933,0.01302680247444049,0.0031549459671891223,0.31945333237736157,0.0012392187931895865,0.7008369799193269,0.03451509642793525,0.005236076224771415,32163.45602414633,1.4224267681212563,1.088219307804817,0.021496588291576475,0.0035711288021877683,3.1521200577489523,6.920029005060453e-4,4.688525853669297,0.07186130007771412,0.006865329702405535,34467.710154478606,1.0739334324268976,0.7955706972271877,1.1651644082223248e-4,5.504152660467939e-6,1.5969259809867267,3.390127828363011e-6,3.466555521362122,2.944020505988513e-4,8.894280488830946e-6,69682.42924164502,2.704352632980441,2.039760252906864,0.034639907206839196,0.006731578922037358,5.068499371113041,0.0019346118215239948,8.855918354950747,0.10667079855624823,0.012110300207665781, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
51,3051.1802480572114,0.228496392563948,0.17152922634943327,0.014391905900656816,0.003569555401326152,0.36417557940862283,0.0014892831640644576,0.7836519427880514,0.03930516390259472,0.006070640981916006,32162.89179822453,1.5607889860760165,1.1890184859714457,0.023257404995169022,0.003868365110339974,3.475028905971245,7.896273472173654e-4,5.2527517754714355,0.07921197444499711,0.007627296057215809,34467.28077270803,1.1813559314768733,0.8785378166305913,1.2980418606486566e-4,6.305171772925726e-6,1.835903306951128,4.127524069517272e-6,3.895937291940499,3.384581029137255e-4,1.0432695842442993e-5,69681.35281898978,2.9706413101168376,2.2390855289514704,0.037779115081890705,0.0074442256834390515,5.675107792330996,0.00228303803535134,9.932341010199986,0.11885559645050556,0.013708369734974258, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
52,3051.089327805959,0.2509705825693972,0.18856953764979192,0.01587772545091644,0.004017083750812544,0.4133658518663062,0.0017714127534127068,0.8745721940406368,0.044572037684316716,0.0069919746256561,32162.272454358197,1.7128154120861498,1.300905202726478,0.02523761299637635,0.004190623953489824,3.8280514142643103,8.953757757300482e-4,5.872095641802536,0.0872493187340719,0.008452958236028483,34466.80930999991,1.298765955729283,0.9688605276129515,1.441946811383584e-4,7.174707535172647e-6,2.0996171780475605,4.969275900121012e-6,4.367400000054368,3.8707434984423144e-4,1.2143983435293655e-5,69680.17109216406,3.26255195038483,2.4583352679892214,0.04125953312843115,0.008214882411837541,6.341034444178177,0.002671757805042876,11.114067835897542,0.13220843076823285,0.015457076845119877, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
53,3050.989507079594,0.2756185452286969,0.2072388883319375,0.017497883154957733,0.004500969594800338,0.4674484509712085,0.002088183124086558,0.9743929204056875,0.050361202222134936,0.008007841106750041,32161.592569250286,1.879837865204687,1.4246908703447716,0.02745440714003013,0.004542271775619289,4.214445372786737,0.001009962465706996,6.551980749717553,0.09604750497282262,0.009350082929712965,34466.29165202528,1.427268091163801,1.0673353881339178,1.5980575667067908e-4,8.11836132212093e-6,2.390280646978273,5.924289451040035e-6,4.885057974683434,4.4065877213389834e-4,1.4042650773160958e-5,69678.87372835516,3.582724501597185,2.699265146810627,0.04511209605165854,0.009051359731741747,7.072174470736218,0.003104069879244594,12.411431644806674,0.14684936596709144,0.017371966687236166, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
54,3050.879914243789,0.302659865074611,0.22770087019397248,0.019267031361717174,0.005025056404243451,0.5268904920836873,0.0024424410929988144,1.0839857562112303,0.05672270340821868,0.009126864808810269,32160.846198386764,2.063311371251387,1.5613317929506594,0.029926259744191424,0.00492773200597535,4.637720240243932,0.0011342170441806284,7.298351613240326,0.10568642894684908,0.010327042912403437,34465.72328351686,1.568041819283171,1.174844799341907,1.7676842229039043e-4,9.14253868729517e-6,2.710346951299221,7.002221656107785e-6,5.453426483106932,4.996636291584495e-4,1.614476034340295e-5,69677.4493961474,3.934013055609169,2.963877462486539,0.049370059528198985,0.009961930948906097,7.874957683626841,0.0035836603588355505,13.835763852558488,0.16290879598422622,0.01947005248155711, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
55,3050.7595934197416,0.33233302138098186,0.25013540798438627,0.021201034240062904,0.005593609906758144,0.5922061718498707,0.0028373348964108426,1.2043065802584705,0.06371160924223954,0.01035859857241288,32160.026823624772,2.2648296171934676,1.7119260741561169,0.03267343946702562,0.0053515283047433386,5.101676629632886,0.0012690864763748053,8.117726375230616,0.11625261584548117,0.011392869764252949,34465.09924910265,1.7223572519165145,1.2923565748535542,1.9522787186725414e-4,1.0254516182732549e-5,3.0625333745723755,8.213583110458035e-6,6.077460897313604,5.645898577310659e-4,1.846809929319058e-5,69675.88566614717,4.319519890490964,3.2544180569940573,0.05406970157895578,0.010955392727684215,8.756416176055131,0.004114634955896106,15.39949385280269,0.18052881494545178,0.02176993643595902, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
56,3050.627495944317,0.36489812436172175,0.2747397280525159,0.02331713894108603,0.006211342449407577,0.6639613751532746,0.0032763467254520607,1.336404055683458,0.0713885052117342,0.011713602697671733,32159.12729539628,2.4861407498451285,1.8777146968862388,0.035718434625494115,0.005818337114770982,5.610446746853052,0.0014156383996502394,9.017254603724334,0.1278401455351072,0.012557322294024455,34464.414109873374,1.8915904236651284,1.4209270769030395,2.1534442513205325e-4,1.1462510814269772e-5,3.4498462492326474,9.569851997290653e-6,6.762600126588759,6.359916813632617e-4,2.1032362811560422e-5,69674.16890121397,4.742629297871979,3.5733815018417943,0.0592509179917122,0.012041142074992829,9.724254371238974,0.004701554977099591,17.11625878599655,0.19986464242820468,0.02429195735450775, 80,Sub-Saharan Africa,Malawi,Lilongwe City,Area 23,21053,MW21053,0.1363123,0.003082426,0.2100670,0.02863472,0.02261297,0.000647516,32169.14455,0.2436711,0.02496579,0.5954547,0.1450951,0.1024569,0.01486600, 3051.96390,0.05,9.22e-06,1,0.2217958,0.000184341,4.09e-05, 34471.17671,32,2020-04-04
