Lvl1,Lvl2,Lvl3,Lvl4
Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka
Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera
Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula
Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo
Sub-Saharan Africa,Malawi,Dowa,TA Chiwere
Sub-Saharan Africa,Malawi,Kasungu,TA Chulu
Sub-Saharan Africa,Malawi,Neno,TA Dambe
Sub-Saharan Africa,Malawi,Dowa,TA Dzoole
Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri
Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi
Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula
Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli
Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto
Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere
Sub-Saharan Africa,Malawi,Balaka,TA Kalembo
Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo
Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma
Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba
Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu
Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo
Sub-Saharan Africa,Malawi,Chitipa,TA Kameme
Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku
Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda
Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba
Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula
Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni
Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka
Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi
Sub-Saharan Africa,Malawi,Salima,TA Karonga
Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula
Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu
Sub-Saharan Africa,Malawi,Mangochi,TA Katuli
Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi
Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga
Sub-Saharan Africa,Malawi,Machinga,TA Kawinga
Sub-Saharan Africa,Malawi,Salima,TA Khombedza
Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni
Sub-Saharan Africa,Malawi,Karonga,TA Kilupula
Sub-Saharan Africa,Malawi,Salima,TA Kuluunda
Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja
Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe
Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji
Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine
Sub-Saharan Africa,Malawi,Karonga,TA Kyungu
Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe
Sub-Saharan Africa,Malawi,Blantyre,TA Lundu
Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa
Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka
Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo
Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri
Sub-Saharan Africa,Malawi,Salima,TA Maganga
Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila
Sub-Saharan Africa,Malawi,Blantyre,TA Makata
Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira
Sub-Saharan Africa,Malawi,Zomba,TA Malemia
Sub-Saharan Africa,Malawi,Nsanje,TA Malemia
Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi
Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malenga
Sub-Saharan Africa,Malawi,Lilongwe,TA Malili
Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mankhambira
Sub-Saharan Africa,Malawi,Ntcheu,TA Masasa
Sub-Saharan Africa,Malawi,Chikwawa,TA Maseya
Sub-Saharan Africa,Malawi,Lilongwe,TA Mazengera
Sub-Saharan Africa,Malawi,Mchinji,TA Mkanda
Sub-Saharan Africa,Malawi,Phalombe,TA Mkhumba
Sub-Saharan Africa,Malawi,Likoma,Mkumpha
Sub-Saharan Africa,Malawi,Neno,TA Mlauli
Sub-Saharan Africa,Malawi,Nsanje,TA Mlolo
Sub-Saharan Africa,Malawi,Mchinji,TA Mlonyeni
Sub-Saharan Africa,Malawi,Zomba,TA Mlumbe
Sub-Saharan Africa,Malawi,Chiradzulu,TA Mpama
Sub-Saharan Africa,Malawi,Ntcheu,TA Mpando
Sub-Saharan Africa,Malawi,Mzimba,TA Mpherembe
Sub-Saharan Africa,Malawi,Mangochi,TA Mponda
Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa
Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo
Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya
Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama
Sub-Saharan Africa,Malawi,Zomba,TA Mwambo
Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe
Sub-Saharan Africa,Malawi,Kasungu,TA Mwase
Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku
Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya
Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola
Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku
Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe
Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema
Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela
Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera
Sub-Saharan Africa,Malawi,Salima,TA Ndindi
Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu
Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu
Sub-Saharan Africa,Malawi,Neno,TA Chekucheku
Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole
Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo
Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe
Sub-Saharan Africa,Malawi,Balaka,TA Msamala
Sub-Saharan Africa,Malawi,Mwanza,TA Nthache
Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire
Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja
Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza
Sub-Saharan Africa,Malawi,Machinga,TA Nyambi
Sub-Saharan Africa,Malawi,Salima,TA Pemba
Sub-Saharan Africa,Malawi,Dedza,TA Pemba
Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala
Sub-Saharan Africa,Malawi,Kasungu,TA Santhe
Sub-Saharan Africa,Malawi,Blantyre,TA Somba
Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe
Sub-Saharan Africa,Malawi,Dedza,TA Tambala
Sub-Saharan Africa,Malawi,Nsanje,TA Tengani
Sub-Saharan Africa,Malawi,Thyolo,TA Thomas
Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri
Sub-Saharan Africa,Malawi,Karonga,TA Wasambo
Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe
Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve
Sub-Saharan Africa,Malawi,Mchinji,TA Zulu
Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma
Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira
Sub-Saharan Africa,Malawi,Machinga,TA Liwonde
Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya
Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba
