UID,Lvl1,Lvl2,Lvl3,Lvl4,Population,Code
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,56852.0085,MW20103
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,11959.03687,MW31109
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,118752.752,MW20904
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,23722.39312,MW10304
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,133090.2397,MW20702
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,61214.17984,MW30703
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,66056.7314,MW31106
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,188240.227,MW30305
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,116280.2692,MW30105
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,116713.6275,MW20704
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,2102.362734,MW10311
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,118457.0334,MW20405
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,16564.68809,MW10308
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,68486.76494,MW30206
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,36242.98279,MW20204
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,82409.19747,MW30705
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,78561.85357,MW20407
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,30122.43266,MW30205
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,7393.146243,MW20510
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,77593.50562,MW20609
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,16175.0506,MW10403
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,24485.11887,MW10202
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,21256.82915,MW10404
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,30476.27673,MW10407
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,35720.17519,MW20206
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,40168.71759,MW20508
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,42130.0895,MW10205
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,37972.50264,MW30109
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,35668.86412,MW30208
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,50564.00793,MW20613
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,67366.2561,MW20108
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,28838.76381,MW20303
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,11007.0091,MW10310
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,39647.34765,MW20102
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,52182.19745,MW30202
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,23217.67516,MW30702
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,73435.91209,MW20611
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,12872.82739,MW10305
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,1134.188416,MW10313
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,126405.4762,MW30710
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,175833.45,MW20601
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,33121.27754,MW20907
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,55182.59931,MW30704
113,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga,133729.5536,MW31003
114,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru,54548.75617,MW30503
115,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho,41627.78762,MW20302
116,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi,79783.48698,MW30304
117,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe,87018.34425,MW10401
118,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu,92019.9381,MW30803
119,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro,168982.1885,MW30709
120,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo,13151.08705,MW31102
121,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu,138622.9816,MW20607
122,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala,153855.3728,MW30102
123,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi,193821.6726,MW10505
124,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka,333454.3034,MW20603
125,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera,23022.41322,MW30405
126,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula,40030.47629,MW20608
127,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo,46923.20456,MW30903
128,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere,117028.1731,MW20404
129,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu,89251.08379,MW20110
130,Sub-Saharan Africa,Malawi,Neno,TA Dambe,34861.07762,MW31301
131,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole,116322.2876,MW20401
132,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri,23297.87996,MW10302
133,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi,103506.0869,MW30104
134,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula,173614.5553,MW20615
135,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli,52918.63185,MW10301
136,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto,137041.4072,MW20807
137,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere,104595.7659,MW30403
138,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo,179251.2618,MW31204
139,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo,206410.25,MW20602
140,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma,71351.49959,MW20101
141,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba,36369.02142,MW20612
142,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu,83525.78922,MW20610
143,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo,133407.2835,MW20304
144,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme,27441.10852,MW10105
145,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku,61661.9392,MW30601
146,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda,109421.3435,MW20201
147,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba,57557.30879,MW20105
148,Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula,75132.45074,MW20113
149,Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni,105171.5563,MW30501
150,Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka,184662.9236,MW20803
151,Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi,70462.1685,MW30707
152,Sub-Saharan Africa,Malawi,Salima,TA Karonga,79268.25666,MW20502
153,Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula,22903.6835,MW20301
154,Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu,100114.5045,MW20806
155,Sub-Saharan Africa,Malawi,Mangochi,TA Katuli,57725.91207,MW30107
156,Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi,19534.81318,MW10408
157,Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga,40760.76933,MW31005
158,Sub-Saharan Africa,Malawi,Machinga,TA Kawinga,174476.9205,MW30203
159,Sub-Saharan Africa,Malawi,Salima,TA Khombedza,114194.4234,MW20507
160,Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni,142407.8876,MW20606
161,Sub-Saharan Africa,Malawi,Karonga,TA Kilupula,77158.2373,MW10201
162,Sub-Saharan Africa,Malawi,Salima,TA Kuluunda,10710.41132,MW20509
163,Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja,85350.42568,MW30506
164,Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe,47367.23431,MW30504
165,Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji,94131.61222,MW30301
166,Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine,1,MW20903
167,Sub-Saharan Africa,Malawi,Karonga,TA Kyungu,99692.63172,MW10203
168,Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe,74443.66329,MW30402
169,Sub-Saharan Africa,Malawi,Blantyre,TA Lundu,35948.44414,MW30502
170,Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa,176152.387,MW10501
171,Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka,194761.2897,MW30801
172,Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo,94895.8094,MW10507
173,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,26232.61879,MW30507
174,Sub-Saharan Africa,Malawi,Salima,TA Maganga,60692.0764,MW20501
175,Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila,83909.96427,MW30108
176,Sub-Saharan Africa,Malawi,Blantyre,TA Makata,19610.98127,MW30505
177,Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira,73293.12488,MW31007
178,Sub-Saharan Africa,Malawi,Zomba,TA Malemia,74257.98758,MW30307
179,Sub-Saharan Africa,Malawi,Nsanje,TA Malemia,20123.42873,MW31107
180,Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi,68407.08616,MW20203
181,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malenga,6511.765104,MW10303
182,Sub-Saharan Africa,Malawi,Lilongwe,TA Malili,147418.1927,MW20614
183,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mankhambira,21637.19936,MW10306
184,Sub-Saharan Africa,Malawi,Ntcheu,TA Masasa,36995.57046,MW20909
185,Sub-Saharan Africa,Malawi,Chikwawa,TA Maseya,41452.35073,MW31004
186,Sub-Saharan Africa,Malawi,Lilongwe,TA Mazengera,139324.5799,MW20604
187,Sub-Saharan Africa,Malawi,Mchinji,TA Mkanda,133854.9108,MW20705
188,Sub-Saharan Africa,Malawi,Phalombe,TA Mkhumba,314498.2746,MW30901
189,Sub-Saharan Africa,Malawi,Likoma,Mkumpha,1,MW10601
190,Sub-Saharan Africa,Malawi,Neno,TA Mlauli,40913.65183,MW31302
191,Sub-Saharan Africa,Malawi,Nsanje,TA Mlolo,77059.49695,MW31104
192,Sub-Saharan Africa,Malawi,Mchinji,TA Mlonyeni,58260.96807,MW20701
193,Sub-Saharan Africa,Malawi,Zomba,TA Mlumbe,161909.8964,MW30306
194,Sub-Saharan Africa,Malawi,Chiradzulu,TA Mpama,71774.06211,MW30401
195,Sub-Saharan Africa,Malawi,Ntcheu,TA Mpando,77152.94655,MW20902
196,Sub-Saharan Africa,Malawi,Mzimba,TA Mpherembe,51806.49782,MW10509
197,Sub-Saharan Africa,Malawi,Mangochi,TA Mponda,151066.059,MW30101
198,Sub-Saharan Africa,Malawi,Dowa,TA Msakambewa,98252.5124,MW20406
199,Sub-Saharan Africa,Malawi,Mzimba,TA Mtwalo,216647.0976,MW10502
200,Sub-Saharan Africa,Malawi,Chitipa,TA Mwabulambya,113635.5806,MW10101
201,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwadzama,109237.0454,MW20205
202,Sub-Saharan Africa,Malawi,Zomba,TA Mwambo,155523.5271,MW30302
203,Sub-Saharan Africa,Malawi,Rumphi,TA Mwamlowe,8290.838594,MW10402
204,Sub-Saharan Africa,Malawi,Kasungu,TA Mwase,27002.80999,MW20114
205,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenemisuku,34627.53652,MW10102
206,Sub-Saharan Africa,Malawi,Chitipa,TA Mwenewenya,29903.8643,MW10103
207,Sub-Saharan Africa,Malawi,Mzimba,TA Mzikubola,102128.2131,MW10506
208,Sub-Saharan Africa,Malawi,Mzimba,TA Mzukuzuku,46866.04704,MW10510
209,Sub-Saharan Africa,Malawi,Phalombe,TA Nazombe,64724.73741,MW30902
210,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nchema,45771.22505,MW30406
211,Sub-Saharan Africa,Malawi,Thyolo,TA Nchilamwela,66040.56258,MW30708
212,Sub-Saharan Africa,Malawi,Nsanje,TA Ndamera,33881.16269,MW31101
213,Sub-Saharan Africa,Malawi,Salima,TA Ndindi,51030.27139,MW20505
214,Sub-Saharan Africa,Malawi,Chikwawa,TA Ngabu,205691.6028,MW31001
215,Sub-Saharan Africa,Malawi,Nsanje,TA Ngabu,15944.21714,MW31108
216,Sub-Saharan Africa,Malawi,Neno,TA Chekucheku,26545.57247,MW31304
217,Sub-Saharan Africa,Malawi,Ntcheu,TA Njolomole,66200.2576,MW20906
218,Sub-Saharan Africa,Malawi,Chiradzulu,TA Nkalo,55927.28261,MW30404
219,Sub-Saharan Africa,Malawi,Thyolo,TA Nsabwe,48111.77897,MW30701
220,Sub-Saharan Africa,Malawi,Balaka,TA Msamala,217589.8511,MW31201
221,Sub-Saharan Africa,Malawi,Mwanza,TA Nthache,65016.69693,MW30602
222,Sub-Saharan Africa,Malawi,Chitipa,TA Nthalire,47631.87715,MW10104
223,Sub-Saharan Africa,Malawi,Mulanje,TA Nthiramanja,55634.71022,MW30804
224,Sub-Saharan Africa,Malawi,Nsanje,TA Nyachikadza,3109.740136,MW31103
225,Sub-Saharan Africa,Malawi,Machinga,TA Nyambi,66745.29216,MW30210
226,Sub-Saharan Africa,Malawi,Salima,TA Pemba,27766.83731,MW20503
227,Sub-Saharan Africa,Malawi,Dedza,TA Pemba,189549.6335,MW20801
228,Sub-Saharan Africa,Malawi,Ntcheu,TA Phambala,67971.9724,MW20901
229,Sub-Saharan Africa,Malawi,Kasungu,TA Santhe,114907.7256,MW20111
230,Sub-Saharan Africa,Malawi,Blantyre,TA Somba,82992.84979,MW30508
231,Sub-Saharan Africa,Malawi,Neno,TA Symon Likongwe,64344.93609,MW31303
232,Sub-Saharan Africa,Malawi,Dedza,TA Tambala,81038.06228,MW20804
233,Sub-Saharan Africa,Malawi,Nsanje,TA Tengani,50418.68741,MW31105
234,Sub-Saharan Africa,Malawi,Thyolo,TA Thomas,45978.32427,MW30711
235,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Timbiri,52352.32087,MW10312
236,Sub-Saharan Africa,Malawi,Karonga,TA Wasambo,73728.89482,MW10204
237,Sub-Saharan Africa,Malawi,Kasungu,TA Wimbe,102594.1025,MW20112
238,Sub-Saharan Africa,Malawi,Rumphi,STA Zolokere and Vwaza Marsh Reserve,1,MW10409
239,Sub-Saharan Africa,Malawi,Mchinji,TA Zulu,147574.5615,MW20703
240,Sub-Saharan Africa,Malawi,Thyolo,Thyolo Boma,6994.63892,MW30720
241,Sub-Saharan Africa,Malawi,Zomba,TA Mkumbira,2847.917475,MW30303
242,Sub-Saharan Africa,Malawi,Machinga,TA Liwonde,89424,MW30201
243,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Musisya,16810.2188,MW10309
244,Sub-Saharan Africa,Malawi,Mangochi,TA Nankumba,149737.9982,MW30103
