Code,UID,District,TA,Less Than 1 Year,04-Jan,09-May,14-Oct,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75+,Total Pop,sixtfiveolder,percentelderly
MW20420,11,Dowa,Dowa Boma,99.57379438,350.5463405,466.4246158,538.0478714,517.6672702,478.0706736,381.9906966,350.5463405,275.4292675,217.1989784,146.7403286,117.625184,73.95246717,64.63562092,31.44435612,22.70981275,22.12750986,4154.731128,76.28167873,0.018360196
MW10220,12,Karonga,Karonga Town,1556.517278,6217.163421,8137.824601,8434.681044,7476.824257,6719.840329,5037.653824,4811.053406,3764.139687,2789.461035,1807.855733,1267.577008,899.4750198,653.0841728,472.9912645,361.175338,556.1110683,60963.42849,1390.277671,0.02280511
MW20120,13,Kasungu,Kasungu Boma,1626.677854,5968.358509,7680.243299,7430.432057,6797.189606,6208.487145,5087.241338,4607.952327,3889.502941,2676.272375,1754.488257,1104.785376,728.131992,502.5272658,330.176874,193.6521255,205.2712531,56791.39059,729.1002526,0.012838218
MW20107,14,Kasungu,TA Kawamba/Kasungu National Park,1220.616979,5235.221795,6787.929246,6123.748302,4858.852593,3996.893324,2847.122312,2577.760041,2112.095401,1719.490666,1304.008586,886.3125706,701.0798851,554.2220987,473.0444278,299.6194035,445.0012324,42143.01886,1217.665064,0.028893636
MW30111,15,Mangochi,TA Nankumba/Lake Malawi National Park,56.59005068,219.0886279,260.6151545,225.9829333,182.6874858,135.5028993,104.5840425,91.75687946,81.90801114,56.84014765,44.93609574,30.3138472,25.31053563,18.90333147,21.58653486,12.41167064,24.90544453,1593.923692,58.90365003,0.036955125
MW31008,16,Chikwawa,STA Ndakwela/Lengwe National Park,70.05465146,255.4934347,326.9627104,301.1611948,245.9600976,183.9934064,131.7753211,116.0299385,114.33854,84.20089363,68.48626374,47.85120179,40.00926319,30.13764637,36.22668104,19.89699714,43.91485614,2116.493098,100.0385343,0.047266176
MW10620,17,Likoma,Likoma Boma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,992.1851435,0,0
MW30213,18,Machinga,TA Liwonde/Liwonde National Park,414.3284368,1612.464258,2088.966021,1916.497598,1415.93495,984.0901895,713.3571134,650.8950564,599.6934935,432.8071963,349.3640477,234.8342359,217.5103989,159.6680317,202.6888938,105.290432,215.2005539,12313.59091,523.1798797,0.042488002
MW30222,19,Machinga,Liwonde Town,996.1461384,3796.085284,4597.932176,4576.18226,4122.33402,3746.785475,2913.038707,2514.290253,2116.991793,1364.444711,1010.646082,655.3974593,491.5480945,318.9987634,297.2488477,129.0494997,245.0490501,33892.16862,671.3473975,0.019808334
MW30721,20,Thyolo,Luchenza Town,306.056991,1111.613522,1472.161372,1547.540394,1472.161372,1180.635277,883.6600957,840.9755896,743.8002245,548.5413133,378.7114696,227.9534265,186.1771014,152.574405,135.3189664,107.1653559,148.0335001,11443.08038,390.5178224,0.034126984
MW30220,21,Machinga,Machinga Boma,37.75802802,148.05917,188.8324163,165.9393432,125.8078911,92.94789388,71.25786929,62.44483483,55.64243529,38.97684012,31.26361471,20.52170187,17.48744713,13.34530304,16.27604269,8.674863831,18.32467621,1113.560372,43.27558273,0.038862359
MW31006,22,Chikwawa,TA Kasisi/Majete Game Reserve Chikwawa,1182.859721,4416.009626,5612.012234,5401.726061,4552.367067,3510.793367,2705.791613,2449.50534,2094.647423,1662.575053,1288.002808,944.6449164,683.4300612,486.2867743,593.0727214,348.2864735,653.8585682,38585.86983,1595.217763,0.041342019
MW30120,23,Mangochi,Mangochi Town,1914.600499,6849.052834,7817.178773,7303.73179,6522.220116,5841.74821,4728.248728,4191.088329,3491.027081,2117.711052,1434.146093,893.89264,653.6654368,452.6169192,393.848891,213.4207341,339.2049349,55157.40306,946.47456,0.01715952
MW20720,24,Mchinji,Mchinji Boma,723.6407675,2982.246561,3701.855904,3815.743657,3281.579859,3111.252158,2541.813392,2442.035626,1829.259043,1351.535194,829.4656708,541.2187913,394.0717828,258.0111929,184.4376886,95.7463411,147.1470084,28231.06064,427.3310381,0.01513691
MW30121,25,Mangochi,Monkey Bay Urban,292.7149072,1243.638472,1601.134547,1604.333617,1556.347567,1322.015688,957.3217048,969.3182174,823.7605313,555.0386492,309.5100248,233.5321118,154.3551287,123.1641959,95.97210073,50.38535288,67.98023802,11960.52305,214.3376916,0.017920428
MW30820,26,Mulanje,Mulanje Boma,301.3325671,1069.111437,1471.988951,1615.637901,1552.894682,1381.176397,1097.180772,973.3454703,837.1266386,615.0486644,370.680336,283.9956249,198.1364825,129.6142823,128.7887136,61.91765078,115.5796148,12203.55618,306.2859792,0.025098092
MW30805,27,Mulanje,TA Nkanda/Mulanje Mountain Reserve,3890.305925,14263.46667,19669.96398,19947.70177,14745.80135,10604.44417,7511.769571,7435.663484,6835.710309,5110.96848,3822.106964,2642.95682,2262.426388,2007.421579,2394.870746,1259.209794,2480.86074,126885.6487,6134.94128,0.048350159
MW31110,28,Nsanje,Mwabvi Game Reserve,290.6203686,1370.527052,1571.06583,1384.468251,1034.865888,694.915125,649.8743299,512.6071447,423.5979543,334.5887639,273.4619705,187.6699797,164.0771823,116.8915874,108.3123883,73.99559201,187.6699797,9379.209388,369.97796,0.039446604
MW30620,29,Mwanza,Mwanza Boma,616.783559,2341.81168,2861.531691,3007.74134,2625.63041,2468.362889,1970.758623,1868.780465,1600.934218,1040.668674,620.4695166,384.568235,256.7883742,165.8680886,141.2950384,68.80454045,122.8652508,22163.66259,332.9648297,0.015023006
MW10520,30,Mzimba,Mzimba Boma,769.2304755,2751.727558,3582.539686,3727.310591,3501.511195,3147.146594,2493.516766,2255.833192,1805.314782,1285.652059,850.2589666,607.1734933,466.7241087,338.1589029,226.8797751,154.494323,230.1209147,28193.59338,611.4950128,0.021689148
MW31320,31,Neno,Neno Boma,68.36713471,257.8298055,320.0792853,311.7830497,241.8865821,200.4912919,139.3291952,125.5396602,114.3790623,85.16498896,62.88432084,48.00809609,35.40378724,28.50135848,29.6480174,17.25643054,30.93938603,2117.491452,77.84383397,0.03676229
MW10320,32,Nkhata Bay,Nkhatabay Boma,321.6101045,1307.498401,1687.919561,1790.544373,1467.894638,1106.065946,716.8263104,629.4198493,542.0012636,446.5679215,342.4205021,291.1170995,218.4476958,192.5529572,155.8499106,115.731479,207.7639744,11540.23199,479.345364,0.041536891
MW20220,33,Nkhotakota,Nkhotakota Boma,829.870883,3049.007096,3917.810193,3987.478366,3671.922524,2975.240795,2183.277595,2052.137504,1781.661068,1186.408003,863.6804374,678.2401537,473.3337629,409.8127817,364.7333757,232.5687536,388.2976107,29045.4809,985.59974,0.033932981
MW20207,34,Nkhotakota,Nkhotakota Game Reserve,19.70955179,77.01324865,107.3075597,97.45278384,71.17338146,51.46382967,32.48426128,31.75427788,26.64439408,24.08945218,11.67973439,11.67973439,9.489784194,7.299833995,5.474875497,5.474875497,7.299833995,597.4914125,18.24958499,0.030543677
MW31120,35,Nsanje,Nsanje Boma,695.3251587,2792.094816,3470.329188,3216.665935,2896.438565,2327.945033,1868.292826,1441.023162,1494.994067,1068.623918,769.9849105,527.1158383,384.0929402,313.9307638,312.1317336,189.7976824,377.7963346,24146.58287,879.7257506,0.036432722
MW20920,36,Ntcheu,Ntcheu Boma,588.3652004,2068.426269,2572.051473,2572.051473,2457.459888,2342.868302,1956.723547,1777.61401,1420.35789,910.9549584,578.7356554,407.3297541,277.3308964,196.4427183,136.7395392,78.96226912,111.7027222,20454.11657,327.4045305,0.016006779
MW20320,37,Ntchisi,Ntchisi Boma,234.3321128,868.3003869,1075.38458,1134.42174,1009.989571,914.6218511,752.0425945,671.2070982,587.64681,427.7923454,255.2221849,172.5701606,136.2396005,92.64292831,76.29417625,45.41320015,44.50493615,8498.626276,166.2123126,0.01955755
MW30920,38,Phalombe,Phalombe Boma,226.6163034,873.5156382,1205.676091,1163.786075,872.1176095,634.0626255,473.2272314,451.1625613,391.6427249,282.8152415,207.3195175,145.1442212,123.1105833,96.262555,123.1753296,66.19726087,134.2237263,7470.055295,323.5963168,0.043319133
MW10420,39,Rumphi,Rumphi Boma,459.2685521,1764.3501,2262.352145,2417.286114,2226.78057,1969.084274,1467.920312,1325.634014,1155.680935,796.0127917,579.4214263,377.0586908,283.7821174,221.334242,139.9148601,96.43849115,131.2195863,17673.53922,367.5729376,0.020797925
MW20520,40,Salima,Salima Town,1043.268462,4216.627775,5009.714382,4744.339298,4193.331489,3943.149634,3376.948595,3133.856914,2568.668757,1662.139365,1030.100996,699.9014634,511.5054111,398.0626268,313.9934206,187.3831704,229.9242145,37262.91597,731.3008055,0.019625432
MW20402,41,Dowa,TA Chakhaza,4691.957928,19366.02293,25982.88667,26270.2858,20249.38538,15923.91704,11680.88101,10588.09594,9114.339925,7553.6958,6075.483983,4603.955868,3487.777842,2542.034186,2468.513478,1490.465268,2783.761363,174873.4604,6742.740109,0.038557824
MW30204,42,Machinga,TA Chamba,904.1421424,3889.808313,4984.582835,4552.482775,3449.538294,2485.483118,1842.779668,1692.997084,1439.728351,1075.711284,861.4768003,582.7904171,500.1830527,409.4057291,492.0130935,272.3319706,529.2317962,29964.68673,1293.57686,0.043170045
MW20905,43,Ntcheu,TA Champiti,508.8337146,2206.605698,2905.629705,3160.544442,2578.024436,2118.978757,1556.373965,1283.535534,1226.777175,982.8158049,637.2868441,503.8549111,431.1643805,354.490807,411.2491666,198.1563781,451.0795943,21515.40131,1060.485139,0.049289582
MW10406,44,Rumphi,STA Chapinduka,88.08669296,339.0947915,430.2995975,417.8271454,385.8664869,300.8979069,177.7324424,155.126123,125.5040493,109.1339559,84.96857994,74.05518435,64.70084527,49.11028015,38.19688456,28.06301723,57.68509097,2926.349074,123.9449928,0.042354822
MW20805,45,Dedza,TA Chauma,796.6826956,3184.225491,4200.121192,4316.617247,3270.658048,2296.099656,1786.272836,1574.575705,1464.342879,1136.149693,1038.443325,746.5768657,623.8175824,447.194532,481.0159672,365.7725584,638.8493314,28367.41561,1485.637857,0.05237128
MW30207,46,Machinga,TA Chikweo,3295.690143,12732.45012,15554.95029,12638.8521,9272.443456,6880.494157,5767.717744,4657.021287,3947.756321,2694.582884,2281.711636,1455.969138,1310.372225,912.0606674,1115.896347,652.0661784,1432.049645,86602.08433,3200.01217,0.036950752
MW20802,47,Dedza,TA Chilikumwendo,2491.445039,10160.49345,12947.32739,12487.09598,10014.45848,7943.417131,5711.958586,5357.934424,4518.233366,3975.027542,2790.152926,1829.862387,1594.215054,1264.530053,1327.590607,918.2501698,1912.836799,87244.82939,4158.677576,0.047666751
MW20305,48,Ntchisi,TA Chilooko,2513.126728,10293.2194,13192.81113,12703.10476,9717.938633,8229.496266,5837.277876,5258.132459,4433.85781,3579.218052,2567.231828,1969.867347,1599.965127,1156.634555,1182.030827,703.9184046,1327.783344,86265.61455,3213.732576,0.037253923
MW20109,49,Kasungu,TA Chilowamatambe,1417.418022,5676.633864,7593.907553,7265.311627,5757.39049,4569.711146,3288.743975,3065.967076,2627.375056,2174.859479,1512.098204,1211.34939,966.2948005,700.354877,604.2823392,324.4188595,622.3829623,49378.49972,1551.084161,0.031412136
MW20104,50,Kasungu,STA Chisikwa,247.9041008,998.6658088,1393.432529,1361.710203,999.8407098,840.0541804,572.1767634,526.3556263,437.063154,386.5424131,307.8240493,274.9268227,217.356676,190.3339542,153.9120247,77.5434628,213.8319732,9199.474451,445.2874607,0.048403576
MW20605,51,Lilongwe,STA Chitekwele,2009.628191,8054.111431,9927.25129,9026.428304,6825.71645,5570.023802,3942.562939,3534.397834,2801.260512,2511.385294,2016.127635,1532.568976,1340.185424,919.0214302,1082.807428,709.7393223,1376.582312,63179.79858,3169.129062,0.050160481
MW30209,52,Machinga,TA Chiwalo,1193.731415,4824.406754,6223.484712,5364.987716,4058.68681,2853.822149,2159.849793,2016.354618,1794.926718,1248.160619,992.095953,627.172878,550.4771809,421.8263341,551.7142083,289.4644052,625.9358506,35797.09811,1467.114464,0.040984173
MW30106,53,Mangochi,TA Chowe,5883.70758,22263.85172,25757.685,21641.94125,17055.01205,11843.45662,9623.317706,7742.649578,7234.80129,4998.367783,4414.478039,2953.395797,2590.841002,1852.152582,2278.527884,1376.893489,2782.302523,152293.3819,6437.723896,0.042271856
MW20706,54,Mchinji,TA Dambe,2613.027182,10834.26548,13994.96953,13584.82041,10383.95339,8273.571861,5908.824858,5358.713873,4360.724916,3516.085482,2746.90375,1992.326734,1400.835718,1086.834315,982.1671804,576.8862992,1077.097837,88692.0088,2636.151317,0.029722535
MW10307,55,Nkhata Bay,TA Fukamalaza,354.2665006,1372.572816,1766.295538,1988.761469,1646.247885,1082.107865,669.0767795,599.3987711,518.8073397,414.7100741,379.4513229,290.4649507,229.1818831,223.3054245,188.0466733,139.3560168,285.4279862,12147.4793,612.8306763,0.050449205
MW20908,56,Ntcheu,TA Goodson Ganya,4567.559739,18900.28565,24514.94954,23838.06752,18621.50393,14271.39393,10204.52617,9398.289425,8373.487813,6285.970276,4695.799332,3657.616198,3142.427575,2504.574994,2814.580269,1502.07592,2767.74494,160060.8532,7084.401129,0.044260673
MW10504,57,Mzimba,TA Jaravikuba Munthali,610.0304169,2555.496986,3357.819599,3514.305663,2808.792224,2156.324908,1426.940714,1357.980754,1303.608478,1107.337822,751.9287965,600.7473453,442.9351288,404.4766895,328.8859639,262.5783099,481.3935681,23471.58337,1072.857842,0.045708797
MW30806,58,Mulanje,TA Juma,3291.509817,11899.73676,16707.96027,17053.16606,13296.45034,9427.953706,6917.266511,6649.869009,6397.813987,4722.196038,3318.359156,2454.248788,2031.234708,1641.645316,1974.248355,1137.535272,2042.741568,110963.9357,5154.525195,0.046452256
MW10405,59,Rumphi,STA Kachulu,476.7686958,1668.20094,2010.847846,1905.116801,1399.957361,1120.94488,863.4702046,712.7055657,566.8358826,452.2939167,405.3023409,318.1721276,237.8948523,201.6721793,172.3024445,118.4579306,214.3990644,12845.34303,505.1594395,0.039326271
MW20202,60,Nkhotakota,TA Kafuzila,860.0970177,3672.633947,4632.452358,4291.300223,3404.304672,2639.992677,1822.539676,1619.81658,1304.250855,1078.565597,816.796939,645.5648096,511.7282027,404.7901296,341.808197,226.9973822,415.9431802,28689.58244,984.7487594,0.034324263
MW20506,61,Salima,TA Kambalame,824.1386179,3426.312467,4271.492922,4243.437139,3097.82601,1993.129565,1531.378141,1276.538115,1198.215721,970.2624863,842.842473,541.2428086,471.1033518,326.1484743,416.1607773,202.2354339,499.1591345,26131.62364,1117.555346,0.042766395
MW20504,62,Salima,TA Kambwiri,1645.124137,6413.663947,7600.274641,6661.150721,5038.123617,3871.400253,2967.631587,2566.57043,2153.355906,1807.537333,1291.571603,897.1395564,797.702906,593.305347,622.0314904,408.7951181,738.0409158,46073.41951,1768.867524,0.038392365
MW20808,63,Dedza,TA Kamenya Gwaza,1139.3972,4554.002032,6163.266074,6138.158685,5137.449916,4476.288687,3455.254889,2851.481976,2344.551847,1994.243998,1389.275495,1073.639754,814.1967403,615.7288124,676.7038987,497.3654096,723.3319058,44044.33732,1897.401214,0.043079345
MW10503,64,Mzimba,TA Kampingo Sibande,2613.479209,10887.61312,15182.19517,15083.30677,11483.76891,8775.639377,5679.019687,5180.3396,4346.851636,3841.108092,3066.953169,2771.700653,2032.863017,1802.594309,1440.945294,1049.629758,1840.736978,97078.74475,4331.31203,0.044616482
MW20403,65,Dowa,TA Kayembe,3526.282081,14710.31,19717.4277,20164.8339,15069.81272,11647.21167,8524.38404,7625.063777,6529.651127,5531.157703,4181.050342,2940.258852,2465.805431,1888.797944,1803.148395,1140.49136,2150.254462,129615.9415,5093.894217,0.039299905
MW10508,66,Mzimba,TA Khosolo Gwaza Jere,1931.061453,7299.03894,9569.228801,8711.555427,6780.493974,5474.79775,3923.311212,3409.951696,2806.365355,2353.157055,1661.418071,1487.186962,1087.907338,791.299618,681.3680852,425.206872,692.7760744,59086.12468,1799.351032,0.030453022
MW30706,67,Thyolo,TA Kwethemule,1730.330958,6930.734196,10197.30732,10042.03629,7961.169219,5749.733325,4227.606704,4260.542984,3944.119443,3092.481365,2362.001742,1853.842005,1453.901471,1133.949044,1316.274875,738.7136924,1509.187368,68503.93201,3564.175935,0.052028779
MW30802,68,Mulanje,TA Laston Njema,2947.976883,10927.66625,14762.73695,14161.29981,11206.05166,8720.319216,6713.451232,6325.996906,5283.090356,3793.520641,2646.738935,1848.977749,1429.322125,1078.224103,1209.106798,784.2574161,1458.407169,95297.1442,3451.771383,0.036221142
MW20106,69,Kasungu,TA Lukwa,1104.794632,4607.14706,6218.305898,5704.269507,4379.538906,3667.304404,2721.068261,2412.902165,2218.540147,1669.978923,1214.762616,886.1373612,690.4966451,516.5937863,450.1015168,287.7069355,420.6914745,39170.34024,1158.499927,0.029575948
MW20103,70,Kasungu,STA M'nyanja,1500.355128,6339.073819,9163.617132,8764.305396,6760.406423,5042.778733,3499.849927,3279.641249,2704.162569,2278.425791,1739.648558,1512.099591,1259.59364,946.8973166,698.7955391,490.3313236,872.026366,56852.0085,2061.153229,0.036254713
MW31109,71,Nsanje,TA Makoko,399.2131322,1731.080712,2065.494032,1670.909458,1363.110347,929.1830294,734.7835911,623.6981978,541.5412923,398.0559927,351.7704121,273.0849252,200.1851358,159.6852529,140.0138811,108.7711143,268.4563671,11959.03687,517.2413625,0.043251089
MW20904,72,Ntcheu,TA Makwangwala,3359.581528,13230.51694,17957.15681,17081.09856,13506.57716,10915.07461,7538.175654,7023.746099,6369.758427,4966.02788,3499.139645,2755.508803,2457.037794,1982.336462,2336.834453,1272.32181,2501.859379,118752.752,6111.015642,0.051459992
MW10304,73,Nkhata Bay,TA Malanda,612.5378371,2575.955862,3191.964168,3595.406228,3187.626082,2333.890626,1519.19795,1323.98405,1152.195818,963.0552397,709.7109784,661.9920251,509.2913745,428.6029625,318.4155612,241.1976186,397.3687385,23722.39312,956.9819183,0.040340868
MW20702,74,Mchinji,TA Mavwere,3665.538391,15279.57581,20602.40549,19292.17049,15239.28088,11855.80697,9136.549414,8565.921275,7082.808047,5424.216917,4489.634611,3035.117781,2573.675891,1840.568213,1683.28802,1136.056934,2187.624508,133090.2397,5006.969462,0.037620861
MW30703,75,Thyolo,STA Mbawela,1557.13929,6274.759367,9209.223947,10303.09245,7979.24624,5095.978702,3395.237954,3249.139079,3123.019538,2415.001914,1803.134831,1454.745207,1186.272915,962.7541238,1022.692124,755.4685407,1427.273623,61214.17984,3205.434288,0.052364245
MW31106,76,Nsanje,TA Mbenje,2138.620442,8036.476816,10427.93301,9523.891034,7826.808146,5797.95542,4442.50913,3723.468924,3454.599687,2541.924297,2047.352903,1277.745547,1021.209761,917.6087709,984.2094075,590.7723135,1303.645794,66056.7314,2878.627515,0.04357811
MW30305,77,Zomba,TA Mbiza,5456.718143,21074.45005,30889.04055,29399.64114,21376.74297,15368.39542,11370.18544,10875.92549,9962.427179,7643.377131,5564.837507,4172.524872,3592.21073,2864.059907,3552.493413,1815.964024,3261.233083,188240.227,8629.69052,0.04584403
MW30105,78,Mangochi,TA Mbwana Nyambi,4494.962021,17266.84731,19889.07285,16851.66981,13014.48306,8862.708135,6777.945145,6025.497575,5504.799912,3744.486791,3310.572072,2212.965067,2028.551311,1452.628139,1597.595102,1018.71342,2226.771444,116280.2692,4843.079966,0.041650058
MW20704,79,Mchinji,TA Mduwa,3360.084761,14048.32358,18492.86303,17960.33757,13457.58683,10592.298,7698.981509,7223.589343,5809.270702,4545.870208,3447.401689,2567.764485,2119.321989,1573.860684,1415.396629,888.2610982,1512.415438,116713.6275,3816.073165,0.032696038
MW10311,80,Nkhata Bay,STA Kondowe,58.58990523,238.1958974,307.4998134,326.1956751,267.4163733,201.4995737,130.5891358,114.6657049,98.74006517,81.35432263,62.38107724,53.03478664,39.79610596,35.0786849,28.39224068,21.08359249,37.84977961,2102.362734,87.32561278,0.041536892
MW20405,81,Dowa,TA Mkukula,3491.759802,13096.5147,17296.48145,16672.33181,13536.12474,11660.77727,8923.600867,7962.255819,6341.012613,5000.926601,3789.341988,2685.969079,2230.900217,1528.490317,1532.355021,971.9729831,1736.218142,118457.0334,4240.546146,0.03579818
MW10308,82,Nkhata Bay,TA Mkumbira,461.6346598,1876.764975,2422.816204,2570.122428,2106.995498,1587.631637,1028.922491,903.4604759,777.9810569,640.9973681,491.5056144,417.8654257,313.5567768,276.3878301,223.7047887,166.1193513,298.2215121,16564.68809,688.0456521,0.041536892
MW30206,83,Machinga,TA Mlomba,2395.711322,9091.163488,12365.74228,10543.10974,7545.720693,5307.303548,4176.545404,3769.560469,3294.378058,2423.210304,1910.629277,1242.953992,1074.660221,819.4696671,975.6638855,486.1820038,1064.760588,68486.76494,2526.606477,0.036891894
MW20204,84,Nkhotakota,TA Mphonde,1157.270735,4644.15761,5793.311215,5679.671404,4507.326,3184.233907,2170.752321,1904.04664,1698.799226,1281.346856,1040.152154,753.7334448,614.582655,474.2722752,481.2298147,327.004356,531.0921811,36242.98279,1339.326352,0.036954087
MW30705,85,Thyolo,TA Mphuka,2344.173436,8672.4079,12529.8267,12497.52001,9556.318943,7334.910929,5338.357478,4932.58545,4367.864507,3461.984915,2884.341295,2063.751366,1608.873169,1138.48776,1368.511394,770.1914929,1539.090718,82409.19747,3677.793605,0.044628436
MW20407,86,Dowa,TA Mponela,2087.129436,8139.28171,10808.08732,11316.53088,9156.168834,8095.342143,6189.201876,5608.571883,4442.080995,3480.64142,2448.061594,1763.859764,1339.110616,1014.794763,966.6704756,603.6459572,1102.673897,78561.85357,2672.99033,0.034024023
MW30205,87,Machinga,TA Mposa,989.0198724,3582.059284,5064.752358,4589.48731,3520.14095,2510.202722,1983.896884,1731.203144,1619.91749,1115.366743,847.6117857,548.0609276,415.8569176,386.5712191,498.6936074,220.8978395,498.6936074,30122.43266,1218.285054,0.040444444
MW20510,88,Salima,TA Msosa,242.3521602,959.3004843,1165.672507,1077.271226,841.2991286,655.4937953,495.9834771,445.0572394,378.3460597,284.3021385,221.7646298,145.4993847,119.1645947,88.9272683,97.65551451,58.04690587,117.009728,7393.146243,272.7121484,0.036887157
MW20609,89,Lilongwe,TA Mtema,2369.719132,8792.344512,11693.53412,11795.33024,8966.344868,7096.136961,4986.826525,4804.540438,4078.947117,3342.700714,2457.311148,1716.330041,1381.349764,1009.675534,1141.063558,679.4299609,1281.920989,77593.50562,3102.414508,0.039982915
MW10403,90,Rumphi,TA Mwahenga,446.5529494,1928.076994,2403.647825,2411.708347,1914.374106,1474.269575,1070.437395,926.9600934,930.9903547,644.0357519,481.2131963,382.0687689,310.3301182,261.9669829,199.094907,149.9257195,239.3975198,16175.0506,588.4181463,0.036378133
MW10202,91,Karonga,TA Mwakaboko,739.7970745,2830.314074,3654.715601,3812.119234,3007.393161,2307.930767,1607.484601,1496.318285,1232.6672,960.1621606,686.6733485,495.8214436,472.2108986,314.8072658,303.0019933,239.0567674,324.6449928,24485.11887,866.7037535,0.035397163
MW10404,92,Rumphi,TA Mwalweni,654.9680701,2375.968858,3054.491464,3262.683171,2599.357039,2049.244646,1407.19358,1219.517114,1073.630955,900.3911405,655.7278939,537.1953893,399.6672911,303.1696752,246.1828941,193.7550556,323.6849163,21256.82915,763.622866,0.035923649
MW10407,93,Rumphi,TA Mwankhunikira,864.0489985,3453.802507,4550.019796,4469.837963,3550.738752,2899.710143,2137.384365,1905.216074,1590.472464,1221.875384,992.1005814,737.1941594,578.0272386,459.5496059,393.7286988,281.2347848,391.3352112,30476.27673,1066.298695,0.034987827
MW20206,94,Nkhotakota,TA Mwansambo,1287.631747,4675.300471,5510.917278,5083.335578,3965.514849,3336.35892,2373.689264,2183.109992,1781.183195,1356.044819,1010.314473,700.0123255,601.0577036,469.1182076,548.5262376,278.5389358,559.5211956,35720.17519,1386.586369,0.038818017
MW20508,95,Salima,TA Mwanza,1222.465328,4976.958078,6008.12158,5613.075532,4283.294546,3952.015774,3034.389128,2588.018201,2034.331614,1578.62889,1242.68422,734.1013165,735.6566159,507.0276042,622.1197597,356.1635624,679.6658375,40168.71759,1657.94916,0.041274635
MW10205,96,Karonga,TA Mwirang'ombe,1164.498401,4941.52365,6481.811874,6854.226338,5078.788196,3855.783595,2678.908882,2516.891713,2130.975818,1759.686473,1162.248163,938.3494363,666.0705831,561.4344949,473.6751951,318.4087416,546.8079449,42130.0895,1338.891882,0.031779944
MW30109,97,Mangochi,TA Namabvi,1431.746669,5445.869059,6581.849303,5670.484127,4179.793442,2930.808102,2281.377579,1948.291569,1784.713205,1287.002487,1069.014261,712.2111323,588.3938198,463.1813828,615.2499693,314.6006079,667.9159247,37972.50264,1597.766502,0.042076934
