"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"134",134,10698.7056610094,6.53750801769903,9.69802935382155,5.61207130037085,15.3391586822727,33207.5206583771,100.92423325929,33344.6316589906,1021.37454471398,186.383709802762,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"135",135,10697.1133606286,5.76671011671789,8.55542916135333,5.05349221037579,14.528207981595,33211.8452800837,101.474839817567,33346.2239593714,1021.4819763389,186.505917061903,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"136",136,10695.7088757468,5.08672701834394,7.54727072473807,4.54866403985088,13.7545839474583,33215.6949666646,101.996231858149,33347.6284442532,1021.5767494301,186.615938755447,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"137",137,10694.470058817,4.48687727296636,6.65776891170428,4.09266952510507,13.0171641520412,33219.1230159755,102.489765345668,33348.8672611831,1021.66035376057,186.714950519721,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"138",138,10693.3773749967,3.95772601770834,5.87299292509603,3.68100477335055,12.3147895477727,33222.1766775994,102.956754139999,33349.9599450033,1021.73410401002,186.804020012921,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"139",139,10692.4135907654,3.49094885683272,5.18063752492431,3.3095501979842,11.646275538493,33224.897848262,103.398468854356,33350.9237292346,1021.79916048942,186.884116051007,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"140",140,10691.5635030003,3.07920204364771,4.56983442168719,2.97454232835779,11.0104217500673,33227.3236803582,103.816136097682,33351.7738169997,1021.85654720151,186.956117094323,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"141",141,10690.813702804,2.71600036538225,4.03099607881404,2.6725467140558,10.4060206083531,33229.4871153756,104.21093805385,33352.5236171961,1021.90716760711,187.020819112408,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"142",142,10690.152360267,2.39562620114705,3.55565221318075,2.40043284048774,9.83186479326359,33231.4173713273,104.584012357605,33353.184959733,1021.95181901836,187.078942827812,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"143",143,10689.5690414078,2.11303212514298,3.13633043380723,2.15534987362436,9.28675371520478,33233.1403602185,104.936452225798,33353.7682785922,1021.99120485111,187.131140414928,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"144",144,10689.0545428915,1.86376430724779,2.76643667943944,1.9347042085088,8.76949906769257,33234.6790660345,105.269306811084,33354.2827771085,1022.02594570128,187.178001652076,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"145",145,10688.6007455829,1.64389612266976,2.44014749334617,1.73613848513176,8.27892956113297,33236.0538810105,105.583581744283,33354.7365744171,1022.05658916843,187.220059574444,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"146",146,10688.2004891685,1.44996022156102,2.15232870562037,1.5575116907554,7.81389492640436,33237.2828954495,105.880239837543,33355.1368308315,1022.08361827168,187.257795669393,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"147",147,10687.8474570875,1.27889961433825,1.89844713314678,1.39688102908392,7.37326923860495,33238.3821639741,106.160201923217,33355.4898629125,1022.10745918087,187.291644621909,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"148",148,10687.5360778728,1.12801736730897,1.67450312812046,1.25248484488819,6.95595365728973,33239.3659353258,106.424347803757,33355.8012421272,1022.12848784859,187.321998664709,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
"149",149,10687.2614378091,0.994932963064786,1.47696985574588,1.12272684357364,6.56087863581067,33240.2468566,106.673517292674,33356.0758821909,1022.14703588488,187.349211551776,"Malawi","Dedza","TA Kamenya Gwaza","63",44044.33732,62
