time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,Elderly_Population,Adults_Population,Pediatrics_Population,new_E_e,new_I_e,new_H_e,new_C_e,new_D_e,new_E_a,new_I_a,new_H_a,new_C_a,new_D_a,new_E_p,new_I_p,new_H_p,new_C_p,new_D_p,S_all,E_all,I_all,H_all,C_all,R_all,D_all,new_E_all,new_I_all,new_H_all,new_C_all,new_D_all,UID,Lvl1,Lvl2,Lvl3,Lvl4,TA_Code,TA_Code2,Adults_Crit_of_Hosp,Adults_Critical_Care,Adults_FR_of_Crit,Adults_FR_of_Hosp,Adults_Hospitalization,Adults_IFR,Elderly_Crit_of_Hosp,Elderly_Critical_Care,Elderly_FR_of_Crit,Elderly_FR_of_Hosp,Elderly_Hospitalization,Elderly_IFR,Pediatrics_Crit_of_Hosp,Pediatrics_Critical_Care,Pediatrics_FR_of_Crit,Pediatrics_FR_of_Hosp,Pediatrics_Hospitalization,Pediatrics_IFR,start_day,start_date
314,1926.491031996552,0.18222841150460142,0.18411648593001964,0.01192654277317255,0.007213810865760632,16.558795284819777,0.1586874675579776,7525.673019056719,0.8236641002262276,0.8322158141286069,0.011636450547260015,0.003418124558624542,76.63389464256116,0.0261518112495789,11600.58570626499,0.6334369148113707,0.6399766803144334,6.999103346594056e-5,7.162622507871673e-6,57.96077664129651,2.6344931822037927e-5,1943.594,7603.004,11659.82,0.0516044458477154,0.0521420451286706,0.002951265217729843,8.82345296010043e-4,5.380692676276444e-4,0.23324551580208208,0.23568036609117815,0.002879418620244641,4.180621840848449e-4,8.744910137028356e-5,0.17938571380727808,0.18124795925091253,1.7320169600617015e-5,8.761561533573661e-7,8.966057099178842e-8,21052.749757318263,1.6393294265421996,1.65630898037306,0.023632984353898507,0.010639098046893045,151.15346656867746,0.18486562373937854,0.46423567545707556,0.4690703704707613,0.0058480040075751015,0.0013012836362482451,6.256080295689197e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
315,1926.4395804151047,0.18169145582791177,0.1835773473815064,0.01189187251495408,0.007193158167732794,16.610841753191046,0.15922399781562474,7525.440465839035,0.8212322022583812,0.8297738962399529,0.01160255307068587,0.003408317480871425,76.87127818222329,0.0262390096820193,11600.406850130028,0.6315768497114466,0.6381092291052165,6.978829642242022e-5,7.142192366897021e-6,58.14336042632924,2.6434336894630145e-5,1943.594,7603.004,11659.82,0.05145158144728157,0.051988537123971224,0.0029426308572244693,8.797826545197075e-4,5.365302576471331e-4,0.23255321768374415,0.23498511565159053,0.0028709771866499783,4.168454473481331e-4,8.71984324403996e-5,0.17885613496218866,0.18071620006211275,1.726967465549872e-5,8.736205849509531e-7,8.940507259221761e-8,21052.28689638417,1.6345005077977395,1.6514604727266757,0.02356421388206237,0.010608617840971115,151.62548036174357,0.18548944183453867,0.4628609340932144,0.4676898528376745,0.005830877718529946,0.0012975017224527916,6.23818095160125e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
316,1926.3882815068423,0.1811551501664728,0.18303883580703814,0.011857240652805462,0.007172525958131226,16.662735749997744,0.1597589905790285,7525.208604043049,0.8188032853938952,0.827334855988357,0.011568693669664936,0.0033985202926917818,77.1079646439,0.026325957696519735,11600.228522925192,0.6297189874960698,0.63624389979839,6.958577840027161e-5,7.1217819187625965e-6,58.32541095646812,2.6523486713252993e-5,1943.594,7603.004,11659.82,0.05129890826242445,0.05183521392386342,0.0029340064791773305,8.772228333552916e-4,5.349927634037688e-4,0.23186179598633316,0.23429071285081915,0.002862545643704527,4.1563006895104106e-4,8.694801450043546e-5,0.17832720483602316,0.18018506705139992,1.7219236739542845e-5,8.710877380845727e-7,8.914981862284853e-8,21051.825408475084,1.629677423056438,1.646617591593785,0.02349552010087067,0.01057816803274177,152.09611135036587,0.1861114717622615,0.46148790908478077,0.4663109938260825,0.0058137713596214,0.0012937239900444172,6.220299277228271e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
317,1926.3371350787834,0.18061950087425122,0.18250095776115532,0.011822647621134724,0.0071519145112809036,16.714477453067975,0.16029244738443826,7524.977432784412,0.8163773781568014,0.8248987228058667,0.011534872765362567,0.0033887331233138007,77.34395485317904,0.02641265554738456,11600.05072399554,0.6278633505083607,0.634380715432361,6.938348197624977e-5,7.101391438542919e-6,58.50692884126356,2.6612381525788327e-5,1943.594,7603.004,11659.82,0.051146428058927995,0.051682077351149575,0.002925392188915885,8.746658647321192e-4,5.334568054097544e-4,0.23117125863700494,0.23359716587409873,0.002854124093524236,4.1441606406512096e-4,8.669785086482668e-5,0.1777989296515443,0.1796545666392534,1.716885647883464e-5,8.685576451428241e-7,8.889481253533365e-8,21051.365291858736,1.6248602295394134,1.641780395999383,0.02342690386847354,0.010547749026033247,152.56536114751057,0.18673171531334862,0.46011661634747725,0.4649338098645017,0.0057966851389189555,0.001289950486442383,6.202435510871164e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
318,1926.2861409361958,0.1800845142483018,0.1819637197411407,0.011788093850661836,0.00713132409930885,16.766067042079932,0.1608243697884537,7524.7469511709205,0.8139545088135488,0.822465525865327,0.011501090775339442,0.0033789561009218783,77.5792496440216,0.02649910349220621,11599.873452679989,0.626009960894071,0.632519698847043,6.91814097055325e-5,7.081021199138631e-6,58.687914696820016,2.6701021583542856e-5,1943.594,7603.004,11659.82,0.05099414258756951,0.05152912921351893,0.002916788090915545,8.721117806121394e-4,5.319224040154502e-4,0.23048161349106522,0.23290448283431786,0.0028457126373447697,4.132034477348145e-4,8.644794482164792e-5,0.17727131555147935,0.17912470516576906,1.7118534491826572e-5,8.660303381271926e-7,8.864005775452872e-8,21050.906544787103,1.6200489839559216,1.6369489444535106,0.02335836603570681,0.010517361221429867,153.03323138292154,0.18735017430224346,0.4587470716301141,0.46355831721360585,0.005779619262752141,0.0012861812586850811,6.184589888948526e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
319,1926.2352988826133,0.17955019652887685,0.18142712818711917,0.011753579768424331,0.00711075499214648,16.817504698545783,0.1613547593678623,7524.5171583025885,0.8115347053735144,0.8200352940808466,0.011467348113557298,0.0033691893526578026,77.81384985868883,0.026585301791838708,11599.696708311334,0.6241588406019443,0.630660872684181,6.89795641217509e-5,7.060671471278569e-6,58.86836914573965,2.678940714122111e-5,1943.594,7603.004,11659.82,0.050842053582528024,0.05137637130195297,0.0029081942887101476,8.695606126774071e-4,5.303895794085967e-4,0.22979286833196966,0.2322126717720041,0.002837311375521152,4.1199223487737083e-4,8.61982996324985e-5,0.1767443686549086,0.17859548894703536,1.7068271394669636e-5,8.635058489225614e-7,8.838555767825559e-8,21050.449165496535,1.6152437425043356,1.632123294952147,0.02328990744610338,0.010487005016275561,153.49972370297425,0.18796685056684223,0.4573792905694063,0.4621845320209924,0.005762573935625969,0.0012824163534037004,6.166762645987734e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
320,1926.1846087198512,0.17901655389953766,0.18089118948215943,0.011719105797783083,0.007090207457532045,16.868790605795713,0.16188361771947762,7524.288053271717,0.8091179955895234,0.8176080561082751,0.011433645190384778,0.003359433004621984,78.0477563476688,0.026671250710371353,11599.520490216333,0.6223100113840824,0.6288042593876841,6.877794773702091e-5,7.040342523521942e-6,59.04829281706642,2.6877538456898647e-5,1943.594,7603.004,11659.82,0.05069016276206639,0.051223805391405586,0.0028996108849299617,8.670123923412691e-4,5.288583516153134e-4,0.22910503087132383,0.23152174065531483,0.002828920407527547,4.1078244028279655e-4,8.594891853264466e-5,0.17621809500087693,0.17806692421873882,1.701806779587857e-5,8.609842090304282e-7,8.813131567753598e-8,21049.993152207902,1.6104445608731435,1.6273035049781188,0.023221528935904883,0.01045668080467755,153.96483977053092,0.18858174596830587,0.45601328863426716,0.46081247026545924,0.005745549360253387,0.001278655816833096,6.148954014636355e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
321,1926.1340702480213,0.1784835924872621,0.18035590995237227,0.011684672358427904,0.007069681761013046,16.919924948962894,0.16241094645998758,7524.059635162968,0.8067044069583492,0.8151838403456612,0.011399982412603116,0.003349687181874659,78.28096996960792,0.026756950515104,11599.344797715754,0.6204634947963005,0.6269498812039471,6.857656304197391e-5,7.02003462226049e-6,59.227686346233554,2.6965415791996814e-5,1943.594,7603.004,11659.82,0.05053847182989557,0.051071433242171144,0.002891037981378512,8.644671507711173e-4,5.273287405099525e-4,0.22841810874888324,0.23083169738005738,0.002820539831957708,4.09574078613946e-4,8.569980473264668e-5,0.1756925005793164,0.1775390171670983,1.696792429925876e-5,8.584654497152878e-7,8.787733509816697e-8,21049.538503126743,1.6056514942419118,1.6224896315019806,0.023153231334072995,0.010426388977509965,154.42858126480436,0.18919486239088357,0.4546490811580952,0.4594421477893268,0.0057285457376354786,0.0012748996948347786,6.131164225776974e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
322,1926.0836832655514,0.17795131836258377,0.17982129586703818,0.011650279866384828,0.007049178165949406,16.970907914964407,0.16293674722576099,7523.831903053443,0.8042939667213622,0.8127626749338493,0.01136636018341352,0.0033399520084374783,78.51349159122385,0.02684240147651554,11599.169630124423,0.6186193121985855,0.6250977601822688,6.83754125057967e-5,6.999748031721336e-6,59.40655037499666,2.7053039411250654e-5,1943.594,7603.004,11659.82,0.050386982469944996,0.05091925659462332,0.0028824756787362085,8.619249188003149e-4,5.258007657734098e-4,0.22773210952527734,0.23014254976226434,0.002812169746433536,4.0836716439315363e-4,8.545096141154146e-5,0.17516759133104642,0.17701177392876144,1.6917841503887345e-5,8.559496020032279e-7,8.762361925383972e-8,21049.085216443418,1.6008645972825315,1.6176817309831564,0.023085015462304143,0.010396129922418606,154.89094988118492,0.18980620174168777,0.45328668332626876,0.4580735802856491,0.005711563266673631,0.0012711480327954718,6.113393508042052e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
323,1926.0334475691998,0.17741973753971532,0.17928735343872143,0.011615928734022675,0.007028696933516375,17.02173969248482,0.16346102167268126,7523.60485601276,0.8018867018651015,0.810344587757011,0.011332778902443798,0.0033302276072949572,78.74532208723025,0.026927603868236845,11598.994986751302,0.616777484755504,0.6232479181752271,6.81744985762676e-5,6.97948301396962e-6,59.584885551376246,2.714040958268127e-5,1943.594,7603.004,11659.82,0.050235696351592196,0.05076727717446064,0.002873924076854959,8.593857270154661e-4,5.242744469202698e-4,0.22704704068291903,0.22945430553917978,0.0028038102476178,4.0716171200416923e-4,8.52023917213042e-5,0.17464337312048883,0.1764852005635703,1.6867820001541342e-5,8.534366965535225e-7,8.737017143061514e-8,21048.633290333262,1.5960839241603209,1.6128798593709595,0.02301688213504274,0.010365904023825302,155.3519473310913,0.19041576595050078,0.45192611015500006,0.4567067832772107,0.005694602144474301,0.001267400875716189,6.095642088130046e-4,272,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,30507,MW30507,0.1434986,0.003470380,0.2043781,0.02932797,0.01209204,0.000709270,0.2954967,0.03310780,0.5958565,0.1760736,0.05602058,0.01972749,0.05,9.46e-06,0.1,0.2195800,9.45850e-05,4.15e-05,36,2020-04-08
