"","time","S","E","I","H","C","R","D","inci","hosp","crits","lvl2","lvl3","lvl4","ID","POP","start"
"26",26,92011.9219278675,0.838249120857492,0.799272213882941,0.0695377175854888,0.0168840336975077,6.28510242359018,0.00712662290796539,7.01617213252158,0.211990759646794,0.028944059664988,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"27",27,92011.5806135308,0.854117796777439,0.814404506065928,0.0710632702932948,0.0175921041795538,6.59254549697693,0.00776329493367596,7.35748646922683,0.222303844470538,0.0307295382352683,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"28",28,92011.232838661,0.870286206503217,0.829822679070246,0.0725931408798153,0.0182948820514432,6.90583841144825,0.00842601908441078,7.70526133903739,0.232812178802451,0.032553810897938,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"29",29,92010.8784812579,0.88675998944492,0.845532106886762,0.0741302900169675,0.0189928317301241,7.22508891582018,0.00911460832073028,8.05961874221969,0.243519451226633,0.0344170255524968,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"30",30,92010.5174171301,0.90354487463963,0.861538269998395,0.0756774050407989,0.0196864576444662,7.55040696987567,0.00982889273743083,8.4206828699364,0.254429416622451,0.0363193991057726,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"31",31,92010.1495193616,0.920646725191788,0.877846758687549,0.0772368872623715,0.020376300960568,7.88190524139474,0.0105687249633705,8.7885806384604,0.265545912331952,0.0382612233350836,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"32",32,92009.7746591657,0.938071491598042,0.894463243152826,0.0788109722123125,0.0210629208362475,8.21969823288256,0.0113339736959056,9.1634408343779,0.276872832295566,0.040242835201379,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"33",33,92009.3927050506,0.955825241846304,0.911393518035222,0.0804016750954707,0.0217468980730601,8.56390308526423,0.0121245311254658,9.54539494943976,0.288414152317778,0.0422646330654938,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"34",34,92009.0035231539,0.973914151565357,0.928643482272128,0.0820108526714752,0.0224288249872572,8.91463922439534,0.0129403102766448,9.93457684616821,0.300173919950668,0.0443270620595683,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
"35",35,92008.6069770638,0.992344518282241,0.946219140730776,0.0836402117728476,0.0231093023031319,9.27202851674938,0.0137812464699445,10.3311229363083,0.312156259896529,0.0464306134540297,"Malawi","Mulanje","TA Chikumbu","118",92019.9381,145
