region,calculated_score,CI_region,CI_count,final_score
MW20704,0,MW207,0,0
MW10311,0,MW103,0,0
MW20405,13.8,MW204,0,13.8
MW10308,0,MW103,0,0
MW30303,0.2,MW303,0,0.2
MW30206,0,MW302,0,0
MW20204,2.6,MW202,1,1
MW30705,4,MW307,0,4
MW20407,4.6,MW204,0,4.6
MW30205,0.2,MW302,0,0.2
MW20510,1,MW205,0,1
MW20609,13.8,MW206,0,13.8
MW10403,0,MW104,0,0
MW10202,0,MW102,0,0
MW10404,0,MW104,0,0
MW10407,0.2,MW104,0,0.2
MW20206,1.8,MW202,1,1
MW20508,0.2,MW205,0,0.2
MW10205,0,MW102,0,0
MW30109,0,MW301,0,0
MW30208,0,MW302,0,0
MW20613,13.8,MW206,0,13.8
MW20108,0,MW201,0,0
MW20303,1.8,MW203,0,1.8
MW10310,0.6,MW103,0,0.6
MW20102,0.4,MW201,0,0.4
MW30202,0.2,MW302,0,0.2
MW30702,0.4,MW307,0,0.4
MW20611,13.8,MW206,0,13.8
MW10305,1,MW103,0,1
MW10313,0,MW103,0,0
MW30710,6,MW307,0,6
MW20601,4.6,MW206,0,4.6
MW20907,0,MW209,0,0
MW30704,1.2,MW307,0,1.2
MW31003,3.4,MW310,1,1
MW30503,2.2,MW305,0,2.2
MW20302,1.4,MW203,0,1.4
MW30304,0.6,MW303,0,0.6
MW10401,0.2,MW104,0,0.2
MW30803,0,MW308,0,0
MW30709,1.8,MW307,0,1.8
MW31102,0,MW311,0,0
MW20607,13.8,MW206,0,13.8
MW30102,0,MW301,0,0
MW10505,0.2,MW105,0,0.2
MW20603,4.6,MW206,0,4.6
MW30405,2,MW304,0,2
MW20608,13.8,MW206,0,13.8
MW30903,0,MW309,0,0
MW20404,4.8,MW204,0,4.8
MW20110,0,MW201,0,0
MW31301,0.2,MW313,0,0.2
MW20401,4.6,MW204,0,4.6
MW10302,0.4,MW103,0,0.4
MW30104,0,MW301,0,0
MW20615,4.6,MW206,0,4.6
MW10301,0.8,MW103,0,0.8
MW20807,0,MW208,0,0
MW30403,1.8,MW304,0,1.8
MW31204,0,MW312,0,0
MW20602,4.6,MW206,0,4.6
MW20101,0,MW201,0,0
MW20612,13.8,MW206,0,13.8
MW20610,0,MW206,0,0
MW20304,0.6,MW203,0,0.6
MW10105,0,MW101,0,0
MW30601,1.4,MW306,0,1.4
MW20201,1.8,MW202,1,1
MW20105,0,MW201,0,0
MW20113,1.4,MW201,0,1.4
MW30501,5.8,MW305,0,5.8
MW20803,0,MW208,0,0
MW30707,0.2,MW307,0,0.2
MW20502,0.2,MW205,0,0.2
MW20301,1,MW203,0,1
MW31006,4.4,MW310,1,1
MW20806,0,MW208,0,0
MW30107,0,MW301,0,0
MW10408,0,MW104,0,0
MW31005,3.2,MW310,1,1
MW30203,0,MW302,0,0
MW20507,1,MW205,0,1
MW20606,0,MW206,0,0
MW10201,0,MW102,0,0
MW20509,0.2,MW205,0,0.2
MW30506,6.6,MW305,0,6.6
MW30504,3,MW305,0,3
MW30301,0.6,MW303,0,0.6
MW20903,0,MW209,0,0
MW10203,0,MW102,0,0
MW30402,5.4,MW304,0,5.4
MW30201,0,MW302,0,0
MW30502,2,MW305,0,2
MW31002,3.6,MW310,1,1
MW10501,0.4,MW105,0,0.4
MW30801,0,MW308,0,0
MW10507,0.4,MW105,0,0.4
MW30507,5.4,MW305,0,5.4
MW20501,0,MW205,0,0
MW30108,0,MW301,0,0
MW30505,2,MW305,0,2
MW31007,2.8,MW310,1,1
MW30307,0.6,MW303,0,0.6
MW31107,0,MW311,0,0
MW20203,2.8,MW202,1,1
MW10303,0,MW103,0,0
MW20614,13.8,MW206,0,13.8
MW10306,0,MW103,0,0
MW20909,0,MW209,0,0
MW31004,5.6,MW310,1,1
MW20604,4.6,MW206,0,4.6
MW20705,0,MW207,0,0
MW30901,0.2,MW309,0,0.2
MW10601,0,MW106,0,0
MW31302,0.4,MW313,0,0.4
MW31104,1.8,MW311,0,1.8
MW20701,0,MW207,0,0
MW30306,2.4,MW303,0,2.4
MW30401,5.6,MW304,0,5.6
MW20902,0,MW209,0,0
MW10509,0.2,MW105,0,0.2
MW30101,0,MW301,0,0
MW20406,5,MW204,0,5
MW10502,0.6,MW105,0,0.6
MW10309,0.2,MW103,0,0.2
MW10101,0,MW101,0,0
MW20205,1.8,MW202,1,1
MW30302,0.6,MW303,0,0.6
MW10402,0,MW104,0,0
MW20114,0,MW201,0,0
MW10102,0,MW101,0,0
MW10103,0,MW101,0,0
MW10506,1,MW105,0,1
MW10510,0.2,MW105,0,0.2
MW30103,0,MW301,0,0
MW30902,0,MW309,0,0
MW30406,1.8,MW304,0,1.8
MW30708,2.2,MW307,0,2.2
MW31101,0,MW311,0,0
MW20505,0,MW205,0,0
MW31001,2.4,MW310,1,1
MW31108,0,MW311,0,0
MW31304,0,MW313,0,0
MW20906,0,MW209,0,0
MW30404,1.8,MW304,0,1.8
MW30805,0,MW308,0,0
MW30701,0.4,MW307,0,0.4
MW31201,0.2,MW312,0,0.2
MW30602,1.4,MW306,0,1.4
MW10104,0,MW101,0,0
MW30804,0,MW308,0,0
MW31103,0,MW311,0,0
MW30210,0,MW302,0,0
MW20503,0,MW205,0,0
MW20801,0,MW208,0,0
MW20901,0,MW209,0,0
MW20111,0,MW201,0,0
MW30508,7.6,MW305,0,7.6
MW31303,2.2,MW313,0,2.2
MW20804,0,MW208,0,0
MW31105,0.2,MW311,0,0.2
MW30711,3.4,MW307,0,3.4
MW10312,0.2,MW103,0,0.2
MW10204,0,MW102,0,0
MW20112,0.6,MW201,0,0.6
MW10409,0,MW104,0,0
MW20703,0,MW207,0,0
MW30720,0,MW307,0,0
