Code,Name,District,Population,SquareKM,Dry_Season_PopDensity,Rainy_Season_PopDensity,Rainy_Season_Movement,Dry_Season_Movement,DrySeasonRank,RainySeasonRank
MW20510,SC Msosa,Salima,"7,393.15",23.17,319.1,283.98,-0.11,0.11,85,81
MW20703,TA Zulu,Mchinji,"147,574.56",466.42,316.4,272.1,-0.14,0.14,86,87
MW20405,SC Mkukula,Dowa,"118,457.03",385.22,307.5,282.9,-0.08,0.08,87,83
MW10308,SC Mkumbira,Nkhata Bay,"16,564.69",54.17,305.8,262.98,-0.14,0.14,88,89
MW20803,TA Kaphuka,Dedza,"184,662.92",611.03,302.2,262.93,-0.13,0.13,89,90
MW20907,TA Chakhumbira,Ntcheu,"33,121.28",109.98,301.2,283.09,-0.06,0.06,90,82
MW20403,SC Kayembe,Dowa,"129,615.94",442.61,292.8,228.42,-0.22,0.22,91,106
MW31004,TA Maseya,Chikwawa,"41,452.35",145.32,285.2,279.54,-0.02,0.02,92,84
MW20702,SC Mavwere,Mchinji,"133,090.24",469.78,283.3,235.14,-0.17,0.17,93,102
MW20503,TA Pemba,Salima,"27,766.84",98.82,281,233.22,-0.17,0.17,94,104
MW31108,TA Ngabu,Nsanje,"15,944.22",59,270.2,259.43,-0.04,0.04,95,95
MW30502,TA Lundu,Blantyre,"35,948.44",133.45,269.4,277.46,0.03,-0.03,96,85
MW30301,TA Kuntumanji,Zomba,"94,131.61",349.99,269,255.51,-0.05,0.05,97,96
MW20906,TA Njolomole,Ntcheu,"66,200.26",247.93,267,242.98,-0.09,0.09,98,101
MW30207,SC Chikweo,Machinga,"86,602.08",329.74,262.6,225.87,-0.14,0.14,99,107
MW30204,SC Chamba,Machinga,"29,964.69",114.2,262.4,259.76,-0.01,0.01,100,94
MW30307,TA Malemia,Zomba,"74,257.99",291.27,254.9,260.04,0.02,-0.02,101,93
MW20304,TA Kalumo,Ntchisi,"133,407.28",525.26,254,200.65,-0.21,0.21,102,116
MW31002,TA Lundu,Chikwawa,"50,429.89",199.46,252.8,260.42,0.03,-0.03,103,92
MW31005,TA Katunga,Chikwawa,"40,760.77",161.28,252.7,255.26,0.01,-0.01,104,97
MW20606,TA Khongoni,Lilongwe,"142,407.89",570.15,249.8,197.32,-0.21,0.21,105,121
MW30506,TA Kuntaja,Blantyre,"85,350.43",342.18,249.4,246.94,-0.01,0.01,106,99
MW30306,TA Mlumbe,Zomba,"161,909.90",668.13,242.3,244.76,0.01,-0.01,107,100
MW30106,SC Chowe,Mangochi,"152,293.38",630.07,241.7,232.04,-0.04,0.04,108,105
MW31204,TA Kalembo,Balaka,"179,251.26",745.3,240.5,223.67,-0.07,0.07,109,108
MW20402,SC Chakhaza,Dowa,"174,873.46",732.33,238.8,188.64,-0.21,0.21,110,129
MW20905,SC Champiti,Ntcheu,"21,515.40",90.61,237.5,235.08,-0.01,0.01,111,103
MW20505,TA Ndindi,Salima,"51,030.27",215.89,236.4,212.73,-0.1,0.1,112,111
MW20904,SC Makwangwala,Ntcheu,"118,752.75",502.65,236.3,217.35,-0.08,0.08,113,109
MW10201,TA Kilupula,Karonga,"77,158.24",328.75,234.7,199.5,-0.15,0.15,114,119
MW20507,TA Khombedza,Salima,"114,194.42",487.12,234.4,201.61,-0.14,0.14,115,115
MW20108,SC Njombwa,Kasungu,"67,366.26",287.38,234.4,180.5,-0.23,0.23,116,137
MW20508,SC Mwanza,Salima,"40,168.72",173.2,231.9,194.81,-0.16,0.16,117,122
MW30902,TA Nazombe,Phalombe,"64,724.74",281.5,229.9,193.14,-0.16,0.16,118,123
MW20808,SC Kamenya Gwaza,Dedza,"44,044.34",194.56,226.4,217.32,-0.04,0.04,119,110
MW30208,SC Ngokwe,Machinga,"35,668.86",158.44,225.1,186.85,-0.17,0.17,120,133
MW20204,SC Mphonde,Nkhotakota,"36,242.98",161,225.1,200.35,-0.11,0.11,121,117
MW31104,TA Mlolo,Nsanje,"77,059.50",343,224.7,202.2,-0.1,0.1,122,114
MW20406,TA Msakambewa,Dowa,"98,252.51",439.63,223.5,187.73,-0.16,0.16,123,132
MW20404,TA Chiwere,Dowa,"117,028.17",523.94,223.4,189.86,-0.15,0.15,124,127
MW20113,TA Kapelula,Kasungu,"75,132.45",336.57,223.2,174.12,-0.22,0.22,125,143
MW30602,TA Nthache,Mwanza,"65,016.70",292.87,222,188.7,-0.15,0.15,126,128
MW20105,TA Kaomba,Kasungu,"57,557.31",263.07,218.8,188.16,-0.14,0.14,127,130
MW10306,TA Mankhambira,Nkhata Bay,"21,637.20",99.38,217.7,204.66,-0.06,0.06,128,113
MW20908,SC Goodson Ganya,Ntcheu,"160,060.85",737.58,217,190.97,-0.12,0.12,129,124
MW20801,TA Pemba,Dedza,"189,549.63",875.53,216.5,179.69,-0.17,0.17,130,138
MW20603,TA Chiseka,Lilongwe,"333,454.30","1,558.68",213.9,190.4,-0.11,0.11,131,126
MW20701,TA Mlonyeni,Mchinji,"58,260.97",272.49,213.8,188.15,-0.12,0.12,132,131
MW30503,TA Chigaru,Blantyre,"54,548.76",255.48,213.5,209.24,-0.02,0.02,133,112
MW30903,TA Chiwalo,Phalombe,"46,923.20",221.53,211.8,182.16,-0.14,0.14,134,135
MW20706,SC Dambe,Mchinji,"88,692.01",423.97,209.2,165.26,-0.21,0.21,135,147
MW31106,SC Mbenje,Nsanje,"66,056.73",318.01,207.7,199.41,-0.04,0.04,136,120
MW10204,TA Wasambo,Karonga,"73,728.89",355.58,207.3,190.76,-0.08,0.08,137,125
MW30101,TA Mponda,Mangochi,"151,066.06",733.66,205.9,199.73,-0.03,0.03,138,118
MW20704,SC Mduwa,Mchinji,"116,713.63",573.68,203.4,170.9,-0.16,0.16,139,144
MW20103,SC M'nyanja,Kasungu,"56,852.01",284.88,199.6,161.65,-0.19,0.19,140,149
MW30201,TA Liwonde,Machinga,"89,424.00",448.23,199.5,183.54,-0.08,0.08,141,134
MW20807,TA Kachindamoto,Dedza,"137,041.41",693.48,197.6,175.88,-0.11,0.11,142,141
MW30210,TA Nyambi,Machinga,"66,745.29",346.99,192.4,169.27,-0.12,0.12,143,146
MW20104,SC Chisikwa,Kasungu,"9,199.47",47.89,192.1,165.2,-0.14,0.14,144,148
MW31001,TA Ngabu,Chikwawa,"205,691.60","1,093.23",188.2,180.62,-0.04,0.04,145,136
MW30203,TA Kawinga,Machinga,"174,476.92",931.73,187.3,170.41,-0.09,0.09,146,145
MW30104,TA Jalasi,Mangochi,"103,506.09",560.43,184.7,175.46,-0.05,0.05,147,142
MW20902,TA Mpando,Ntcheu,"77,152.95",418.27,184.5,178.92,-0.03,0.03,148,139
MW31109,SC Makoka,Nsanje,"11,959.04",65.95,181.3,177.71,-0.02,0.02,149,140
MW20201,TA Kanyenda,Nkhotakota,"109,421.34",606.42,180.4,158.79,-0.12,0.12,150,155
MW31101,TA Ndamera,Nsanje,"33,881.16",188.6,179.6,156.29,-0.13,0.13,151,159
MW20502,TA Karonga,Salima,"79,268.26",447.07,177.3,159.58,-0.1,0.1,152,153
MW10510,TA Mzukuzuku,Mzimba,"46,866.05",267.65,175.1,157.59,-0.1,0.1,153,157
MW20101,TA Kaluluma,Kasungu,"71,351.50",409.29,174.3,153.41,-0.12,0.12,154,161
MW30206,SC Mlomba,Machinga,"68,486.76",394.07,173.8,159.89,-0.08,0.08,155,152
MW20806,TA Kasumbu,Dedza,"100,114.50",577.64,173.3,155.98,-0.1,0.1,156,160
MW20504,SC Kambwiri,Salima,"46,073.42",265.86,173.3,161.17,-0.07,0.07,157,150
MW10408,TA Katumbi,Rumphi,"19,534.81",112.99,172.9,157.33,-0.09,0.09,158,158
MW30102,TA Chimwala,Mangochi,"153,855.37",891.26,172.6,158.82,-0.08,0.08,159,154
MW20205,TA Mwadzama,Nkhotakota,"109,237.05",635.38,171.9,137.54,-0.2,0.2,160,177
MW20302,TA Chikho,Ntchisi,"41,627.79",244.1,170.5,138.13,-0.19,0.19,161,175
MW20605,SC Chitekwele,Lilongwe,"63,179.80",371.94,169.9,144.39,-0.15,0.15,162,171
MW20804,TA Tambala,Dedza,"81,038.06",477.67,169.7,150.99,-0.11,0.11,163,166
MW10205,SC Mwirang'ombe,Karonga,"42,130.09",254.23,165.7,149.14,-0.1,0.1,164,168
MW20305,SC Chilooko,Ntchisi,"86,265.61",529.47,162.9,120.57,-0.26,0.26,165,185
MW10303,TA Malenga Mzoma,Nkhata Bay,"6,511.77",40.22,161.9,158.67,-0.02,0.02,166,156
MW31003,TA Chapananga,Chikwawa,"133,729.55",836.19,159.9,147.13,-0.08,0.08,167,170
MW30202,SC Sitola,Machinga,"52,182.20",326.92,159.6,151.64,-0.05,0.05,168,164
MW31201,TA Nsamala,Balaka,"217,589.85","1,378.62",157.8,149.94,-0.05,0.05,169,167
MW30601,TA Kanduku,Mwanza,"61,661.94",391.36,157.6,152.83,-0.03,0.03,170,162
MW20109,SC Chilowamatambe,Kasungu,"49,378.50",314.69,156.9,127.1,-0.19,0.19,171,182
MW31007,TA Makhwira,Chikwawa,"73,293.12",467.15,156.9,160.03,0.02,-0.02,172,151
MW10307,SC Fukamalaza,Nkhata Bay,"12,147.48",78.61,154.5,151.44,-0.02,0.02,173,165
MW31303,TA Symon,Neno,"64,344.94",416.49,154.5,148.31,-0.04,0.04,174,169
MW20111,TA Santhe,Kasungu,"114,907.73",744.2,154.4,117.35,-0.24,0.24,175,187
MW20110,TA Chulu,Kasungu,"89,251.08",579.74,154,127.78,-0.17,0.17,176,181
MW10501,TA M'Mbelwa,Mzimba,"176,152.39","1,148.74",153.3,144.14,-0.06,0.06,177,172
MW30105,SC Mbwana Nyambi,Mangochi,"116,280.27",783.36,148.4,138.05,-0.07,0.07,178,176
MW20206,SC Mwansambo,Nkhotakota,"35,720.18",242.12,147.5,116.55,-0.21,0.21,179,188
MW20909,TA Masasa,Ntcheu,"36,995.57",253.61,145.9,134.21,-0.08,0.08,180,178
MW10504,SC Jaravikuba Munthali,Mzimba,"23,471.58",161.32,145.5,133.86,-0.08,0.08,181,179
MW31105,TA Tengani,Nsanje,"50,418.69",347.11,145.3,152.52,0.05,-0.05,182,163
MW20705,TA Mkanda,Mchinji,"133,854.91",932.12,143.6,114.88,-0.2,0.2,183,189
MW20114,TA Mwase,Kasungu,"27,002.81",189.22,142.7,124.15,-0.13,0.13,184,183
MW30205,SC Mposa,Machinga,"30,122.43",213.57,141,129.76,-0.08,0.08,185,180
MW10304,SC Malanda,Nkhata Bay,"23,722.39",169.52,139.9,139.94,0,0,186,174
MW31107,TA Malemia,Nsanje,"20,123.43",143.93,139.8,142.61,0.02,-0.02,187,173
MW10507,TA Mabulabo,Mzimba,"94,895.81",719.9,131.8,109.41,-0.17,0.17,188,194
MW30107,TA Katuli,Mangochi,"57,725.91",439.29,131.4,122.21,-0.07,0.07,189,184
MW20102,SC Simlemba,Kasungu,"39,647.35",306.04,129.5,106.23,-0.18,0.18,190,195
MW20301,TA Kasakula,Ntchisi,"22,903.68",180.15,127.1,102.98,-0.19,0.19,191,200
MW30103,TA Nankumba,Mangochi,"149,738.00","1,197.34",125.1,118.81,-0.05,0.05,192,186
MW31301,TA Dambe,Neno,"34,861.08",285.37,122.2,114.83,-0.06,0.06,193,190
MW20303,SC Nthondo,Ntchisi,"28,838.76",237.73,121.3,99.47,-0.18,0.18,194,203
MW10403,SC Mwahenga,Rumphi,"16,175.05",133.88,120.8,111.15,-0.08,0.08,195,191
MW10101,TA Mwabulambya,Chitipa,"113,635.58",964.19,117.9,110.78,-0.06,0.06,196,192
MW30108,TA Makanjila,Mangochi,"83,909.96",720.88,116.4,109.42,-0.06,0.06,197,193
MW10409,TA Zolokere,Rumphi,"8,446.55",74.09,114,106.02,-0.07,0.07,198,196
MW20112,TA Wimbe,Kasungu,"102,594.10",904.84,113.4,98.64,-0.13,0.13,199,204
MW10505,TA Chindi,Mzimba,"193,821.67","1,756.57",110.3,96,-0.13,0.13,200,208
MW10401,TA Chikulamayembe,Rumphi,"87,018.34",790.76,110,102.34,-0.07,0.07,201,201
MW10502,TA Mtwalo,Mzimba,"216,647.10","1,980.53",109.4,101.73,-0.07,0.07,202,202
MW10302,TA Fukamapiri,Nkhata Bay,"23,297.88",213.49,109.1,105.85,-0.03,0.03,203,197
MW10312,TA Timbiri,Nkhata Bay,"52,352.32",487.71,107.3,103.05,-0.04,0.04,204,199
MW20106,SC Lukwa,Kasungu,"39,170.34",365.53,107.2,91.09,-0.15,0.15,205,210
MW30504,TA Kunthembwe,Blantyre,"47,367.23",461.55,102.6,103.65,0.01,-0.01,206,198
MW10503,SC Kampingo Sibande,Mzimba,"97,078.74",970.91,100,96.99,-0.03,0.03,207,205
MW30109,SC Namabvi,Mangochi,"37,972.50",381.17,99.6,96.63,-0.03,0.03,208,206
MW20901,TA Phambala,Ntcheu,"67,971.97",685.11,99.2,96.24,-0.03,0.03,209,207
MW10405,SC Kachulu,Rumphi,"12,845.34",135.1,95.1,89.38,-0.06,0.06,210,211
MW10202,SC Mwakaboko,Karonga,"24,485.12",257.59,95.1,86.5,-0.09,0.09,211,212
MW31006,TA Kasisi,Chikwawa,"38,585.87",407.29,94.7,95.69,0.01,-0.01,212,209
MW31304,TA Ngozi,Neno,"26,545.57",300.28,88.4,83.1,-0.06,0.06,213,213
MW10404,SC Mwalweni,Rumphi,"21,256.83",250.91,84.7,78.79,-0.07,0.07,214,214
MW10509,TA Mpherembe,Mzimba,"51,806.50",688.57,75.2,62.45,-0.17,0.17,215,218
MW31302,TA Mlauli,Neno,"40,913.65",562.79,72.7,71.97,-0.01,0.01,216,215
MW10407,SC Mwankhunikira,Rumphi,"30,476.28",431.04,70.7,65.75,-0.07,0.07,217,216
MW10506,TA Mzikubola,Mzimba,"102,128.21","1,451.20",70.4,65.45,-0.07,0.07,218,217
MW10104,TA Nthalire,Chitipa,"47,631.88",726.78,65.5,58.33,-0.11,0.11,219,221
MW20107,SC Kawamba,Kasungu,"42,143.02",650.96,64.7,50.5,-0.22,0.22,220,225
MW20203,TA Malenga Chanzi,Nkhotakota,"68,407.09","1,063.52",64.3,61.75,-0.04,0.04,221,219
MW10105,TA Kameme,Chitipa,"27,441.11",438.12,62.6,60.13,-0.04,0.04,222,220
MW10203,TA Kyungu,Karonga,"99,692.63","1,612.13",61.8,56.89,-0.08,0.08,223,222
MW10508,SC Khosolo Gwaza Jere,Mzimba,"59,086.12",964.52,61.3,55.13,-0.1,0.1,224,223
MW20509,TA Kuluunda,Salima,"10,710.41",180.69,59.3,52.75,-0.11,0.11,225,224
MW10310,SC Nyaluwanga,Nkhata Bay,"11,007.01",208.2,52.9,49.7,-0.06,0.06,226,226
MW10102,TA Mwenemisuku,Chitipa,"34,627.54",659.51,52.5,47.25,-0.1,0.1,227,227
MW20202,SC Kafuzila,Nkhotakota,"28,689.58",556.41,51.6,44.86,-0.13,0.13,228,229
MW10402,TA Mwamlowe,Rumphi,"8,290.84",162.61,51,46.4,-0.09,0.09,229,228
MW10313,TA Boghoyo,Nkhata Bay,"1,134.19",25.21,45,42.29,-0.06,0.06,230,230
MW10103,TA Mwenewenya,Chitipa,"29,903.86",748.07,40,35.98,-0.1,0.1,231,232
MW31103,TA Nyachikadza,Nsanje,"3,109.74",78.01,39.9,39.46,-0.01,0.01,232,231
MW10309,TA Musisya,Nkhata Bay,"16,810.22",517.76,32.5,30.84,-0.05,0.05,233,233
MW10301,TA Kabunduli,Nkhata Bay,"52,918.63","1,707.00",31,30.07,-0.03,0.03,234,234
MW30111,Lake Malawi Natl. Park - Mangochi,Mangochi,"1,593.92",53.41,29.8,29.84,0,0,235,235
MW30213,Liwonde National Park,Machinga,"12,313.59",432.3,28.5,28.48,0,0,236,236
MW10406,SC Chapinduka,Rumphi,"2,926.35",104.7,27.9,27.95,0,0,237,237
MW31110,Mwabvi Game Reserve,Nsanje,"9,379.21",344.22,27.2,26.16,-0.04,0.04,238,238
MW10305,SC Zilakoma,Nkhata Bay,"12,872.83",475.68,27.1,24.09,-0.11,0.11,239,239
MW10311,SC Mkondowe,Nkhata Bay,"2,102.36",83.68,25.1,23.62,-0.06,0.06,240,240
MW30303,SC Mkumbira,Zomba,"2,847.92",118.76,24,20.62,-0.14,0.14,241,241
MW31008,Lengwe National Park,Chikwawa,"2,116.49",928.25,2.3,2.28,0,0,242,242
MW20207,Nkhotakota Game Reserve,Nkhotakota,597.49,"1,046.65",0.6,0.57,0,0,243,243
MW20903,TA Kwataine,Ntcheu,0,0,0,0,0.01,-0.01,251,251
MW31009,Majete Game Reserve - Chikwawa,Chikwawa,,646.37,0,0,0,0,251,251
MW20115,Kasungu National Park,Kasungu,,"2,344.35",0,0,0,0,251,251
MW10411,Vwaza Marsh Reserve - Rumphi,Rumphi,,614.17,0,0,-0.07,0.07,251,251
MW30399,Lake Chilwa,Zomba,,569.92,0,0,0,0,251,251
MW30904,Lake Chilwa,Phalombe,,71.37,0,0,0,0,251,251
MW30299,Lake Chiuta,Machinga,,124.51,0,0,0,0,251,251
MW20511,Lake Malawi Natl. Park - Salima,Salima,,1.66,0,0,0,0,251,251
MW30199,Lake Malombe,Mangochi,,310.2,0,0,0,0,251,251
MW31305,Majete Game Reserve - Neno,Neno,,58.34,0,0,0,0,251,251
MW30807,Mulanje Mountain Reserve,Mulanje,,472.41,0,0,0,0,251,251
MW10106,Nyika National Park - Chitipa,Chitipa,,705.29,0,0,0,0,251,251
MW10206,Nyika National Park - Karonga,Karonga,,557.57,0,0,0,0,251,251
MW10410,Nyika National Park - Rumphi,Rumphi,,"1,831.11",0,0,0,0,251,251
MW10511,Vwaza Marsh Reserve - Mzimba,Mzimba,,367.18,0,0,0,0,251,251
