time,S_e,E_e,I_e,H_e,C_e,R_e,D_e,inci_e,hosp_e,crits_e,S_a,E_a,I_a,H_a,C_a,R_a,D_a,inci_a,hosp_a,crits_a,S_p,E_p,I_p,H_p,C_p,R_p,D_p,inci_p,hosp_p,crits_p,lvl2,lvl3,lvl4,TA_Code,ID
15,14916.057055923995,0.04769151862529091,0.06123158001843806,0.0075539870121447234,0.0023450413826656296,0.16359703671961962,7.449122538971148e-4,0.28316407601205595,0.019675779039168114,0.0035954786741530845,64568.90937824704,0.01831873704207547,0.0732656985979308,0.004295382269397557,0.0013213839122690016,0.9025515051303211,2.609077393043777e-4,0.879091752928349,0.022382559435350044,0.002597101594904783,96322.60829754626,2.205045844879619e-6,2.1965953748677914e-6,3.5209522862231813e-10,1.5851477145480198e-11,4.6601496352984176e-6,7.566169830146397e-12,0.8728875462553576,8.2044816813485e-10,2.3417646975626594e-11,Malawi,Lilongwe,TA Chadza,20601, 49
16,14916.049878750533,0.042057566793797276,0.05712435028284705,0.007570983658054764,0.0025974480415559514,0.1800617787656278,9.291219326197921e-4,0.29034124947450246,0.02158624706049686,0.004157106520535878,64568.86958885624,0.013766648500113143,0.05899080698249889,0.0037538443068998277,0.001301635612617663,0.921906823148952,2.944723718278393e-4,0.918881143718726,0.02284644787587965,0.0027414687612626718,96322.65656237457,2.091925083941548e-6,2.1842683663992573e-6,3.717883896995791e-10,1.8249652720651183e-11,5.286647820917621e-6,9.698049095919999e-12,0.9211523745684768,9.307424260310025e-10,2.7947701816571177e-11,Malawi,Lilongwe,TA Chadza,20601, 49
17,14916.043798523162,0.036873072360016725,0.052695409286119495,0.007461667717142586,0.002816763024997104,0.19544363682053048,0.00113092763564078,0.29642147684444703,0.023358419406179817,0.004715180029390064,64568.83393044733,0.010345816728278681,0.04728609872581971,0.0032517345083962466,0.0012665899198071433,0.9375372137820221,3.2732951262039043e-4,0.9545395526323924,0.02321913588210629,0.002867079228448276,96322.70036256184,1.966616327765314e-6,2.1452160676015803e-6,3.859422894048758e-10,2.0564165930301085e-11,5.905713499143743e-6,1.2125085226951473e-11,0.964952561849365,1.0397273125499266e-9,3.268925115725256e-11,Malawi,Lilongwe,TA Chadza,20601, 49
18,14916.039833945948,0.03114386992248346,0.04799752948336132,0.007246281966561663,0.002998811359926822,0.20965186431922392,0.0013476970015213602,0.30038605405307867,0.024983565887798678,0.005261105448273061,64568.80943289824,0.007774974922468894,0.037755802367617844,0.0027950364393436074,0.0012194899975178184,0.9501107288998064,3.5912995233017264e-4,0.9790371017184308,0.02351730214803931,0.0029754686885801996,96322.73078364592,1.7518619103501522e-6,2.0723269121472667e-6,3.945012551290178e-10,2.2739789159572383e-11,6.509168239109645e-6,1.483330100303873e-11,0.995373645919859,1.1459630583812409e-9,3.7573090162611093e-11,Malawi,Lilongwe,TA Chadza,20601, 49
19,14916.036494802549,0.026296435009335026,0.04316136406389432,0.006941686267761277,0.003141176510271825,0.22260798022505598,0.0015765553762405416,0.30372519745255955,0.026454130573709423,0.005787640740431279,64568.78780301924,0.00584301072340249,0.03004201447531476,0.0023860655148630274,0.001163333318926644,0.9601914690741341,3.8960446209061343e-4,1.0006669807229358,0.023754969676106703,0.003068318210704659,96322.7578941804,1.560603849961743e-6,1.9673569347751807e-6,3.971211870386931e-10,2.4724833552941725e-11,7.086843873879182e-6,1.780208538398973e-11,1.022484180376638,1.2476595657773242e-9,4.2526918936931407e-11,Malawi,Lilongwe,TA Chadza,20601, 49
20,14916.03369143227,0.02218941990486229,0.03842139936542726,0.006567403904599118,0.003242982517993345,0.2342928565820056,0.0018145054536629036,0.30652856772855114,0.027769720725602572,0.006288878558764876,64568.768850591325,0.004391145919055124,0.023830466758864344,0.002024536712710938,0.0011007956435963506,0.9682502896122479,4.185564453560207e-4,1.0196194086459966,0.02394379381339577,0.0031473422885731355,96322.78183895933,1.3883301880588463e-6,1.843485415600357e-6,3.940119505330633e-10,2.6472579077723815e-11,7.631576192353287e-6,2.1004606229859044e-11,1.0464289593368798,1.3435556566847223e-9,4.747718530758282e-11,Malawi,Lilongwe,TA Chadza,20601, 49
21,14916.031343901815,0.018708147195669798,0.0339222827942113,0.006143930262982654,0.0033048688268518807,0.2447383273724938,0.002058541730494459,0.30887609818270445,0.028935978340204546,0.006760413197919344,64568.752347346184,0.0033000844850126793,0.01885089078434376,0.0017084125867860497,0.001034196610663977,0.974676609018793,4.458531980217645e-4,1.0361226537827781,0.024093373028308232,0.0032142116998772887,96322.80283469155,1.2322920561825324e-6,1.7097394921151065e-6,3.8582203753008135e-10,2.794717574043335e-11,8.139336187201685e-6,2.440883032338864e-11,1.067424691556402,1.432942158806523e-9,5.235600606382194e-11,Malawi,Lilongwe,TA Chadza,20601, 49
22,14916.029382157543,0.015757826392368734,0.029747030427547467,0.005690364653044102,0.0033287915149710482,0.2540080726212427,0.0023057568476114077,0.3108378424567861,0.029962143670475123,0.007199320335341405,64568.73805115856,0.0024801498490715887,0.014874603542041972,0.0014345610714450372,9.654938041252978e-4,0.9797900431395415,4.714166877327586e-4,1.0504188414136268,0.02421155139538473,0.003270502486633854,96322.82113411596,1.0907399758687183e-6,1.5723699679993682e-6,3.7338804697743214e-10,2.9125975299996743e-11,8.608245648658652e-6,2.7979050618267493e-11,1.0857241159496656,1.5154885653427185e-9,5.710502591826419e-11,Malawi,Lilongwe,TA Chadza,20601, 49
23,14916.027745543555,0.013259064893416253,0.025936553226161247,0.0052232883641405515,0.003317721571772907,0.26218439923491593,0.0025534291534824263,0.3124744564438899,0.03085941160432866,0.007604002295417208,64568.72572110059,0.0018639478646585894,0.011710491700869206,0.0011992433205200547,8.962974643424213e-4,0.9838512642705863,4.952144331815988e-4,1.0627488993726089,0.02430469830767551,0.0033176660706956793,96322.83700277588,9.624712065329182e-7,1.435716996535804e-6,3.5759305728040823e-10,2.999919157644685e-11,9.037923150072464e-6,3.167754937347717e-11,1.1015927758596291,1.5911278762788905e-9,6.167674094992398e-11,Malawi,Lilongwe,TA Chadza,20601, 49
24,14916.026382012471,0.011144764938922639,0.022503374340248343,0.00475636151934151,0.003275327717880631,0.2693590721617909,0.002799086848788856,0.3138379875269734,0.03163982219571694,0.007973978544909553,64568.715126599694,0.0014008619552540941,0.00920041635595153,9.98465921858523e-4,8.278975330578874e-4,0.9870717304315685,5.172509374782556e-4,1.0733434002709294,0.02437795732728144,0.0033570144119218675,96322.85070412028,8.46564787286666e-7,1.302772147822851e-6,3.3928781644976514e-10,3.0568328674495235e-11,9.42903234268892e-6,3.5466133773830324e-11,1.1152941202585782,1.659977065416278e-9,6.603446244832551e-11,Malawi,Lilongwe,TA Chadza,20601, 49
25,14916.025247252834,0.009357767476971765,0.019441663212456262,0.004300265957661013,0.0032056987792288935,0.2756268040618281,0.003040547676887654,0.3149727471650342,0.03231549218171157,0.008309674692949007,64568.70605307625,0.0010528406950147892,0.007214717673403193,8.282279125854768e-4,7.612968126788728e-4,0.9896221206135931,5.375599529769373e-4,1.0824169237197714,0.0244354607318842,0.0033897153460574667,96322.86248973118,7.422164342827768e-7,1.1755818229600468e-6,3.1924257153499317e-10,3.084434719304601e-11,9.78294223691174e-6,3.930738758134931e-11,1.1270797311555167,1.7222772670229013e-9,7.015173477439529e-11,Malawi,Lilongwe,TA Chadza,20601, 49
26,14916.02430373085,0.007849246101969114,0.016733933927702838,0.003862970438439458,0.0031130886527852993,0.2810810885230966,0.0032759415043493055,0.31591626914834314,0.032898148155929875,0.008612205361282385,64568.69830444158,7.912912935970955e-4,0.005647782696170131,6.846859605461473e-4,6.972476378567747e-4,0.991639678493034,5.561975850943544e-4,1.0901655583751104,0.024480515258167652,0.003416795537186878,96322.87259410601,6.486670982586566e-7,1.055489663824548e-6,2.9813149014379155e-10,3.08453941024443e-11,1.0101502084537761e-5,4.316573852525645e-11,1.1371841059913526,1.778354142697808e-9,7.401113262770071e-11,Malawi,Lilongwe,TA Chadza,20601, 49
27,14916.023519787694,0.006577416461017929,0.01435582736016173,0.0034500773070757157,0.0030017193896822326,0.2858114570710241,0.0035037147171897544,0.316700212306152,0.03339883422883482,0.008883184647082293,64568.691704007295,5.947269176713493e-4,0.004414087559054277,5.64255949373437e-4,6.362886748243572e-4,0.9932343904399035,5.732363489142019e-4,1.096765992663612,0.024515757583402454,0.00343914821662696,96322.88123189833,5.651675316436949e-7,9.433163495772246e-7,2.765274805077285e-10,3.059476667260812e-11,1.0386868375578042e-5,4.7008230522559345e-11,1.1458218983181578,1.8285874244110788e-9,7.760299719516741e-11,Malawi,Lilongwe,TA Chadza,20601, 49
28,14916.022868816948,0.005506475873904231,0.01227954439907392,0.0030651895144221783,0.002875633437991055,0.28990171736783626,0.003722622457566783,0.31735118305079496,0.03382773696332684,0.00912456533395241,64568.686094419376,4.469712777751168e-4,0.003444732921013289,4.636711471987655e-4,5.787798361650783e-4,0.9944941574592892,5.887601261350928e-4,1.1023755805816695,0.02454328392482424,0.0034575434395136885,96322.88859673882,4.909635119191974e-7,8.394968932275779e-7,2.549028151569016e-10,3.0119166362239637e-11,1.0641370079559273e-5,5.080505244034019e-11,1.1531867388219708,1.8733871912084993e-9,8.092421880257977e-11,Malawi,Lilongwe,TA Chadza,20601, 49
29,14916.02232853983,0.0046058304512622055,0.01047582495804313,0.0027102920274798643,0.002738594564617772,0.29342920751950113,0.003931710647742508,0.3178914601686471,0.03419413102087819,0.009338509638581,64568.68133662182,3.359392918203236e-4,0.0026845646340405514,3.800006419582975e-4,5.249334549047399e-4,0.9954888482170665,6.028602136239011e-4,1.107133378137925,0.02456475102607577,0.003472639938154661,96322.89486165739,4.253034312420793e-7,7.441638928255084e-7,2.3363810050868087e-10,2.944718612485268e-11,1.0867422179124868e-5,5.4529841292706406e-11,1.159451657391456,1.913178648859864e-9,8.397702741755904e-11,Malawi,Lilongwe,TA Chadza,20601, 49
30,14916.021880316042,0.0038493038991597025,0.008915771153085924,0.0023860989736689993,0.0025940116227460156,0.2964642050841874,0.004130293222609971,0.31833968395545853,0.03450634044625572,0.009527274759860012,64568.67730874417,2.52501372409018e-4,0.00208948199872665,3.1065841281339854e-4,4.7484433976419495e-4,0.9962740910314511,6.156316795419628e-4,1.1111612557833643,0.02458147046139057,0.0034849973604311,96322.900179674,3.674415914415111e-7,6.57234298527411e-7,2.1303015825507855e-10,2.8607984921996217e-11,1.1067441736044427e-5,5.8159874922222205e-11,1.164769674009974,1.9483873551394486e-9,8.676785984421837e-11,Malawi,Lilongwe,TA Chadza,20601, 49
31,14916.021508575945,0.0032145603511609024,0.007571698544838612,0.0020923542630672857,0.002444907258201335,0.2990699801197744,0.004317923513943854,0.31871142405098696,0.034771771839763606,0.009693133549793051,64568.673904465504,1.8979028969948265e-4,0.001624387321005794,2.53386206725751e-4,4.28514624479477e-4,0.9968940123469797,6.271707691939415e-4,1.114565534452702,0.024594476234608496,0.0034950884349236287,96322.90468535978,3.166509508284942e-7,5.784644100064673e-7,1.9330212373109693e-10,2.7630343786256198e-11,1.1243796344431638e-5,6.167605737900828e-11,1.169275359797996,1.9794301470363877e-9,8.930640116526441e-11,Malawi,Lilongwe,TA Chadza,20601, 49
32,14916.021177521523,0.0027023642407089828,0.006420451605162447,0.0018281249351661264,0.0022939022135176922,0.3013032692692691,0.00449436620690329,0.31904247847072803,0.03499699607865417,0.009838311742709127,64568.67081872011,1.4266749126728179e-4,0.0012614612888616095,2.0623211752731165e-4,3.85875026887124e-4,0.9973835006010646,6.375728226083377e-4,1.117651279842735,0.02460458050272198,0.0035033100479333334,96322.90877862078,2.747727626657566e-7,5.078473434901512e-7,1.7462010118610963e-10,2.654189902858676e-11,1.1398803180809731e-5,6.506284472762138e-11,1.1733686207934413,2.006714976310274e-9,9.160474375620809e-11,Malawi,Lilongwe,TA Chadza,20601, 49
33,14916.020902925542,0.0022685648382719296,0.005438461057956446,0.0015920564933897985,0.002143233836824409,0.30321519390397805,0.004659564321886302,0.3193170744523075,0.035187879191088414,0.009964951038667878,64568.66821642043,1.072477672027133e-4,9.786045303169664e-4,1.675173157962367e-4,3.4680417714123867e-4,0.9977702450979498,6.469307626326864e-4,1.1202535795141806,0.024612423430419052,0.0035099951791864622,96322.9122377184,2.375974447354774e-7,4.449897135480868e-7,1.5711098492350514e-10,2.5368774026429544e-11,1.1534763038892562e-5,6.830802193115813e-11,1.1768277184075964,2.0306469040752596e-9,9.367679595758761e-11,Malawi,Lilongwe,TA Chadza,20601, 49
34,14916.020675073136,0.0019020832481547753,0.004601664287282371,0.0013823901981256021,0.0019947658025895078,0.30485040989566003,0.0048136134276502845,0.31954492685946306,0.035349486484571126,0.010075075537392147,64568.6660232556,8.061834987044676e-5,7.584090471560607e-4,1.358145198923869e-4,3.111426795017322e-4,0.9980760652143333,6.553338066802339e-4,1.122446744336639,0.02461850572432558,0.003515420664662155,96322.91515852083,2.0481927608790007e-7,3.890924613106443e-7,1.4084213074309884e-10,2.413515098856621e-11,1.1653775896012328e-5,7.140252392725698e-11,1.1797485208415313,2.051595629059564e-9,9.553767491582311e-11,Malawi,Lilongwe,TA Chadza,20601, 49
35,14916.020485957892,0.001593117880225002,0.003889419120565215,0.001197109641135121,0.0018500108883798966,0.3062476487379877,0.004956735834560008,0.3197340421028534,0.035486159860339275,0.010170571194858695,64568.664176222366,6.06009208924115e-5,5.872044009448583e-4,1.0991669999687979e-4,2.78704926028928e-4,0.9983181184461052,6.628668291871623e-4,1.124293777573969,0.024623217902039866,0.00351981589299895,96322.9176226658,1.7607847797343354e-7,3.394751102703394e-7,1.2583208502686577e-10,2.286289857233875e-11,1.1757729515672268e-5,7.434017132395461e-11,1.182212665810988,2.0698934829527345e-9,9.72030698962933e-11,Malawi,Lilongwe,TA Chadza,20601, 49
36,14916.020328978226,0.0013331238736724892,0.003283968261237919,0.001034101186472841,0.0017101537819427528,0.3074404188503839,0.005089255813500181,0.31989102176721057,0.035601614901082324,0.010253167031928655,64568.662621946576,4.556263961096203e-5,4.5428297752252936e-4,8.881135736882464e-5,2.4928962568851107e-4,0.9985098800337858,6.696096608523131e-4,1.1258480533666515,0.024626864037310084,0.0035233699082074074,96322.9196995952,1.5099704065609184e-7,2.955329532500521e-7,1.1206693659913988e-10,2.1571271128279263e-11,1.1848327541466212e-5,7.711740098644757e-11,1.1842895952154704,2.0858403788936777e-9,9.868867211472678e-11,Malawi,Lilongwe,TA Chadza,20601, 49
37,14916.02019863506,0.0011146808173608837,0.0027699138207444934,8.912616177496921e-4,0.0015760965827527234,0.30845783946864674,0.005211572625046871,0.32002136493230193,0.03569904928457752,0.010324435361663203,64568.66131488841,3.425655549087499e-5,3.5116303951879404e-4,7.164727096018092e-5,2.2268861724111658e-4,0.9986620641430566,6.756369114799712e-4,1.1271551115291438,0.0246296838502229,0.0035262393563431763,96322.92144876548,1.2920140679984438e-7,2.567119748899963e-7,9.951210728312367e-11,2.0276954708469053e-11,1.1927114827294376e-5,7.97328535605561e-11,1.1860387655043523,2.0997082726636278e-9,1.000098082690251e-10,Malawi,Lilongwe,TA Chadza,20601, 49
38,14916.02009035689,9.314210306953136e-4,0.0023340241376475757,7.665354804764816e-4,0.0014484904953574898,0.30932502814406165,0.005324143816826752,0.3201296431050658,0.03578119245076899,0.010385795444997915,64568.660216145014,2.575702570296945e-5,2.712428040215543e-4,5.771595161445873e-5,1.986916032492653e-4,0.9987830483263801,6.81017843446114e-4,1.1282538549273504,0.02463186282198422,0.0035285526008226546,96322.92292116383,1.103334761518964e-7,2.2250988597761092e-7,8.811572002818812e-11,1.8994198738786076e-11,1.1995481135606289e-5,8.218710597486675e-11,1.187511163844077,2.1117418143012457e-9,1.0118130471365277e-10,Malawi,Lilongwe,TA Chadza,20601, 49
39,14916.019998667427,7.793941141017599e-4,0.0019650769789661218,6.579720031412428e-4,0.0013277694532795186,0.31006365241854,0.00542746759788609,0.32022133256591534,0.035850376132726076,0.010438517527607655,64568.65927534014,1.9370203233330754e-5,2.0937108870551795e-4,4.64299249876663e-5,1.770911274024195e-4,0.9988794094135726,6.858163671248575e-4,1.1291946598135756,0.02463354498603375,0.0035304146773854866,96322.92418350336,9.427204889499551e-8,1.9248813255613343e-7,7.781594637770635e-11,1.7734900167506017e-11,1.2054678866827951e-5,8.448237603774413e-11,1.1887735033770557,2.1221614704827097e-9,1.0221727620525008e-10,Malawi,Lilongwe,TA Chadza,20601, 49
40,14916.019921408737,6.526040654515962e-4,0.0016534510149559054,5.637673398405584e-4,0.001214186827403451,0.3106925155674206,0.005522066442175821,0.32029859125724863,0.03590860756419022,0.010483732024496914,64568.6584744762,1.456705506245863e-5,1.6149836800770096e-4,3.730212840840402e-5,1.5768643603781188e-4,0.998956355384174,6.900911566282479e-4,1.1299955237566313,0.024634843159199456,0.0035319117215292265,96322.92525930535,8.05180571205403e-8,1.6624780223964094e-7,6.854806852061512e-11,1.6508794790627923e-11,1.2105850244694383e-5,8.662221735860236e-11,1.189849305383744,2.1311683115052213e-9,1.0313101214923023e-10,Malawi,Lilongwe,TA Chadza,20601, 49
41,14916.01985719774,5.460260589755895e-4,0.0013904626881173744,4.8224734100955327e-4,0.001107844364385324,0.3112277451219427,0.0056084766813326884,0.320362802255764,0.03595759091507697,0.010522440988466079,64568.657802459304,1.0955960662016264e-5,1.2449228438697e-4,2.9931968829633826e-5,1.4028515431964918e-4,0.999017949697885,6.938958700232597e-4,1.1306675406485684,0.024635844172129304,0.0035331137214473945,96322.92616298645,6.863431367137997e-8,1.4335886231822478e-7,6.024170151353957e-11,1.532369498805344e-11,1.215001221671088e-5,8.861128756857193e-11,1.1907529864836786,2.138941352646048e-9,1.0393498255662531e-10,Malawi,Lilongwe,TA Chadza,20601, 49
42,14916.019803829253,4.565712479697224e-4,0.001168669062954891,4.118857194562062e-4,0.0010087172617581068,0.3116830905237643,0.005687236927989691,0.3204161707438937,0.03599876447909609,0.010555523752157249,64568.65723889651,8.242959696370379e-6,9.592385424713902e-5,2.3991922863083388e-5,1.2470575989826526e-4,0.9990673759469518,6.972792205668952e-4,1.1312311034464924,0.02463661512253985,0.0035340773399951887,96322.92692157112,5.840099657544814e-8,1.2342554369962618e-7,5.282397607265934e-11,1.4185593114754982e-11,1.2188060996597995e-5,9.045512579975965e-11,1.1915115711594344,2.145638354362953e-9,1.0464071891451459e-10,Malawi,Lilongwe,TA Chadza,20601, 49
43,14916.01975944848,3.8156111992702387e-4,0.00098168824089145011,3.5128875049923443e-4,9.16689193129252e-4,0.31207044366698705,0.0057588805438095,0.3204605515152444,0.0360333608317238,0.010583759309813784,64568.6567663603,6.202012783566419e-6,7.386688072383848e-5,1.920947066125859e-5,1.1077726165686001e-4,0.9991071856172903,7.002857394605405e-4,1.1317036396584927,0.024637209045492058,0.0035348493229508064,96322.92755820023,4.9614124882187895e-8,1.0609479487354253e-7,4.6221648708972565e-11,1.309902610179427e-11,1.2220793921906586e-5,9.215987498971912e-11,1.1921482002709798,2.1513996705392413e-9,1.0525890109151333e-10,Malawi,Lilongwe,TA Chadza,20601, 49
44,14916.019722534245,3.187221517225761e-4,8.241554396305906e-4,2.9920754172206056e-4,8.315614667058403e-4,0.3123998898189375,0.005823929333279678,0.3204974657519991,0.036062414287946994,0.010607824889976603,64568.65637030273,4.666573432439531e-6,5.684859207839452e-5,1.536412891902285e-5,9.834074597442578e-5,0.9991393574875149,7.029555885555121e-4,1.1320996972302437,0.02463766633728932,0.0035354671294954756,96322.9280922332,4.208812667435908e-8,9.105490557838199e-8,4.036273634327355e-11,1.2067090474689686e-11,1.224890932165045e-5,9.373218398088197e-11,1.1926822332408042,2.1563482254547075e-9,1.057992744555716e-10,Malawi,Lilongwe,TA Chadza,20601, 49
45,14916.019690295421,2.67471026269492e-4,6.917053983147466e-4,2.545289763708526e-4,7.530762119671281e-4,0.3126800349277946,0.005882888034077833,0.3205297045747955,0.03608679883620069,0.010628309893479668,64568.65602188377,3.51199681235128e-6,4.372862554578486e-5,1.227632504181443e-5,8.72492744038546e-5,0.9991654472822843,7.053250084872079e-4,1.132448116192441,0.024638018177142597,0.0035359610210594487,96322.92856239699,3.586128648945775e-8,7.805583044302246e-8,3.517808510405412e-11,1.109168505096468e-11,1.2273021070515454e-5,9.51790145049648e-11,1.1931523970434739,2.160592076222645e-9,1.0627069955592943e-10,Malawi,Lilongwe,TA Chadza,20601, 49
