UID,Lvl1,Lvl2,Lvl3,Lvl4,Hospitalization,Critical Care,Crit of Hosp,CFR,CFR of Crit,CFR of Hosp,Population,Code
58,Sub-Saharan Africa,Malawi,Mulanje,TA Juma,0.031685446,0.00605417,0.191071003,0.003573908,0.59032174,0.112793367,119514,MW30806
59,Sub-Saharan Africa,Malawi,Rumphi,STA Kachulu,0.030068288,0.005609161,0.186547415,0.003314025,0.590823551,0.110216606,13425,MW10405
60,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kafuzila,0.028736226,0.005155831,0.179419226,0.003043288,0.590261383,0.10590424,26662,MW20202
61,Sub-Saharan Africa,Malawi,Salima,TA Kambalame,0.030155235,0.005856983,0.194227737,0.00346422,0.591468266,0.114879543,24081,MW20506
62,Sub-Saharan Africa,Malawi,Salima,TA Kambwiri,0.029073051,0.005365982,0.184568917,0.00316876,0.590527475,0.108993017,40689,MW20504
63,Sub-Saharan Africa,Malawi,Dedza,TA Kamenya Gwaza,0.030637875,0.005528219,0.180437412,0.003261584,0.589988276,0.106455957,46478,MW20808
64,Sub-Saharan Africa,Malawi,Mzimba,TA Kampingo Sibande,0.032199962,0.006314282,0.19609593,0.003735571,0.591606601,0.116011647,86851,MW10503
65,Sub-Saharan Africa,Malawi,Dowa,TA Kayembe,0.030077646,0.005401236,0.179576436,0.003187798,0.590197796,0.105985617,130321,MW20403
66,Sub-Saharan Africa,Malawi,Mzimba,TA Khosolo Gwaza Jere,0.028211019,0.004669177,0.165508978,0.002751466,0.589282845,0.097531601,55693,MW10508
67,Sub-Saharan Africa,Malawi,Thyolo,TA Kwethemule,0.033831726,0.006642805,0.196348399,0.00392499,0.590863354,0.116015073,72531,MW30706
68,Sub-Saharan Africa,Malawi,Mulanje,TA Laston Njema,0.028536742,0.004992795,0.174960231,0.00294116,0.589080811,0.103065715,100417,MW30802
69,Sub-Saharan Africa,Malawi,Kasungu,TA Lukwa,0.028122648,0.004474236,0.159097247,0.002630955,0.588023272,0.093552884,41315,MW20106
70,Sub-Saharan Africa,Malawi,Kasungu,STA M'nyanja,0.030530156,0.005475697,0.1793537,0.003233078,0.590441466,0.105897862,47032,MW20103
71,Sub-Saharan Africa,Malawi,Nsanje,TA Makoko,0.030573402,0.006265938,0.204947359,0.003709924,0.592077985,0.121344819,10263,MW31109
72,Sub-Saharan Africa,Malawi,Ntcheu,TA Makwangwala,0.032699758,0.006445777,0.19712001,0.003808692,0.590881857,0.116474638,130258,MW20904
73,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Malanda,0.031139218,0.005760095,0.184978779,0.003403457,0.590868193,0.109298077,31827,MW10304
74,Sub-Saharan Africa,Malawi,Mchinji,TA Mavwere,0.029926801,0.005274067,0.176232233,0.003109959,0.589669951,0.103918852,137172,MW20702
75,Sub-Saharan Africa,Malawi,Thyolo,STA Mbawela,0.033024659,0.006900863,0.208960915,0.004086149,0.59212139,0.123730227,61921,MW30703
76,Sub-Saharan Africa,Malawi,Nsanje,TA Mbenje,0.030218777,0.005838935,0.193222089,0.003449055,0.590699285,0.11413615,67203,MW31106
77,Sub-Saharan Africa,Malawi,Zomba,TA Mbiza,0.031404047,0.005917642,0.188435655,0.003493349,0.590327834,0.111238812,207200,MW30305
78,Sub-Saharan Africa,Malawi,Mangochi,TA Mbwana Nyambi,0.029579027,0.005835934,0.197299719,0.003450912,0.591321299,0.116667526,123245,MW30105
79,Sub-Saharan Africa,Malawi,Mchinji,TA Mduwa,0.028406286,0.004753774,0.167349384,0.002799747,0.588952487,0.098560836,121121,MW20704
80,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Kondowe,0,0,0,0,0,0,1,MW10311
81,Sub-Saharan Africa,Malawi,Dowa,TA Mkukula,0.029274905,0.004988693,0.170408527,0.002938405,0.589012922,0.100372825,113569,MW20405
82,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Mkumbira,0,0,0,0,0,0,1,MW10308
83,Sub-Saharan Africa,Malawi,Machinga,TA Mlomba,0.028455247,0.005212555,0.183184329,0.003076239,0.590159433,0.10810796,57149,MW30206
84,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mphonde,0.028766933,0.005295753,0.184091694,0.003128071,0.590675285,0.108738414,28796,MW20204
85,Sub-Saharan Africa,Malawi,Thyolo,TA Mphuka,0.031393512,0.00584646,0.186231485,0.003452546,0.590536085,0.109976412,76942,MW30705
86,Sub-Saharan Africa,Malawi,Dowa,TA Mponela,0.028827943,0.004776731,0.165697949,0.00281027,0.588324918,0.097484232,51609,MW20407
87,Sub-Saharan Africa,Malawi,Machinga,TA Mposa,0.028984724,0.005313863,0.183333232,0.003133513,0.589686377,0.108109109,33914,MW30205
88,Sub-Saharan Africa,Malawi,Salima,TA Msosa,0,0,0,0,0,0,1,MW20510
89,Sub-Saharan Africa,Malawi,Lilongwe,TA Mtema,0.029997933,0.005360276,0.178688171,0.00316179,0.589855896,0.105400271,66477,MW20609
90,Sub-Saharan Africa,Malawi,Rumphi,TA Mwahenga,0.029918852,0.005299292,0.177122173,0.003124936,0.589689269,0.104447045,18564,MW10403
91,Sub-Saharan Africa,Malawi,Karonga,TA Mwakaboko,0.028743645,0.004975605,0.173102794,0.002933925,0.589661852,0.102072114,29428,MW10202
92,Sub-Saharan Africa,Malawi,Rumphi,TA Mwalweni,0.02972359,0.005298006,0.178242453,0.003127535,0.590323086,0.105220635,29434,MW10404
93,Sub-Saharan Africa,Malawi,Rumphi,TA Mwankhunikira,0.029440778,0.004988564,0.169444037,0.002939034,0.589154187,0.099828664,32285,MW10407
94,Sub-Saharan Africa,Malawi,Nkhotakota,TA Mwansambo,0.029017884,0.005239017,0.180544403,0.003089309,0.58967346,0.106462243,36676,MW20206
95,Sub-Saharan Africa,Malawi,Salima,TA Mwanza,0.029443936,0.005320329,0.180693532,0.00313744,0.589707831,0.106556391,24316,MW20508
96,Sub-Saharan Africa,Malawi,Karonga,TA Mwirang'ombe,0.028123548,0.004710477,0.167492257,0.002774985,0.589109234,0.098671235,34753,MW10205
97,Sub-Saharan Africa,Malawi,Mangochi,TA Namabvi,0.029062743,0.005529623,0.190264994,0.003266543,0.590735186,0.112396227,50224,MW30109
98,Sub-Saharan Africa,Malawi,Machinga,TA Ngokwe,0.027038472,0.004858184,0.179676724,0.002865315,0.589791436,0.105971793,39617,MW30208
99,Sub-Saharan Africa,Malawi,Lilongwe,TA Njewa,0.027827477,0.004336125,0.155821711,0.0025476,0.587529184,0.091549802,45555,MW20613
100,Sub-Saharan Africa,Malawi,Kasungu,TA Njombwa,0.028486783,0.004603204,0.161590872,0.0027087,0.588438041,0.095086216,56660,MW20108
101,Sub-Saharan Africa,Malawi,Ntchisi,TA Nthondo,0.029173768,0.005208285,0.178526298,0.003071124,0.589661318,0.105270052,28307,MW20303
102,Sub-Saharan Africa,Malawi,Nkhata Bay,STA Nyaluwanga,0.028881194,0.004956949,0.171632406,0.002922743,0.589625433,0.101198832,5566,MW10310
103,Sub-Saharan Africa,Malawi,Kasungu,TA Simlemba,0.030169096,0.005364224,0.177805263,0.003165796,0.590168522,0.104935069,45259,MW20102
104,Sub-Saharan Africa,Malawi,Machinga,TA Sitola,0.030019238,0.005863031,0.195309114,0.003464272,0.590867156,0.115401741,60159,MW30202
105,Sub-Saharan Africa,Malawi,Thyolo,STA Thukuta,0.032485197,0.006710003,0.206555713,0.003970514,0.591730623,0.122225341,22823,MW30702
106,Sub-Saharan Africa,Malawi,Lilongwe,TA Tsabango,0.02579091,0.003477454,0.134832552,0.00203211,0.584367048,0.0787917,35055,MW20611
107,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Zilakoma,0.029297406,0.005392757,0.18406942,0.003184856,0.590580417,0.108707794,20321,MW10305
108,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Boghoyo,0,0,0,0,0,0,1,MW10313
109,Sub-Saharan Africa,Malawi,Thyolo,TA Bvumbwe,0.030393085,0.005280241,0.173731646,0.003110432,0.589070096,0.102340118,140878,MW30710
110,Sub-Saharan Africa,Malawi,Lilongwe,TA Chadza,0.030612267,0.005711624,0.186579593,0.003372677,0.590493514,0.110174039,172340,MW20601
111,Sub-Saharan Africa,Malawi,Ntcheu,TA Chakhumbira,0.031768147,0.005857071,0.184369303,0.003456272,0.590102419,0.108796772,39594,MW20907
112,Sub-Saharan Africa,Malawi,Thyolo,TA Changata,0.033693814,0.006992399,0.207527677,0.004139163,0.591951827,0.122846388,55804,MW30704
113,Sub-Saharan Africa,Malawi,Chikwawa,TA Chapananga,0.02928758,0.005256675,0.179484772,0.003101558,0.590022895,0.105900125,129546,MW31003
114,Sub-Saharan Africa,Malawi,Blantyre,TA Chigaru,0.031377966,0.005921114,0.188702927,0.003496306,0.590481083,0.111425509,59692,MW30503
115,Sub-Saharan Africa,Malawi,Ntchisi,TA Chikho,0.028633763,0.005182618,0.180996742,0.003059974,0.590430126,0.106865929,41072,MW20302
116,Sub-Saharan Africa,Malawi,Zomba,TA Chikowi,0.03279341,0.006440333,0.196391082,0.003805019,0.590810881,0.116029988,88013,MW30304
117,Sub-Saharan Africa,Malawi,Rumphi,TA Chikulamayembe,0.029904758,0.005234942,0.175053825,0.003087704,0.589825843,0.10325127,93235,MW10401
118,Sub-Saharan Africa,Malawi,Mulanje,TA Chikumbu,0.033305704,0.006734357,0.20219831,0.003979316,0.590897618,0.1194785,108315,MW30803
119,Sub-Saharan Africa,Malawi,Thyolo,TA Chimaliro,0.031431342,0.005842095,0.185868452,0.003446588,0.589957616,0.109654509,170413,MW30709
120,Sub-Saharan Africa,Malawi,Nsanje,TA Chimombo,0.032162493,0.006806053,0.211614597,0.004031244,0.592302806,0.125339919,15455,MW31102
121,Sub-Saharan Africa,Malawi,Lilongwe,TA Chimutu,0.031209584,0.005562515,0.178230987,0.003279378,0.589549538,0.105075996,137796,MW20607
122,Sub-Saharan Africa,Malawi,Mangochi,TA Chimwala,0.029348413,0.005505479,0.187590345,0.00325048,0.590408171,0.110754872,170805,MW30102
123,Sub-Saharan Africa,Malawi,Mzimba,TA Chindi,0.032239348,0.006513156,0.202025056,0.003855848,0.59200917,0.119600686,200635,MW10505
124,Sub-Saharan Africa,Malawi,Lilongwe,TA Chiseka,0.030005115,0.005454941,0.181800367,0.003218317,0.589982014,0.107258947,349655,MW20603
125,Sub-Saharan Africa,Malawi,Chiradzulu,TA Chitera,0.033175088,0.006505732,0.196102939,0.003844394,0.590924149,0.115881962,27860,MW30405
126,Sub-Saharan Africa,Malawi,Lilongwe,TA Chitukula,0.030615785,0.005485187,0.179162064,0.003236477,0.590039557,0.105712705,44053,MW20608
127,Sub-Saharan Africa,Malawi,Phalombe,TA Chiwalo,0,0,0,0,0,0,1,MW30903
128,Sub-Saharan Africa,Malawi,Dowa,TA Chiwere,0.031484723,0.005859038,0.18609145,0.003459006,0.59037097,0.10986299,125025,MW20404
129,Sub-Saharan Africa,Malawi,Kasungu,TA Chulu,0.029711301,0.005244165,0.176504052,0.003093197,0.589836003,0.104108445,90463,MW20110
130,Sub-Saharan Africa,Malawi,Neno,TA Dambe,0.028450745,0.005113132,0.179718721,0.003017309,0.590109709,0.106053762,32254,MW31301
131,Sub-Saharan Africa,Malawi,Dowa,TA Dzoole,0.031133296,0.005628273,0.180779859,0.003321017,0.590059747,0.106670918,114142,MW20401
132,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Fukamapiri,0.030461278,0.005797813,0.190333882,0.003427058,0.59109484,0.112505375,25445,MW10302
133,Sub-Saharan Africa,Malawi,Mangochi,TA Jalasi,0.031126542,0.006472311,0.207935419,0.003831672,0.592009896,0.123099826,113488,MW30104
134,Sub-Saharan Africa,Malawi,Lilongwe,TA Kabudula,0.03003841,0.00535074,0.178129949,0.003157444,0.590094811,0.105113558,175098,MW20615
135,Sub-Saharan Africa,Malawi,Nkhata Bay,TA Kabunduli,0.030394054,0.005441557,0.179033612,0.003211662,0.590210034,0.105667434,56944,MW10301
136,Sub-Saharan Africa,Malawi,Dedza,TA Kachindamoto,0.029224736,0.005246339,0.179517071,0.003094428,0.58982616,0.105883865,142408,MW20807
137,Sub-Saharan Africa,Malawi,Chiradzulu,TA Kadewere,0.033933973,0.006913573,0.203736046,0.004087827,0.591275611,0.120464155,117760,MW30403
138,Sub-Saharan Africa,Malawi,Balaka,TA Kalembo,0.031272353,0.006204755,0.198410221,0.003668003,0.5911601,0.117292206,189063,MW31204
139,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalolo,0.030572901,0.005658787,0.185091584,0.003341086,0.590424416,0.10928259,216131,MW20602
140,Sub-Saharan Africa,Malawi,Kasungu,TA Kaluluma,0.031120356,0.005625461,0.180764675,0.003321653,0.590467669,0.106735696,69822,MW20101
141,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumba,0.026709203,0.004070065,0.152384361,0.002388007,0.586724617,0.089407656,32511,MW20612
142,Sub-Saharan Africa,Malawi,Lilongwe,TA Kalumbu,0.032504966,0.006482683,0.199436683,0.003833724,0.591379175,0.117942701,88406,MW20610
143,Sub-Saharan Africa,Malawi,Ntchisi,TA Kalumo,0.030104131,0.005292669,0.175812051,0.003119537,0.589407235,0.103624895,138197,MW20304
144,Sub-Saharan Africa,Malawi,Chitipa,TA Kameme,0.029996421,0.00546703,0.182256063,0.003229564,0.590734777,0.107664995,28948,MW10105
145,Sub-Saharan Africa,Malawi,Mwanza,TA Kanduku,0.029175751,0.005202971,0.178332028,0.003068344,0.589729302,0.105167623,46568,MW30601
146,Sub-Saharan Africa,Malawi,Nkhotakota,TA Kanyenda,0.026513244,0.003835743,0.144672715,0.002249773,0.586528562,0.084854679,137628,MW20201
147,Sub-Saharan Africa,Malawi,Kasungu,TA Kaomba,0.029799679,0.00500265,0.167875987,0.002944771,0.588642162,0.098818884,65114,MW20105
148,Sub-Saharan Africa,Malawi,Kasungu,TA Kapelula,0.02779132,0.004523341,0.162760934,0.002662022,0.588508013,0.095786114,56701,MW20113
149,Sub-Saharan Africa,Malawi,Blantyre,TA Kapeni,0.029218749,0.004707292,0.161105189,0.002765495,0.587491607,0.094647947,106665,MW30501
150,Sub-Saharan Africa,Malawi,Dedza,TA Kaphuka,0.031627995,0.005931787,0.187548617,0.003503272,0.590593051,0.11076491,202156,MW20803
151,Sub-Saharan Africa,Malawi,Thyolo,TA Kapichi,0.033121303,0.006648595,0.200734715,0.003932671,0.591504017,0.11873539,76081,MW30707
152,Sub-Saharan Africa,Malawi,Salima,TA Karonga,0.028902273,0.005168268,0.178818738,0.003047819,0.589717703,0.105452575,86326,MW20502
153,Sub-Saharan Africa,Malawi,Ntchisi,TA Kasakula,0.030188248,0.005726398,0.189689631,0.003382191,0.590631573,0.112036685,22545,MW20301
154,Sub-Saharan Africa,Malawi,Dedza,TA Kasumbu,0.028705427,0.005128562,0.178661745,0.003024598,0.589755581,0.105366761,109044,MW20806
155,Sub-Saharan Africa,Malawi,Mangochi,TA Katuli,0.030143823,0.005893248,0.195504332,0.003485127,0.59137625,0.115616619,75930,MW30107
156,Sub-Saharan Africa,Malawi,Rumphi,TA Katumbi,0.030938229,0.005650293,0.182631418,0.003337622,0.590698939,0.107880185,14221,MW10408
157,Sub-Saharan Africa,Malawi,Chikwawa,TA Katunga,0.02900448,0.005035448,0.173609309,0.002965121,0.588849603,0.102229773,37372,MW31005
158,Sub-Saharan Africa,Malawi,Machinga,TA Kawinga,0.029516209,0.005786921,0.196059093,0.003420668,0.591103253,0.115891168,177282,MW30203
159,Sub-Saharan Africa,Malawi,Salima,TA Khombedza,0.029203569,0.005201834,0.178123232,0.003066851,0.589571089,0.105016308,91656,MW20507
160,Sub-Saharan Africa,Malawi,Lilongwe,TA Khongoni,0.028996691,0.005074932,0.175017629,0.002993485,0.589857182,0.103235406,152146,MW20606
161,Sub-Saharan Africa,Malawi,Karonga,TA Kilupula,0.029097901,0.005296266,0.182015387,0.003127841,0.590574711,0.107493684,92690,MW10201
162,Sub-Saharan Africa,Malawi,Salima,TA Kuluunda,0.028123385,0.004721429,0.167882687,0.002780093,0.588824513,0.098853442,15668,MW20509
163,Sub-Saharan Africa,Malawi,Blantyre,TA Kuntaja,0.030859966,0.00543181,0.176014788,0.003200654,0.589242607,0.103715413,108459,MW30506
164,Sub-Saharan Africa,Malawi,Blantyre,TA Kunthembwe,0.029816726,0.005477503,0.183705721,0.003233699,0.59036011,0.10845253,51202,MW30504
165,Sub-Saharan Africa,Malawi,Zomba,TA Kuntumanji,0.029578725,0.005456415,0.184470945,0.003219225,0.589988907,0.108835812,111041,MW30301
166,Sub-Saharan Africa,Malawi,Ntcheu,TA Kwataine,0.032365048,0.006217922,0.19211842,0.003670861,0.590367861,0.113420541,62432,MW20903
167,Sub-Saharan Africa,Malawi,Karonga,TA Kyungu,0.030746452,0.00573986,0.18668367,0.003390628,0.590716051,0.11027704,98820,MW10203
168,Sub-Saharan Africa,Malawi,Chiradzulu,TA Likoswe,0.031445937,0.005768308,0.183435715,0.003400735,0.589555095,0.10814546,86460,MW30402
169,Sub-Saharan Africa,Malawi,Blantyre,TA Lundu,0.030940732,0.005684593,0.18372522,0.003353977,0.59001175,0.108400038,40760,MW30502
170,Sub-Saharan Africa,Malawi,Mzimba,TA M'Mbelwa,0.033125496,0.006646071,0.200633104,0.003934311,0.591975522,0.118769886,178416,MW10501
171,Sub-Saharan Africa,Malawi,Mulanje,TA Mabuka,0.031221727,0.005877218,0.188241272,0.003468387,0.590140933,0.11108888,234365,MW30801
172,Sub-Saharan Africa,Malawi,Mzimba,TA Mabulabo,0.032297616,0.00625134,0.193554235,0.003696337,0.59128713,0.114446128,100057,MW10507
173,Sub-Saharan Africa,Malawi,Blantyre,TA Machinjiri,0.030985603,0.005448399,0.175836482,0.00320924,0.589024394,0.103571977,34131,MW30507
174,Sub-Saharan Africa,Malawi,Salima,TA Maganga,0.027837398,0.004854735,0.174396144,0.002861397,0.589403343,0.10278967,70268,MW20501
175,Sub-Saharan Africa,Malawi,Mangochi,TA Makanjila,0.029490942,0.005763026,0.195416798,0.003405913,0.59099387,0.11549013,106239,MW30108
176,Sub-Saharan Africa,Malawi,Blantyre,TA Makata,0.032748014,0.006393306,0.195227305,0.003779289,0.591132195,0.115405146,24477,MW30505
177,Sub-Saharan Africa,Malawi,Chikwawa,TA Makhwira,0.031167713,0.006031165,0.193506821,0.003563355,0.59082371,0.114328418,95673,MW31007
178,Sub-Saharan Africa,Malawi,Zomba,TA Malemia,0.029752007,0.005265657,0.176984935,0.003102834,0.589258717,0.104289916,68558,MW30307
179,Sub-Saharan Africa,Malawi,Nsanje,TA Malemia,0.032918701,0.006983901,0.212156023,0.004136865,0.592343033,0.125669142,21112,MW31107
180,Sub-Saharan Africa,Malawi,Nkhotakota,TA Malenga Chanzi,0.028843294,0.005268015,0.182642626,0.003110588,0.590466722,0.107844392,75853,MW20203
