adm_id,name,country,level,adm2,adm1,city,adm_area,day_n1,date_n1,day_n2,date_n2,day_n5,date_n5,day_n10,date_n10,day_n25,date_n25,day_n50,date_n50,day_n100,date_n100,day_n250,date_n250,day_n1000,date_n1000
10410,STA Chisovya,mw,3,Rumphi,Northern,,85.53348764289204,21.0,2020-03-24,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,32.0,2020-04-04,34.0,2020-04-06,37.0,2020-04-09,41.0,2020-04-13,47.0,2020-04-19
10411,STA Njikula,mw,3,Rumphi,Northern,,43.1047586367351,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,42.0,2020-04-14,46.0,2020-04-18,54.0,2020-04-26
10412,Nyika National Park,mw,3,Rumphi,Northern,,1792.059131359571,27.0,2020-03-30,29.0,2020-04-01,33.0,2020-04-05,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,44.0,2020-04-16,48.0,2020-04-20,57.0,2020-04-29
10413,Vwaza Marsh Reserve,mw,3,Rumphi,Northern,,612.122800680708,34.0,2020-04-06,36.0,2020-04-08,40.0,2020-04-12,42.0,2020-04-14,47.0,2020-04-19,50.0,2020-04-22,55.0,2020-04-27,63.0,2020-05-05,,
10420,Rumphi Boma,mw,3,Rumphi,Northern,,11.34293929142881,19.0,2020-03-22,21.0,2020-03-24,24.0,2020-03-27,27.0,2020-03-30,30.0,2020-04-02,32.0,2020-04-04,35.0,2020-04-07,38.0,2020-04-10,44.0,2020-04-16
10501,TA M'Mbelwa,mw,3,Mzimba,Northern,,1155.1392947429372,18.0,2020-03-21,21.0,2020-03-24,24.0,2020-03-27,26.0,2020-03-29,29.0,2020-04-01,32.0,2020-04-04,34.0,2020-04-06,38.0,2020-04-10,43.0,2020-04-15
10502,TA Mtwalo,mw,3,Mzimba,Northern,,1984.1797908201918,9.0,2020-03-12,11.0,2020-03-14,14.0,2020-03-17,16.0,2020-03-19,19.0,2020-03-22,21.0,2020-03-24,24.0,2020-03-27,27.0,2020-03-30,32.0,2020-04-04
10503,TA Kampingo Sibande,mw,3,Mzimba,Northern,,968.1930010932903,11.0,2020-03-14,14.0,2020-03-17,17.0,2020-03-20,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,35.0,2020-04-07
10504,TA Jaravikuba Munthali,mw,3,Mzimba,Northern,,164.20877105223965,19.0,2020-03-22,21.0,2020-03-24,24.0,2020-03-27,27.0,2020-03-30,30.0,2020-04-02,32.0,2020-04-04,35.0,2020-04-07,38.0,2020-04-10,44.0,2020-04-16
10505,TA Chindi,mw,3,Mzimba,Northern,,1770.484598477451,18.0,2020-03-21,20.0,2020-03-23,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,31.0,2020-04-03,34.0,2020-04-06,37.0,2020-04-09,42.0,2020-04-14
10506,TA Mzikubola,mw,3,Mzimba,Northern,,1454.7557733867784,17.0,2020-03-20,19.0,2020-03-22,22.0,2020-03-25,25.0,2020-03-28,28.0,2020-03-31,30.0,2020-04-02,33.0,2020-04-05,36.0,2020-04-08,42.0,2020-04-14
10507,TA Mabulabo,mw,3,Mzimba,Northern,,549.0987643353876,25.0,2020-03-28,27.0,2020-03-30,30.0,2020-04-02,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,41.0,2020-04-13,45.0,2020-04-17,52.0,2020-04-24
10508,TA Khosolo Gwaza Jere,mw,3,Mzimba,Northern,,977.7424541308087,29.0,2020-04-01,32.0,2020-04-04,35.0,2020-04-07,38.0,2020-04-10,41.0,2020-04-13,44.0,2020-04-16,47.0,2020-04-19,51.0,2020-04-23,58.0,2020-04-30
10509,TA Mpherembe,mw,3,Mzimba,Northern,,700.1534532448467,20.0,2020-03-23,22.0,2020-03-25,25.0,2020-03-28,28.0,2020-03-31,31.0,2020-04-03,33.0,2020-04-05,36.0,2020-04-08,39.0,2020-04-11,46.0,2020-04-18
10510,TA Mzukuzuku,mw,3,Mzimba,Northern,,276.19214700445644,28.0,2020-03-31,31.0,2020-04-03,34.0,2020-04-06,36.0,2020-04-08,40.0,2020-04-12,43.0,2020-04-15,46.0,2020-04-18,51.0,2020-04-23,60.0,2020-05-02
10511,STA Levi Jere,mw,3,Mzimba,Northern,,180.65443630446487,23.0,2020-03-26,26.0,2020-03-29,29.0,2020-04-01,31.0,2020-04-03,35.0,2020-04-07,37.0,2020-04-09,40.0,2020-04-12,44.0,2020-04-16,52.0,2020-04-24
10512,Vwaza Marsh Reserve,mw,3,Mzimba,Northern,,368.95458543236686,37.0,2020-04-09,40.0,2020-04-12,43.0,2020-04-15,47.0,2020-04-19,52.0,2020-04-24,58.0,2020-04-30,65.0,2020-05-07,81.0,2020-05-23,,
