ADM3_PCODE,first_case_date,source,ADM2_PCODE,ADM3_EN,ADM2_EN
MW20401,2020-04-12,MW210,MW204,TA Dzoole,Dowa
MW20402,2020-04-17,MW210,MW204,SC Chakhaza,Dowa
MW20403,2020-04-12,MW210,MW204,SC Kayembe,Dowa
MW20404,2020-04-12,MW210,MW204,TA Chiwere,Dowa
MW20405,2020-04-07,MW210,MW204,SC Mkukula,Dowa
MW20406,2020-04-12,MW210,MW204,TA Msakambewa,Dowa
MW20407,2020-04-12,MW210,MW204,SC Mponela,Dowa
MW20420,2020-06-04,MW20420,MW204,Dowa Boma,Dowa
MW20501,2020-04-22,MW210,MW205,TA Maganga,Salima
MW20502,2020-04-17,MW210,MW205,TA Karonga,Salima
MW20503,2020-04-22,MW210,MW205,TA Pemba,Salima
MW20504,2020-06-04,MW20504,MW205,SC Kambwiri,Salima
MW20505,2020-04-22,MW210,MW205,TA Ndindi,Salima
MW20506,2020-04-27,MW210,MW205,SC Kambalame,Salima
MW20507,2020-04-17,MW210,MW205,TA Khombedza,Salima
MW20508,2020-04-17,MW210,MW205,SC Mwanza,Salima
MW20509,2020-04-22,MW210,MW205,TA Kuluunda,Salima
MW20510,2020-04-22,MW210,MW205,SC Msosa,Salima
MW20520,2020-04-22,MW210,MW205,Salima Town,Salima
MW20601,2020-04-12,MW210,MW206,TA Chadza,Lilongwe
MW20602,2020-04-12,MW210,MW206,TA Kalolo,Lilongwe
MW20603,2020-04-12,MW210,MW206,TA Chiseka,Lilongwe
MW20604,2020-04-12,MW210,MW206,TA Mazengera,Lilongwe
MW20605,2020-04-12,MW210,MW206,SC Chitekwele,Lilongwe
MW20606,2020-04-17,MW210,MW206,TA Khongoni,Lilongwe
MW20607,2020-04-07,MW210,MW206,TA Chimutu,Lilongwe
MW20608,2020-04-07,MW210,MW206,TA Chitukula,Lilongwe
MW20609,2020-04-07,MW210,MW206,SC Mtema,Lilongwe
MW20610,2020-04-17,MW210,MW206,TA Kalumbu,Lilongwe
MW20611,2020-04-07,MW210,MW206,SC Tsabango,Lilongwe
MW20612,2020-04-07,MW210,MW206,TA Kalumba,Lilongwe
MW20613,2020-04-07,MW210,MW206,SC Njewa,Lilongwe
MW20614,2020-04-07,MW210,MW206,TA Malili,Lilongwe
MW20615,2020-04-12,MW210,MW206,TA Kabudula,Lilongwe
MW20701,2020-04-22,MW210,MW207,TA Mlonyeni,Mchinji
MW20702,2020-04-17,MW210,MW207,SC Mavwere,Mchinji
MW20703,2020-04-22,MW210,MW207,TA Zulu,Mchinji
MW20704,2020-04-22,MW210,MW207,SC Mduwa,Mchinji
MW20705,2020-06-21,MW20705,MW207,TA Mkanda,Mchinji
MW20706,2020-04-22,MW210,MW207,SC Dambe,Mchinji
MW20720,2020-04-27,MW210,MW207,Mchinji Boma,Mchinji
MW20801,2020-04-17,MW210,MW208,TA Pemba,Dedza
MW20802,2020-04-17,MW210,MW208,SC Chilikumwendo,Dedza
MW20803,2020-04-17,MW210,MW208,TA Kaphuka,Dedza
MW20804,2020-04-17,MW210,MW208,TA Tambala,Dedza
MW20805,2020-04-17,MW210,MW208,SC Chauma,Dedza
MW20806,2020-06-01,MW20806,MW208,TA Kasumbu,Dedza
MW20807,2020-04-27,MW210,MW208,TA Kachindamoto,Dedza
MW20808,2020-04-27,MW210,MW208,SC Kamenya Gwaza,Dedza
MW20820,2020-04-22,MW210,MW208,Dedza Boma,Dedza
MW20901,2020-04-24,MW30507,MW209,TA Phambala,Ntcheu
MW20902,2020-04-29,MW30507,MW209,TA Mpando,Ntcheu
MW20903,2020-04-29,MW30507,MW209,TA Kwataine,Ntcheu
MW20904,2020-04-24,MW30507,MW209,SC Makwangwala,Ntcheu
MW20905,2020-04-29,MW30507,MW209,SC Champiti,Ntcheu
MW20906,2020-05-04,MW30507,MW209,TA Njolomole,Ntcheu
MW20907,2020-05-04,MW30507,MW209,TA Chakhumbira,Ntcheu
MW20908,2020-04-29,MW30507,MW209,SC Goodson Ganya,Ntcheu
MW20909,2020-05-02,MW210,MW209,TA Masasa,Ntcheu
MW20920,2020-05-19,MW20920,MW209,Ntcheu Boma,Ntcheu
MW210,2020-04-02,MW210,MW210,,Lilongwe City
MW30101,2020-05-04,MW30507,MW301,TA Mponda,Mangochi
MW30102,2020-04-29,MW30507,MW301,TA Chimwala,Mangochi
MW30103,2020-05-02,MW210,MW301,TA Nankumba,Mangochi
MW30104,2020-05-04,MW30507,MW301,TA Jalasi,Mangochi
MW30105,2020-05-04,MW30507,MW301,SC Mbwana Nyambi,Mangochi
MW30106,2020-04-29,MW30507,MW301,SC Chowe,Mangochi
MW30107,2020-05-09,MW30507,MW301,TA Katuli,Mangochi
MW30108,2020-05-09,MW30507,MW301,TA Makanjila,Mangochi
MW30109,2020-05-04,MW30507,MW301,SC Namabvi,Mangochi
MW30111,2020-05-07,MW210,MW301,Lake Malawi Natl. Park - Mangochi,Mangochi
MW30120,2020-05-09,MW30120,MW301,Mangochi Town,Mangochi
MW30121,2020-05-07,MW210,MW301,Monkey Bay Urban,Mangochi
MW30201,2020-04-24,MW30507,MW302,TA Liwonde,Machinga
MW30202,2020-04-19,MW30507,MW302,SC Sitola,Machinga
MW30203,2020-04-29,MW30507,MW302,TA Kawinga,Machinga
MW30204,2020-04-24,MW30507,MW302,SC Chamba,Machinga
MW30205,2020-04-24,MW30507,MW302,SC Mposa,Machinga
MW30206,2020-04-29,MW30507,MW302,SC Mlomba,Machinga
MW30207,2020-05-04,MW30507,MW302,SC Chikweo,Machinga
MW30208,2020-05-09,MW30507,MW302,SC Ngokwe,Machinga
MW30209,2020-04-29,MW30507,MW302,SC Chiwalo,Machinga
MW30210,2020-05-04,MW30507,MW302,TA Nyambi,Machinga
MW30213,2020-04-29,MW30507,MW302,Liwonde National Park,Machinga
MW30220,2020-04-24,MW30507,MW302,Machinga Boma,Machinga
MW30222,2020-06-09,MW30222,MW302,Liwonde Town,Machinga
MW30301,2020-04-22,MW314,MW303,TA Kuntumanji,Zomba
MW30302,2020-04-19,MW30507,MW303,TA Mwambo,Zomba
MW30303,2020-04-27,MW314,MW303,SC Mkumbira,Zomba
MW30304,2020-04-19,MW30507,MW303,TA Chikowi,Zomba
MW30305,2020-04-14,MW30507,MW303,SC Mbiza,Zomba
MW30306,2020-04-14,MW30507,MW303,TA Mlumbe,Zomba
MW30307,2020-04-19,MW30507,MW303,TA Malemia,Zomba
MW30401,2020-06-06,MW30401,MW304,TA Mpama,Chiradzulu
MW30402,2020-04-09,MW30507,MW304,TA Likoswe,Chiradzulu
MW30403,2020-04-14,MW30507,MW304,TA Kadewere,Chiradzulu
MW30404,2020-04-14,MW30507,MW304,TA Nkalo,Chiradzulu
MW30405,2020-04-09,MW30507,MW304,TA Chitera,Chiradzulu
MW30406,2020-04-14,MW30507,MW304,TA Nchema,Chiradzulu
MW30420,2020-04-14,MW30507,MW304,Chiradzulu Boma,Chiradzulu
MW30501,2020-04-09,MW30507,MW305,TA Kapeni,Blantyre
MW30502,2020-04-14,MW30507,MW305,TA Lundu,Blantyre
MW30503,2020-04-14,MW30507,MW305,TA Chigaru,Blantyre
MW30504,2020-04-19,MW30507,MW305,TA Kunthembwe,Blantyre
MW30505,2020-04-09,MW30507,MW305,TA Makata,Blantyre
